"input" "filtered" "denoisedF" "denoisedR" "merged"
"METH-PL1-rpoB" 29969 18955 18920 18855 18823
"T102-PL1-rpoB" 25070 15264 15125 15123 15002
"T109-PL1-rpoB" 1507 206 182 177 166
"T114-PL1-rpoB" 32083 19824 19529 19505 19241
"T126-PL1-rpoB" 30100 17983 17686 17411 17206
"T128-PL1-rpoB" 46379 29335 29034 29049 28770
"T129-PL1-rpoB" 25837 16124 16010 16025 15928
"T137-PL1-rpoB" 32529 20674 20301 20188 19892
"T139-PL1-rpoB" 42479 26161 25788 25681 25353
"T142-PL1-rpoB" 38535 25107 24746 24599 24292
"T145-PL1-rpoB" 36554 23911 23632 23554 23310
"T151-PL1-rpoB" 24455 13972 13865 13720 13630
"T157-PL1-rpoB" 27042 16589 16336 16273 16052
"T158-PL1-rpoB" 37260 23693 23444 23416 23197
"T163-PL1-rpoB" 24429 15326 15240 15103 15036
"T166-PL1-rpoB" 26817 17315 17028 16945 16719
"T174-PL1-rpoB" 27189 16489 16239 16124 15918
"T175-PL1-rpoB" 33777 20779 19987 19544 18940
"T177-PL1-rpoB" 33005 20946 20704 20629 20414
"T178-PL1-rpoB" 30780 18909 18694 18666 18484
"T181-PL1-rpoB" 29796 17137 16924 16792 16624
"T190-PL1-rpoB" 21371 12853 12802 12813 12770
"T194-PL1-rpoB" 42019 28543 28282 28258 28027
"T198-PL1-rpoB" 26770 14778 14506 14371 14164
"T216-PL1-rpoB" 32034 20684 20254 20192 19814
"T218-PL1-rpoB" 33351 20973 20667 20503 20255
"T21-PL1-rpoB" 29448 17370 17141 17026 16851
"T229-PL1-rpoB" 22082 12760 12680 12592 12533
"T231-PL1-rpoB" 29128 17121 16892 16712 16542
"T232-PL1-rpoB" 15355 9083 9033 9024 8987
"T28-PL1-rpoB" 26165 16668 16420 16299 16092
"T37-PL1-rpoB" 46436 29215 28755 28553 28176
"T47-PL1-rpoB" 32741 19899 19590 19578 19323
"T48-PL1-rpoB" 38372 25107 24662 24491 24122
"T49-PL1-rpoB" 22938 14034 13941 13900 13819
"T52-PL1-rpoB" 23605 13722 13502 13426 13255
"T65-PL1-rpoB" 18420 11399 11304 11214 11140
"T72-PL1-rpoB" 26523 16476 16282 16194 16026
"T77-PL1-rpoB" 30827 19032 18681 18527 18260
"T80-PL1-rpoB" 26248 15825 15604 15571 15396
"T81-PL1-rpoB" 25976 15389 15230 15157 15044
"T86-PL1-rpoB" 15108 8920 8903 8860 8848
"T87-PL1-rpoB" 29682 18507 18399 18398 18302
"T89-PL1-rpoB" 31637 16564 16466 16355 16282
"T92-PL1-rpoB" 34171 21215 20967 20826 20617
"T94-PL1-rpoB" 27548 16415 16269 16241 16124
"T97-PL1-rpoB" 22574 13370 13322 13285 13258
"T98-PL1-rpoB" 21135 11884 11707 11514 11391
