"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21"
"T166.PL1.rpoB" "T166" "MSH-04-05-E" "MSH" "4" "5" "Querbus_rubra" "E" "43350" "JBL" "43351" "Phosphate" "4" "10" "82" "MSH-43351-4" "Batch_07" "T166.PL1.rpoB" "PL_01" "rpoB-PL1" "S515" "N728"
"T174.PL1.rpoB" "T174" "MSH-02-01-E" "MSH" "2" "1" "Acer_saccharum" "E" "43350" "JBL" "43351" "Phosphate" "1" "10" "19" "MSH-43351-1" "Batch_08" "T174.PL1.rpoB" "PL_01" "rpoB-PL1" "S513" "N727"
"T175.PL1.rpoB" "T175" "MSH-02-06-G" "MSH" "2" "6" "Acer_saccharum" "G" "43391" "JBL&Emilie" "43392" "Phosphate" "1" "14" "21" "MSH-43392-1" "Batch_08" "T175.PL1.rpoB" "PL_05" "rpoB-PL1" "S520" "N726"
"T177.PL1.rpoB" "T177" "SBL-04-06-E" "SBL" "4" "6" "Abies_balsamea" "E" "43328" "JBL" "43329" "Phosphate" "1" "6" "23" "SBL-43329-1" "Batch_08" "T177.PL1.rpoB" "PL_01" "rpoB-PL1" "S518" "N724"
"T178.PL1.rpoB" "T178" "SBL-04-08-G" "SBL" "4" "8" "Acer_rubrum" "G" "43363" "JBL" "43364" "Phosphate" "1" "8" "26" "SBL-43364-1" "Batch_08" "T178.PL1.rpoB" "PL_01" "rpoB-PL1" "S517" "N729"
"T181.PL1.rpoB" "T181" "MSH-05-02-E" "MSH" "5" "2" "Acer_saccharum" "E" "43350" "JBL" "43351" "Phosphate" "2" "10" "30" "MSH-43351-2" "Batch_08" "T181.PL1.rpoB" "PL_01" "rpoB-PL1" "S517" "N727"
"T190.PL1.rpoB" "T190" "MSH-02-04-E" "MSH" "2" "4" "Acer_saccharum" "E" "43350" "JBL" "43351" "Phosphate" "4" "10" "75" "MSH-43351-4" "Batch_08" "T190.PL1.rpoB" "PL_01" "rpoB-PL1" "S520" "N729"
"T194.PL1.rpoB" "T194" "SBL-04-10-A" "SBL" "4" "10" "Abies_balsamea" "A" "43271" "JBL" "43272" "Redford" "1" "2" "05" "SBL-43272-1" "Batch_09" "T194.PL1.rpoB" "PL_01" "rpoB-PL1" "S518" "N729"
"T198.PL1.rpoB" "T198" "SBL-03-05-C" "SBL" "3" "5" "Acer_pennsylcanicum" "C" "43297" "Emilie" "43298" "Phosphate" "1" "4" "12" "SBL-43298-1" "Batch_09" "T198.PL1.rpoB" "PL_01" "rpoB-PL1" "S521" "N723"
"T216.PL1.rpoB" "T216" "MSH-05-07-G" "MSH" "5" "7" "Ostria_virginiana" "G" "43391" "JBL&Emilie" "43392" "Phosphate" "3" "14" "76" "MSH-43392-3" "Batch_09" "T216.PL1.rpoB" "PL_01" "rpoB-PL1" "S513" "N728"
"T218.PL1.rpoB" "T218" "MSH-06-04-E" "MSH" "6" "4" "Fagus_grandifolia" "E" "43350" "JBL" "43351" "Phosphate" "1" "10" "04" "MSH-43351-1" "Batch_10" "T218.PL1.rpoB" "PL_01" "rpoB-PL1" "S520" "N728"
"T21.PL1.rpoB" "T21" "MSH-01-01-A" "MSH" "1" "1" "Fagus_grandifolia" "A" "43278" "JBL" "43279" "Phosphate" "1" "15" "16" "MSH-43279-1" "Batch_01a" "T21.PL1.rpoB" "PL_01" "rpoB-PL1" "S518" "N726"
"T229.PL1.rpoB" "T229" "MSH-05-05-E" "MSH" "5" "5" "Ostria_virginiana" "E" "43350" "JBL" "43351" "Phosphate" "3" "10" "51" "MSH-43351-3" "Batch_10" "T229.PL1.rpoB" "PL_01" "rpoB-PL1" "S513" "N724"
"T231.PL1.rpoB" "T231" "SBL-03-09-C" "SBL" "3" "9" "Abies_balsamea" "C" "43297" "Emilie" "43300" "Phosphate" "4" "4" "68" "SBL-43300-4" "Batch_10" "T231.PL1.rpoB" "PL_01" "rpoB-PL1" "S513" "N723"
"T232.PL1.rpoB" "T232" "SBL-03-01-B" "SBL" "3" "1" "Acer_rubrum" "B" "43271" "JBL" "43273" "Phosphate" "4" "2" "69" "SBL-43273-4" "Batch_10" "T232.PL1.rpoB" "PL_01" "rpoB-PL1" "S521" "N726"
"T28.PL1.rpoB" "T28" "MSH-03-01-F" "MSH" "3" "1" "Acer_saccharum" "F" "43350" "JBL" "43351" "Phosphate" "3" "10" "61" "MSH-43351-3" "Batch_01b" "T28.PL1.rpoB" "PL_01" "rpoB-PL1" "S516" "N728"
"T37.PL1.rpoB" "T37" "MSH-01-01-G" "MSH" "1" "1" "Fagus_grandifolia" "G" "43391" "JBL&Emilie" "43392" "Phosphate" "1" "14" "09" "MSH-43392-1" "Batch_02" "T37.PL1.rpoB" "PL_05" "rpoB-PL1" "S518" "N723"
"T47.PL1.rpoB" "T47" "SBL-03-07-C" "SBL" "3" "7" "Acer_saccharum" "C" "43297" "Emilie" "43298" "Phosphate" "2" "4" "39" "SBL-43298-2" "Batch_02" "T47.PL1.rpoB" "PL_01" "rpoB-PL1" "S517" "N728"
"T48.PL1.rpoB" "T48" "SBL-03-10-C" "SBL" "3" "10" "Acer_pennsylcanicum" "C" "43297" "Emilie" "43298" "Phosphate" "2" "4" "41" "SBL-43298-2" "Batch_02" "T48.PL1.rpoB" "PL_01" "rpoB-PL1" "S518" "N728"
"T49.PL1.rpoB" "T49" "SBL-01-02-C" "SBL" "1" "2" "Fagus_grandifolia" "C" "43297" "Emilie" "43300" "Phosphate" "3" "4" "49" "SBL-43300-3" "Batch_02" "T49.PL1.rpoB" "PL_01" "rpoB-PL1" "S515" "N726"
"T52.PL1.rpoB" "T52" "MSH-03-01-G" "MSH" "3" "1" "Acer_saccharum" "G" "43391" "JBL&Emilie" "43392" "Phosphate" "3" "14" "59" "MSH-43392-3" "Batch_02" "T52.PL1.rpoB" "PL_01" "rpoB-PL1" "S520" "N723"
"T65.PL1.rpoB" "T65" "MSH-01-02-A" "MSH" "1" "2" "Fagus_grandifolia" "A" "43278" "JBL" "43279" "Phosphate" "1" "15" "17" "MSH-43279-1" "Batch_03" "T65.PL1.rpoB" "PL_01" "rpoB-PL1" "S522" "N724"
"T72.PL1.rpoB" "T72" "SBL-02-04-H" "SBL" "2" "4" "Acer_saccharum" "H" "43363" "JBL" "43364" "Phosphate" "3" "8" "62" "SBL-43364-3" "Batch_03" "T72.PL1.rpoB" "PL_01" "rpoB-PL1" "S521" "N727"
"T77.PL1.rpoB" "T77" "MSH-04-04-E" "MSH" "4" "4" "Ostria_virginiana" "E" "43350" "JBL" "43351" "Phosphate" "1" "10" "12" "MSH-43351-1" "Batch_04" "T77.PL1.rpoB" "PL_01" "rpoB-PL1" "S518" "N727"
"T80.PL1.rpoB" "T80" "SBL-04-07-G" "SBL" "4" "7" "Acer_rubrum" "G" "43363" "JBL" "43364" "Phosphate" "1" "8" "25" "SBL-43364-1" "Batch_04" "T80.PL1.rpoB" "PL_01" "rpoB-PL1" "S516" "N724"
