"Type" "ASVs-before-TH" "Seq-before-TH" "ASVs-before-raref" "Seq-before-raref" "ASVs-final" "Seq-final"
"T183.PL2.rpoB" "sample" "213" "5183" "130" "4486" "129" "3000"
"T18.PL2.rpoB" "sample" "890" "8103" "274" "6061" "245" "3000"
"T197.PL2.rpoB" "sample" "555" "4921" "201" "4204" "193" "3000"
"T202.PL2.rpoB" "sample" "227" "6676" "149" "5898" "146" "3000"
"T204.PL2.rpoB" "sample" "604" "5299" "202" "4126" "192" "3000"
"T209.PL2.rpoB" "sample" "170" "6242" "112" "5803" "109" "3000"
"T210.PL2.rpoB" "sample" "299" "7568" "135" "5885" "133" "3000"
"T211.PL2.rpoB" "sample" "737" "5710" "261" "4460" "247" "3000"
"T214.PL2.rpoB" "sample" "198" "6427" "129" "5813" "116" "3000"
"T220.PL2.rpoB" "sample" "358" "8122" "154" "6482" "148" "3000"
"T222.PL2.rpoB" "sample" "574" "7564" "199" "6253" "188" "3000"
"T225.PL2.rpoB" "sample" "533" "5429" "231" "4369" "221" "3000"
"T230.PL2.rpoB" "sample" "126" "4989" "90" "4627" "88" "3000"
"T23.PL2.rpoB" "sample" "126" "8720" "102" "8351" "97" "3000"
"T33.PL2.rpoB" "sample" "454" "6427" "186" "5411" "175" "3000"
"T39.PL2.rpoB" "sample" "335" "7974" "166" "6122" "161" "3000"
"T44.PL2.rpoB" "sample" "555" "5609" "191" "4754" "183" "3000"
"T54.PL2.rpoB" "sample" "216" "7569" "132" "6275" "127" "3000"
"T55.PL2.rpoB" "sample" "571" "8008" "179" "7012" "153" "3000"
"T60.PL2.rpoB" "sample" "461" "5194" "220" "4576" "208" "3000"
"T64.PL2.rpoB" "sample" "703" "5290" "250" "4088" "241" "3000"
"T73.PL2.rpoB" "sample" "458" "5432" "190" "4747" "182" "3000"
"T76.PL2.rpoB" "sample" "359" "3935" "196" "3301" "195" "3000"
"T88.PL2.rpoB" "sample" "456" "6992" "167" "5220" "164" "3000"
"T93.PL2.rpoB" "sample" "265" "7828" "134" "6496" "132" "3000"
"T101.rpoB.PL3" "sample" "1713" "24462" "386" "17795" "278" "3000"
"T103.rpoB.PL3" "sample" "1033" "20726" "296" "17567" "216" "3000"
"T105.rpoB.PL3" "sample" "883" "12579" "289" "9755" "251" "3000"
"T108.rpoB.PL3" "sample" "1084" "15214" "271" "11710" "227" "3000"
"T115.rpoB.PL3" "sample" "1587" "15770" "394" "11953" "326" "3000"
"T116.rpoB.PL3" "sample" "924" "14144" "307" "10244" "279" "3000"
"T121.rpoB.PL3" "sample" "690" "18811" "247" "15236" "211" "3000"
"T122.rpoB.PL3" "sample" "1943" "15811" "402" "11571" "324" "3000"
"T125.rpoB.PL3" "sample" "796" "18999" "251" "16719" "185" "3000"
"T130.rpoB.PL3" "sample" "500" "17441" "188" "14453" "153" "3000"
"T138.rpoB.PL3" "sample" "978" "15940" "282" "13611" "223" "3000"
"T148.rpoB.PL3" "sample" "1293" "16205" "340" "12711" "266" "3000"
"T153.rpoB.PL3" "sample" "445" "14626" "172" "11964" "161" "3000"
"T155.rpoB.PL3" "sample" "1185" "15716" "326" "12185" "259" "3000"
"T159.rpoB.PL3" "sample" "413" "12235" "176" "10256" "156" "3000"
"T160.rpoB.PL3" "sample" "822" "15732" "315" "12585" "264" "3000"
"T169.rpoB.PL3" "sample" "769" "19755" "286" "16542" "232" "3000"
"T171.rpoB.PL3" "sample" "516" "16741" "192" "14454" "174" "3000"
"T17.rpoB.PL3" "sample" "1626" "18955" "430" "14569" "352" "3000"
"T184.rpoB.PL3" "sample" "526" "18197" "216" "13559" "183" "3000"
"T192.rpoB.PL3" "sample" "1508" "15213" "387" "11544" "314" "3000"
"T195.rpoB.PL3" "sample" "1476" "14998" "260" "8359" "221" "3000"
"T199.rpoB.PL3" "sample" "945" "19389" "320" "15810" "258" "3000"
"T203.rpoB.PL3" "sample" "796" "25807" "288" "21084" "222" "3000"
"T206.rpoB.PL3" "sample" "703" "16220" "272" "13279" "233" "3000"
"T212.rpoB.PL3" "sample" "614" "14883" "227" "10625" "182" "3000"
"T215.rpoB.PL3" "sample" "612" "18610" "227" "14675" "211" "3000"
"T217.rpoB.PL3" "sample" "77" "9942" "54" "9736" "48" "3000"
"T223.rpoB.PL3" "sample" "2034" "18036" "438" "12342" "355" "3000"
"T233.rpoB.PL3" "sample" "1828" "23227" "378" "16981" "293" "3000"
"T26.rpoB.PL3" "sample" "665" "22554" "246" "17326" "220" "3000"
"T27.rpoB.PL3" "sample" "871" "18141" "318" "13591" "292" "3000"
"T35.rpoB.PL3" "sample" "381" "22428" "175" "19194" "160" "3000"
"T36.rpoB.PL3" "sample" "327" "15656" "142" "12217" "131" "3000"
"T38.rpoB.PL3" "sample" "283" "14773" "136" "12252" "124" "3000"
"T45.rpoB.PL3" "sample" "852" "13189" "302" "10720" "263" "3000"
"T51.rpoB.PL3" "sample" "1181" "14032" "360" "11477" "290" "3000"
"T53.rpoB.PL3" "sample" "1699" "12177" "190" "3714" "185" "3000"
"T67.rpoB.PL3" "sample" "689" "16286" "264" "13704" "214" "3000"
"T68.rpoB.PL3" "sample" "611" "15009" "248" "12785" "228" "3000"
"T75.rpoB.PL3" "sample" "777" "15295" "235" "12255" "205" "3000"
"T79.rpoB.PL3" "sample" "1037" "17451" "299" "15461" "212" "3000"
"T83.rpoB.PL3" "sample" "1467" "23830" "358" "19948" "253" "3000"
"T91.rpoB.PL3" "sample" "794" "14670" "258" "12152" "216" "3000"
"T96.rpoB.PL3" "sample" "1148" "20048" "354" "17012" "262" "3000"
"T99.rpoB.PL3" "sample" "335" "18223" "140" "15934" "124" "3000"
"T104" "sample" "420" "14451" "149" "11933" "136" "3000"
"T110" "sample" "827" "19552" "277" "14406" "242" "3000"
"T111" "sample" "1243" "15289" "342" "11968" "277" "3000"
