"input" "filtered" "denoisedF" "denoisedR" "merged"
"Meth-PL2-rpoB" 13368 10448 10418 10362 10334
"T100-PL2-rpoB" 13758 10009 9982 9983 9964
"T106-PL2-rpoB" 11364 8255 8196 8150 8105
"T107-PL2-rpoB" 14763 10529 10370 10325 10188
"T117-PL2-rpoB" 21508 11630 11577 11521 11486
"T120-PL2-rpoB" 23824 16108 15946 15849 15715
"T123-PL2-rpoB" 14452 10864 10650 10522 10356
"T124-PL2-rpoB" 14804 11031 10919 10931 10832
"T127-PL2-rpoB" 17538 13010 12812 12736 12564
"T131-PL2-rpoB" 467 57 43 45 36
"T133-PL2-rpoB" 14357 10759 10504 10342 10136
"T141-PL2-rpoB" 13598 9405 9244 9165 9028
"T143-PL2-rpoB" 13129 9566 9490 9436 9375
"T146-PL2-rpoB" 18988 13401 13237 13112 12974
"T150-PL2-rpoB" 12452 8952 8860 8765 8706
"T152-PL2-rpoB" 14535 11041 10938 10922 10834
"T15-PL2-rpoB" 15246 11378 11271 11149 11060
"T161-PL2-rpoB" 7570 5186 5155 5165 5136
"T165-PL2-rpoB" 13820 10200 10110 10072 10003
"T168-PL2-rpoB" 11164 8298 8150 8039 7919
"T170-PL2-rpoB" 14801 9096 9022 8971 8924
"T176-PL2-rpoB" 10536 7828 7783 7797 7757
"T182-PL2-rpoB" 11582 8687 8641 8644 8605
"T183-PL2-rpoB" 8960 5907 5843 5866 5809
"T18-PL2-rpoB" 21320 16423 16124 16036 15785
"T197-PL2-rpoB" 15210 10184 10049 9913 9810
"T202-PL2-rpoB" 10405 7644 7606 7609 7574
"T204-PL2-rpoB" 14643 10895 10735 10694 10560
"T209-PL2-rpoB" 10197 7340 7325 7313 7305
"T210-PL2-rpoB" 12827 9515 9467 9453 9420
"T211-PL2-rpoB" 15280 11357 11167 11115 10965
"T214-PL2-rpoB" 9936 7287 7199 7236 7158
"T220-PL2-rpoB" 15122 11002 10938 10913 10861
"T222-PL2-rpoB" 16767 12470 12319 12201 12079
"T225-PL2-rpoB" 11621 8661 8550 8486 8395
"T230-PL2-rpoB" 7510 5156 5144 5122 5117
"T23-PL2-rpoB" 12670 9082 9074 9016 9014
"T33-PL2-rpoB" 15030 10394 10269 10234 10122
"T39-PL2-rpoB" 16220 8960 8909 8891 8854
"T44-PL2-rpoB" 15489 11411 11285 11129 11037
"T54-PL2-rpoB" 11559 8600 8549 8567 8526
"T55-PL2-rpoB" 23738 17597 17224 17118 16819
"T60-PL2-rpoB" 11620 8589 8472 8464 8366
"T64-PL2-rpoB" 14527 10691 10545 10455 10332
"T73-PL2-rpoB" 15297 10107 9975 9922 9824
"T76-PL2-rpoB" 9036 5546 5505 5481 5454
"T88-PL2-rpoB" 13407 9966 9803 9785 9659
"T93-PL2-rpoB" 13208 9634 9575 9554 9507
