"input" "filtered" "denoisedF" "denoisedR" "merged"
"METH" 37491 30474 30371 30323 30225
"T104" 27705 19883 19805 19756 19691
"T110" 37831 26346 26184 26141 26003
"T111" 41157 29465 29159 29043 28769
"T112" 49554 38875 38510 38420 38089
"T113" 38861 27907 27721 27701 27530
"T118" 36052 27740 27468 27430 27184
"T134" 49158 38702 38314 38209 37858
"T135" 39343 23045 22851 22927 22742
"T136" 25845 19295 19266 19240 19217
"T13" 30150 23011 22915 22910 22831
"T149" 35465 27290 27057 27142 26917
"T14" 50746 38878 38642 38569 38347
"T162" 37898 21304 20862 20902 20528
"T164" 47488 38139 37553 37487 36948
"T167" 44976 34735 34407 34413 34108
"T172" 46637 33733 33359 33233 32904
"T173" 28057 21074 20981 20948 20860
"T179" 39127 30035 29744 29698 29440
"T185" 35879 23169 23048 22925 22816
"T187" 49804 40795 40326 40045 39630
"T188" 38971 25039 24741 24682 24435
"T189" 27321 19865 19794 19744 19685
"T191" 44365 33977 33660 33475 33200
"T193" 50134 37047 36710 36441 36142
"T196" 44941 34742 34304 34124 33747
"T201" 60912 48280 47782 47573 47125
"T207" 39680 26248 25915 25748 25468
"T208" 43678 32469 32231 32113 31900
"T20" 25192 18241 18170 18185 18122
"T213" 34088 27133 26825 26762 26476
"T219" 35846 27131 26980 26957 26818
"T221" 28870 20319 20166 20004 19884
"T224" 38667 29691 29436 29282 29053
"T226" 26891 19635 19626 19595 19590
"T227" 3890 17 16 12 12
"T228" 37295 27675 27428 27389 27158
"T42" 21819 15648 15626 15617 15603
"T50" 32057 25587 25313 25310 25072
"T56" 48203 38277 37854 37799 37436
"T57" 50509 40177 39772 39674 39321
"T61" 43326 34107 33835 33650 33425
"T62" 31052 21141 21097 21070 21031
"T66" 23713 16927 16880 16887 16844
"T74" 43522 34495 34201 34125 33851
"T78" 41494 33126 32750 32604 32277
"T82" 54833 43157 42816 42743 42436
"T90" 59932 48909 48427 48432 47986
