"test" "ass." "obs" "exp" "p.obs>exp"
"1" "site" "SBL_node.379" "2" "3.63±1.17" "1"
"2" "site" "MSH_node.379" "4" "2.37±1.17" "1"
"3" "site" "SBL_node.403" "1" "0.71±0.45" "1"
"4" "site" "MSH_node.403" "0" "0.29±0.45" "1"
"5" "site" "SBL_node.412" "1" "1.13±0.7" "1"
"6" "site" "MSH_node.412" "1" "0.87±0.7" "1"
"7" "site" "SBL_node.413" "10" "6.66±1.56" "1"
"8" "site" "MSH_node.413" "1" "4.34±1.56" "1"
"9" "site" "SBL_node.414" "2" "1.31±0.67" "1"
"10" "site" "MSH_node.414" "0" "0.69±0.67" "1"
"11" "site" "SBL_node.415" "25" "22.51±2.66" "1"
"12" "site" "MSH_node.415" "20" "22.49±2.66" "1"
"13" "site" "SBL_node.448" "2" "1.31±0.67" "1"
"14" "site" "MSH_node.448" "0" "0.69±0.67" "1"
"15" "site" "SBL_node.450" "16" "8.86±1.87" "0.00368"
"16" "site" "MSH_node.450" "0" "7.14±1.87" "1"
"17" "site" "SBL_node.483" "1" "0.33±0.47" "1"
"18" "site" "MSH_node.483" "0" "0.67±0.47" "1"
"19" "site" "SBL_node.486" "13" "14.04±2.23" "1"
"20" "site" "MSH_node.486" "12" "10.96±2.23" "1"
"21" "site" "SBL_node.497" "0" "1.91±0.82" "1"
"22" "site" "MSH_node.497" "4" "2.09±0.82" "1"
"23" "site" "SBL_node.501" "0" "1.79±0.84" "1"
"24" "site" "MSH_node.501" "4" "2.21±0.84" "1"
"25" "site" "SBL_node.504" "17" "21.55±2.42" "1"
"26" "site" "MSH_node.504" "24" "19.45±2.42" "1"
"27" "site" "SBL_node.524" "0" "0±0" "1"
"28" "site" "MSH_node.524" "1" "1±0" "1"
"29" "site" "SBL_node.525" "2" "1.04±0.65" "1"
"30" "site" "MSH_node.525" "0" "0.96±0.65" "1"
"31" "site" "SBL_node.533" "0" "0.33±0.47" "1"
"32" "site" "MSH_node.533" "1" "0.67±0.47" "1"
"33" "site" "SBL_node.540" "1" "0.71±0.45" "1"
"34" "site" "MSH_node.540" "1" "1.29±0.45" "1"
"35" "site" "SBL_node.548" "0" "2.6±1.09" "1"
"36" "site" "MSH_node.548" "13" "10.4±1.09" "1"
"37" "site" "SBL_node.566" "0" "1.19±0.69" "1"
"38" "site" "MSH_node.566" "2" "0.81±0.69" "1"
"39" "site" "SBL_node.568" "0" "0±0" "1"
"40" "site" "MSH_node.568" "2" "2±0" "1"
"41" "site" "SBL_node.569" "0" "1.24±0.67" "1"
"42" "site" "MSH_node.569" "2" "0.76±0.67" "1"
"43" "site" "SBL_node.576" "0" "0.6±0.49" "1"
"44" "site" "MSH_node.576" "1" "0.4±0.49" "1"
"45" "site" "SBL_node.580" "1" "0.53±0.5" "1"
"46" "site" "MSH_node.580" "0" "0.47±0.5" "1"
"47" "temp" "20_node.379" "1" "1.9±1.11" "1"
"48" "temp" "30_node.379" "5" "4.1±1.11" "1"
"49" "temp" "20_node.403" "1" "0.35±0.48" "1"
"50" "temp" "30_node.403" "0" "0.65±0.48" "1"
"51" "temp" "20_node.412" "0" "0.79±0.69" "1"
"52" "temp" "30_node.412" "2" "1.21±0.69" "1"
"53" "temp" "20_node.413" "2" "3.59±1.48" "1"
"54" "temp" "30_node.413" "9" "7.41±1.48" "1"
"55" "temp" "20_node.414" "1" "0.71±0.67" "1"
"56" "temp" "30_node.414" "1" "1.29±0.67" "1"
"57" "temp" "20_node.415" "8" "15.78±2.76" "1"
"58" "temp" "30_node.415" "37" "29.22±2.76" "0.13524"
"59" "temp" "20_node.448" "1" "0.7±0.67" "1"
"60" "temp" "30_node.448" "1" "1.3±0.67" "1"
"61" "temp" "20_node.450" "4" "4.83±1.66" "1"
"62" "temp" "30_node.450" "12" "11.17±1.66" "1"
