"Level" "node" "mother_node" "sequences" "PS_median" "PS_max" "PS_min" "bootstrapp"
84 562 548 5 0.992 0.995 0.989 100
97 570 569 6 0.988 0.997 0.967 96
173 578 577 3 0.939 1 0.939 100
123 596 595 8 0.98 1 0.979 100
45 603 595 2 1 1 1 100
165 605 604 4 0.9655 0.983 0.962 98
45 624 623 2 1 1 1 100
154 378 379 7 0.969 1 0.963 96
110 380 379 22 0.984 1 0.94 100
45 652 651 2 1 1 1 98
145 411 410 70 0.973 1 0.947 89
197 449 448 74 0.951 1 0.926 72
74 496 448 2 0.994 0.994 0.994 100
51 499 498 3 0.999 1 0.999 97
45 502 501 2 1 1 1 100
90 503 501 2 0.99 0.99 0.99 100
84 507 506 43 0.992 1 0.983 99
78 527 526 4 0.993 1 0.993 100
224 532 531 14 0.938 1 0.907 75
70 545 531 3 0.995 0.996 0.995 100
179 548 547 23 0.959 1 0.935 67
194 566 547 2 0.951 0.951 0.951 74
153 569 568 7 0.969 0.997 0.957 94
61 575 568 2 0.997 0.997 0.997 100
174 577 576 4 0.951 1 0.938 99
126 595 594 10 0.979 1 0.971 47
166 604 594 5 0.9655 0.983 0.962 51
210 623 622 3 0.946 1 0.946 62
157 625 622 2 0.968 0.968 0.968 100
135 629 628 2 0.976 0.976 0.976 53
157 379 399 29 0.968 1 0.915 99
93 651 399 3 0.989 1 0.988 100
82 650 649 2 0.992 0.992 0.992 44
154 648 647 2 0.969 0.969 0.969 98
146 410 409 71 0.973 1 0.947 100
199 448 409 76 0.951 1 0.926 97
52 498 497 4 0.999 1 0.997 100
122 501 497 4 0.9805 1 0.976 100
85 506 505 44 0.992 1 0.983 98
45 523 505 2 1 1 1 46
165 525 524 2 0.958 0.958 0.958 99
79 526 524 5 0.993 1 0.969 100
225 531 530 17 0.93 1 0.907 72
195 547 530 25 0.956 1 0.926 68
154 568 567 9 0.9735 0.997 0.957 100
175 576 567 5 0.953 1 0.912 100
167 594 593 15 0.971 1 0.955 98
167 608 593 2 0.964 0.964 0.964 96
212 622 621 5 0.945 1 0.937 48
45 626 621 2 1 1 1 100
141 628 627 3 0.974 0.976 0.974 100
170 399 400 32 0.963 1 0.915 48
83 649 400 3 0.992 0.993 0.991 100
162 647 646 3 0.966 0.969 0.965 52
205 409 408 147 0.948 1 0.923 97
187 497 408 8 0.956 1 0.945 100
86 505 504 46 0.992 1 0.983 100
166 524 504 7 0.967 1 0.946 100
226 530 529 42 0.932 1 0.907 100
176 567 529 14 0.962 1 0.909 100
206 581 580 2 0.948 0.948 0.948 84
168 593 592 17 0.969 1 0.955 100
221 621 620 7 0.941 1 0.937 46
177 627 620 4 0.96 0.976 0.945 64
170 632 631 2 0.963 0.963 0.963 100
219 633 631 2 0.942 0.942 0.942 100
175 400 401 35 0.961 1 0.915 50
171 646 401 4 0.9625 0.969 0.955 100
175 645 644 2 0.961 0.961 0.961 85
206 408 407 155 0.948 1 0.892 99
167 504 407 53 0.991 1 0.943 100
227 529 528 56 0.926 1 0.884 100
227 580 528 3 0.922 0.948 0.913 65
169 592 591 18 0.969 1 0.955 100
45 619 618 2 1 1 1 100
222 620 618 11 0.943 1 0.933 47
224 631 630 4 0.939 0.963 0.928 91
45 637 636 2 1 1 1 100
45 638 636 2 1 1 1 100
187 401 402 39 0.958 1 0.894 100
189 644 402 3 0.955 0.961 0.955 100
223 407 406 208 0.94 1 0.878 96
228 528 406 59 0.924 1 0.877 66
201 583 582 2 0.95 0.95 0.95 100
169 584 582 2 0.963 0.963 0.963 100
170 591 590 19 0.968 1 0.955 33
223 618 617 13 0.942 1 0.933 100
225 630 617 5 0.939 0.963 0.926 100
268 635 634 2 0.893 0.893 0.893 100
264 636 634 4 0.92 1 0.92 100
190 402 403 42 0.956 1 0.89 98
229 406 405 267 0.916 1 0.857 37
228 582 405 4 0.9375 0.963 0.927 83
171 590 589 20 0.968 1 0.935 62
51 610 609 2 0.999 0.999 0.999 100
229 617 616 18 0.937 1 0.903 100
269 634 616 6 0.91 1 0.885 100
191 403 404 43 0.955 1 0.887 62
271 405 404 271 0.916 1 0.857 37
185 642 641 2 0.957 0.957 0.957 100
245 643 641 2 0.929 0.929 0.929 100
176 589 588 21 0.967 1 0.935 100
207 609 588 3 0.947 0.999 0.947 100
270 616 615 24 0.916 1 0.872 100
240 639 615 2 0.932 0.932 0.932 100
279 404 585 314 0.912 1 0.853 39
246 641 585 4 0.9315 0.957 0.925 100
208 588 587 24 0.964 1 0.918 100
275 615 614 26 0.914 1 0.872 100
281 585 586 318 0.911 1 0.822 100
209 587 586 25 0.963 1 0.918 100
45 612 611 2 1 1 1 34
277 614 613 27 0.912 1 0.872 100
305 640 613 2 0.896 0.896 0.896 100
286 586 376 343 0.908 1 0.822 100
46 611 376 3 1 1 1 100
306 613 376 29 0.908 1 0.838 81
307 376 0 375 0.904 1 0.776 100
