"test" "ass." "obs" "exp" "p.obs>exp"
"104" "temp" "30_node.486" "20" "17.04±2.14" "1"
"105" "temp" "20_node.497" "2" "1.35±0.87" "1"
"106" "temp" "30_node.497" "2" "2.65±0.87" "1"
"107" "temp" "20_node.501" "0" "0.85±0.65" "1"
"108" "temp" "30_node.501" "2" "1.15±0.65" "1"
"109" "temp" "20_node.503" "0" "0.5±0.61" "1"
"110" "temp" "30_node.503" "2" "1.5±0.61" "1"
"111" "temp" "20_node.505" "28" "15.34±2.6" "0.00068"
"112" "temp" "30_node.505" "13" "25.66±2.6" "1"
"113" "temp" "20_node.524" "1" "0.6±0.49" "1"
"114" "temp" "30_node.524" "0" "0.4±0.49" "1"
"115" "temp" "20_node.525" "2" "0.61±0.65" "1"
"116" "temp" "30_node.525" "0" "1.39±0.65" "1"
"117" "temp" "20_node.533" "1" "0.43±0.5" "1"
"118" "temp" "30_node.533" "0" "0.57±0.5" "1"
"119" "temp" "20_node.540" "2" "0.95±0.69" "1"
"120" "temp" "30_node.540" "0" "1.05±0.69" "1"
"121" "temp" "20_node.551" "3" "3.16±1.22" "1"
"122" "temp" "30_node.551" "4" "3.84±1.22" "1"
"123" "temp" "20_node.554" "2" "3.43±1.1" "1"
"124" "temp" "30_node.554" "4" "2.57±1.1" "1"
"125" "temp" "20_node.566" "0" "0.5±0.6" "1"
"126" "temp" "30_node.566" "2" "1.5±0.6" "1"
"127" "temp" "20_node.568" "1" "1.2±0.67" "1"
"128" "temp" "30_node.568" "1" "0.8±0.67" "1"
"129" "temp" "20_node.569" "1" "0.25±0.43" "1"
"130" "temp" "30_node.569" "0" "0.75±0.43" "1"
"131" "temp" "20_node.572" "0" "0.43±0.49" "1"
"132" "temp" "30_node.572" "1" "0.57±0.49" "1"
"133" "temp" "20_node.576" "0" "0.25±0.43" "1"
"134" "temp" "30_node.576" "1" "0.75±0.43" "1"
"135" "temp" "20_node.580" "0" "0.25±0.43" "1"
"136" "temp" "30_node.580" "1" "0.75±0.43" "1"
