"log(Level)" "Level" "(-log10(1.005-PS))" "PS"
5.2523 191 1.2955 0.9544
5.2575 192 1.2919 0.9539
5.2627 193 1.2882 0.9535
5.2679 194 1.2846 0.9531
5.273 195 1.2811 0.9526
5.2781 196 1.2775 0.9522
5.2832 197 1.2739 0.9518
5.2883 198 1.2704 0.9513
5.2933 199 1.2669 0.9509
5.2983 200 1.2634 0.9505
5.3033 201 1.2599 0.95
5.3083 202 1.2565 0.9496
5.3132 203 1.253 0.9492
5.3181 204 1.2496 0.9487
5.323 205 1.2462 0.9483
5.3279 206 1.2428 0.9478
5.3327 207 1.2394 0.9474
5.3375 208 1.236 0.9469
5.3423 209 1.2327 0.9465
5.3471 210 1.2294 0.946
5.3519 211 1.2261 0.9456
5.3566 212 1.2228 0.9451
5.3613 213 1.2195 0.9447
5.366 214 1.2162 0.9442
5.3706 215 1.213 0.9438
5.3753 216 1.2097 0.9433
5.3799 217 1.2065 0.9428
5.3845 218 1.2033 0.9424
5.3891 219 1.2001 0.9419
5.3936 220 1.1969 0.9415
5.3982 221 1.1938 0.941
5.4027 222 1.1906 0.9405
5.4072 223 1.1875 0.9401
5.4116 224 1.1844 0.9396
5.4161 225 1.1813 0.9391
5.4205 226 1.1782 0.9387
5.425 227 1.1751 0.9382
5.4293 228 1.172 0.9377
5.4337 229 1.169 0.9372
5.4381 230 1.1659 0.9368
5.4424 231 1.1629 0.9363
5.4467 232 1.1599 0.9358
5.451 233 1.1569 0.9353
5.4553 234 1.1539 0.9348
5.4596 235 1.1509 0.9344
5.4638 236 1.148 0.9339
5.4681 237 1.145 0.9334
5.4723 238 1.1421 0.9329
5.4765 239 1.1392 0.9324
5.4806 240 1.1363 0.9319
5.4848 241 1.1334 0.9314
5.4889 242 1.1305 0.9309
5.4931 243 1.1276 0.9305
5.4972 244 1.1247 0.93
5.5013 245 1.1219 0.9295
5.5053 246 1.119 0.929
5.5094 247 1.1162 0.9285
5.5134 248 1.1134 0.928
5.5175 249 1.1106 0.9275
5.5215 250 1.1078 0.927
5.5255 251 1.105 0.9265
5.5294 252 1.1022 0.926
5.5334 253 1.0995 0.9255
5.5373 254 1.0967 0.925
5.5413 255 1.094 0.9245
5.5452 256 1.0912 0.924
5.5491 257 1.0885 0.9234
5.553 258 1.0858 0.9229
5.5568 259 1.0831 0.9224
5.5607 260 1.0804 0.9219
5.5645 261 1.0778 0.9214
5.5683 262 1.0751 0.9209
5.5722 263 1.0724 0.9204
5.5759 264 1.0698 0.9198
5.5797 265 1.0672 0.9193
5.5835 266 1.0645 0.9188
5.5872 267 1.0619 0.9183
5.591 268 1.0593 0.9178
5.5947 269 1.0567 0.9172
5.5984 270 1.0541 0.9167
5.6021 271 1.0515 0.9162
5.6058 272 1.049 0.9157
5.6095 273 1.0464 0.9151
5.6131 274 1.0439 0.9146
5.6168 275 1.0413 0.9141
5.6204 276 1.0388 0.9135
5.624 277 1.0363 0.913
5.6276 278 1.0338 0.9125
5.6312 279 1.0313 0.9119
5.6348 280 1.0288 0.9114
5.6384 281 1.0263 0.9109
5.6419 282 1.0238 0.9103
5.6454 283 1.0213 0.9098
5.649 284 1.0189 0.9093
5.6525 285 1.0164 0.9087
5.656 286 1.014 0.9082
5.6595 287 1.0115 0.9076
5.663 288 1.0091 0.9071
5.6664 289 1.0067 0.9065
5.6699 290 1.0043 0.906
5.6733 291 1.0019 0.9054
5.6768 292 0.9995 0.9049
5.6802 293 0.9971 0.9043
5.6836 294 0.9947 0.9038
5.687 295 0.9924 0.9032
5.6904 296 0.99 0.9027
5.6937 297 0.9877 0.9021
5.6971 298 0.9853 0.9016
5.7004 299 0.983 0.901
5.7038 300 0.9806 0.9004
5.7071 301 0.9783 0.8999
5.7104 302 0.976 0.8993
5.7137 303 0.9737 0.8988
5.717 304 0.9714 0.8982
5.7203 305 0.9691 0.8976
5.7236 306 0.9668 0.8971
5.7268 307 0.9646 0.8965
5.7301 308 0.9623 0.8959
5.7333 309 0.96 0.8954
5.7366 310 0.9578 0.8948
5.7398 311 0.9555 0.8942
5.743 312 0.9533 0.8936
5.7462 313 0.9511 0.8931
5.7494 314 0.9488 0.8925
5.7526 315 0.9466 0.8919
5.7557 316 0.9444 0.8913
5.7589 317 0.9422 0.8908
5.7621 318 0.94 0.8902
5.7652 319 0.9378 0.8896
5.7683 320 0.9356 0.889
5.7714 321 0.9335 0.8884
5.7746 322 0.9313 0.8879
5.7777 323 0.9291 0.8873
5.7807 324 0.927 0.8867
5.7838 325 0.9248 0.8861
5.7869 326 0.9227 0.8855
5.79 327 0.9205 0.8849
5.793 328 0.9184 0.8843
5.7961 329 0.9163 0.8837
5.7991 330 0.9142 0.8832
5.8021 331 0.9121 0.8826
5.8051 332 0.91 0.882
5.8081 333 0.9079 0.8814
5.8111 334 0.9058 0.8808
5.8141 335 0.9037 0.8802
5.8171 336 0.9016 0.8796
5.8201 337 0.8995 0.879
5.823 338 0.8975 0.8784
5.826 339 0.8954 0.8778
5.8289 340 0.8934 0.8772
5.8319 341 0.8913 0.8766
5.8348 342 0.8893 0.876
5.8377 343 0.8872 0.8754
5.8406 344 0.8852 0.8747
5.8435 345 0.8832 0.8741
5.8464 346 0.8812 0.8735
5.8493 347 0.8791 0.8729
5.8522 348 0.8771 0.8723
5.8551 349 0.8751 0.8717
5.8579 350 0.8731 0.8711
5.8608 351 0.8712 0.8705
5.8636 352 0.8692 0.8698
5.8665 353 0.8672 0.8692
5.8693 354 0.8652 0.8686
5.8721 355 0.8633 0.868
5.8749 356 0.8613 0.8674
5.8777 357 0.8593 0.8667
5.8805 358 0.8574 0.8661
5.8833 359 0.8554 0.8655
5.8861 360 0.8535 0.8649
5.8889 361 0.8516 0.8643
5.8916 362 0.8496 0.8636
5.8944 363 0.8477 0.863
5.8972 364 0.8458 0.8624
5.8999 365 0.8439 0.8617
5.9026 366 0.842 0.8611
5.9054 367 0.8401 0.8605
5.9081 368 0.8382 0.8598
5.9108 369 0.8363 0.8592
5.9135 370 0.8344 0.8586
5.9162 371 0.8325 0.8579
5.9189 372 0.8306 0.8573
5.9216 373 0.8288 0.8567
5.9243 374 0.8269 0.856
5.9269 375 0.825 0.8554
5.9296 376 0.8232 0.8547
5.9322 377 0.8213 0.8541
5.9349 378 0.8195 0.8535
5.9375 379 0.8176 0.8528
5.9402 380 0.8158 0.8522
5.9428 381 0.814 0.8515
5.9454 382 0.8121 0.8509
5.948 383 0.8103 0.8502
5.9506 384 0.8085 0.8496
5.9532 385 0.8067 0.8489
5.9558 386 0.8049 0.8483
5.9584 387 0.8031 0.8476
5.961 388 0.8013 0.847
5.9636 389 0.7995 0.8463
5.9661 390 0.7977 0.8457
5.9687 391 0.7959 0.845
5.9713 392 0.7941 0.8443
5.9738 393 0.7923 0.8437
5.9764 394 0.7906 0.843
5.9789 395 0.7888 0.8424
5.9814 396 0.787 0.8417
5.9839 397 0.7853 0.841
5.9865 398 0.7835 0.8404
5.989 399 0.7818 0.8397
5.9915 400 0.78 0.8391
5.994 401 0.7783 0.8384
5.9965 402 0.7765 0.8377
5.9989 403 0.7748 0.837
6.0014 404 0.7731 0.8364
6.0039 405 0.7714 0.8357
6.0064 406 0.7696 0.835
6.0088 407 0.7679 0.8344
6.0113 408 0.7662 0.8337
6.0137 409 0.7645 0.833
6.0162 410 0.7628 0.8323
6.0186 411 0.7611 0.8317
6.021 412 0.7594 0.831
6.0234 413 0.7577 0.8303
6.0259 414 0.756 0.8296
6.0283 415 0.7544 0.8289
6.0307 416 0.7527 0.8283
6.0331 417 0.751 0.8276
6.0355 418 0.7493 0.8269
6.0379 419 0.7477 0.8262
6.0403 420 0.746 0.8255
6.0426 421 0.7443 0.8248
6.045 422 0.7427 0.8242
6.0474 423 0.741 0.8235
6.0497 424 0.7394 0.8228
6.0521 425 0.7377 0.8221
6.0544 426 0.7361 0.8214
6.0568 427 0.7345 0.8207
6.0591 428 0.7328 0.82
6.0615 429 0.7312 0.8193
6.0638 430 0.7296 0.8186
6.0661 431 0.728 0.8179
6.0684 432 0.7264 0.8172
6.0707 433 0.7247 0.8165
6.073 434 0.7231 0.8158
6.0753 435 0.7215 0.8151
6.0776 436 0.7199 0.8144
6.0799 437 0.7183 0.8137
6.0822 438 0.7167 0.813
6.0845 439 0.7151 0.8123
6.0868 440 0.7136 0.8116
6.089 441 0.712 0.8109
6.0913 442 0.7104 0.8102
6.0936 443 0.7088 0.8095
6.0958 444 0.7072 0.8088
6.0981 445 0.7057 0.8081
6.1003 446 0.7041 0.8074
6.1026 447 0.7025 0.8066
6.1048 448 0.701 0.8059
6.107 449 0.6994 0.8052
6.1092 450 0.6979 0.8045
6.1115 451 0.6963 0.8038
6.1137 452 0.6948 0.8031
6.1159 453 0.6933 0.8023
6.1181 454 0.6917 0.8016
6.1203 455 0.6902 0.8009
6.1225 456 0.6886 0.8002
6.1247 457 0.6871 0.7995
6.1269 458 0.6856 0.7987
6.1291 459 0.6841 0.798
6.1312 460 0.6826 0.7973
6.1334 461 0.681 0.7966
6.1356 462 0.6795 0.7958
6.1377 463 0.678 0.7951
6.1399 464 0.6765 0.7944
6.142 465 0.675 0.7937
6.1442 466 0.6735 0.7929
6.1463 467 0.672 0.7922
6.1485 468 0.6705 0.7915
6.1506 469 0.669 0.7907
6.1527 470 0.6676 0.79
6.1549 471 0.6661 0.7893
6.157 472 0.6646 0.7885
6.1591 473 0.6631 0.7878
6.1612 474 0.6617 0.7871
6.1633 475 0.6602 0.7863
6.1654 476 0.6587 0.7856
6.1675 477 0.6573 0.7848
6.1696 478 0.6558 0.7841
6.1717 479 0.6543 0.7834
6.1738 480 0.6529 0.7826
6.1759 481 0.6514 0.7819
6.1779 482 0.65 0.7811
6.18 483 0.6485 0.7804
6.1821 484 0.6471 0.7796
6.1841 485 0.6457 0.7789
6.1862 486 0.6442 0.7781
6.1883 487 0.6428 0.7774
6.1903 488 0.6414 0.7766
6.1924 489 0.6399 0.7759
6.1944 490 0.6385 0.7751
6.1964 491 0.6371 0.7744
6.1985 492 0.6357 0.7736
6.2005 493 0.6342 0.7729
6.2025 494 0.6328 0.7721
6.2046 495 0.6314 0.7713
6.2066 496 0.63 0.7706
6.2086 497 0.6286 0.7698
6.2106 498 0.6272 0.7691
6.2126 499 0.6258 0.7683
6.2146 500 0.6244 0.7675
6.2166 501 0.623 0.7668
6.2186 502 0.6216 0.766
6.2206 503 0.6202 0.7652
6.2226 504 0.6189 0.7645
6.2246 505 0.6175 0.7637
6.2265 506 0.6161 0.7629
6.2285 507 0.6147 0.7622
6.2305 508 0.6133 0.7614
6.2324 509 0.612 0.7606
6.2344 510 0.6106 0.7599
6.2364 511 0.6092 0.7591
6.2383 512 0.6079 0.7583
6.2403 513 0.6065 0.7575
6.2422 514 0.6052 0.7568
6.2442 515 0.6038 0.756
6.2461 516 0.6024 0.7552
6.248 517 0.6011 0.7544
6.25 518 0.5997 0.7537
6.2519 519 0.5984 0.7529
6.2538 520 0.5971 0.7521
6.2558 521 0.5957 0.7513
6.2577 522 0.5944 0.7505
6.2596 523 0.593 0.7498
6.2615 524 0.5917 0.749
6.2634 525 0.5904 0.7482
6.2653 526 0.5891 0.7474
6.2672 527 0.5877 0.7466
6.2691 528 0.5864 0.7458
6.271 529 0.5851 0.745
6.2729 530 0.5838 0.7442
6.2748 531 0.5825 0.7435
6.2766 532 0.5811 0.7427
6.2785 533 0.5798 0.7419
6.2804 534 0.5785 0.7411
6.2823 535 0.5772 0.7403
6.2841 536 0.5759 0.7395
6.286 537 0.5746 0.7387
6.2879 538 0.5733 0.7379
6.2897 539 0.572 0.7371
6.2916 540 0.5707 0.7363
6.2934 541 0.5695 0.7355
6.2953 542 0.5682 0.7347
6.2971 543 0.5669 0.7339
6.2989 544 0.5656 0.7331
6.3008 545 0.5643 0.7323
6.3026 546 0.563 0.7315
6.3044 547 0.5618 0.7307
6.3063 548 0.5605 0.7299
6.3081 549 0.5592 0.7291
6.3099 550 0.5579 0.7283
6.3117 551 0.5567 0.7275
6.3135 552 0.5554 0.7267
6.3154 553 0.5542 0.7258
6.3172 554 0.5529 0.725
6.319 555 0.5516 0.7242
6.3208 556 0.5504 0.7234
6.3226 557 0.5491 0.7226
6.3244 558 0.5479 0.7218
