"Level" "PS" "test" "ass." "obs" "exp" "p.obs.exp"
"75" "165" "0.965" "temp" "20_node.504" "28" "15.32±2.6" "0.00034"
"76" "166" "0.9646" "site" "SBL_node.450" "16" "8.87±1.87" "0.00064"
"77" "166" "0.9646" "temp" "30_node.409" "49" "39.13±2.97" "0.0224"
"78" "166" "0.9646" "temp" "20_node.504" "28" "15.35±2.6" "0.00032"
"79" "167" "0.9642" "temp" "30_node.409" "49" "39.13±2.97" "0.018"
"80" "175" "0.961" "site" "SBL_node.450" "16" "8.86±1.87" "0.0024"
"81" "175" "0.961" "temp" "30_node.409" "49" "39.13±2.97" "0.0186"
"82" "176" "0.9606" "site" "SBL_node.450" "16" "8.87±1.86" "0.00084"
"83" "176" "0.9606" "temp" "20_node.407" "31" "16.54±2.69" "0.00028"
"84" "176" "0.9606" "temp" "30_node.409" "49" "39.12±2.97" "0.01736"
"85" "185" "0.9569" "site" "SBL_node.450" "16" "8.87±1.86" "0.00112"
"86" "185" "0.9569" "temp" "20_node.407" "31" "16.55±2.7" "0.00028"
"87" "185" "0.9569" "temp" "30_node.409" "49" "39.14±2.96" "0.01148"
"88" "187" "0.9561" "site" "SBL_node.450" "16" "8.86±1.86" "0.00168"
"89" "187" "0.9561" "temp" "20_node.407" "31" "16.53±2.68" "0.00028"
"90" "187" "0.9561" "temp" "30_node.409" "49" "39.13±2.96" "0.0126"
"91" "190" "0.9548" "site" "SBL_node.450" "16" "8.87±1.87" "0.00028"
"92" "190" "0.9548" "temp" "20_node.407" "31" "16.55±2.68" "0.00028"
"93" "190" "0.9548" "temp" "30_node.409" "49" "39.13±2.96" "0.01568"
"94" "192" "0.9539" "site" "SBL_node.450" "16" "8.86±1.86" "0.00052"
"95" "192" "0.9539" "temp" "20_node.407" "31" "16.55±2.69" "0.00026"
"96" "192" "0.9539" "temp" "30_node.409" "49" "39.14±2.96" "0.01794"
"97" "194" "0.9531" "site" "SBL_node.450" "16" "8.87±1.87" "0.0012"
"98" "194" "0.9531" "temp" "20_node.407" "31" "16.55±2.7" "0.00024"
"99" "194" "0.9531" "temp" "30_node.409" "49" "39.13±2.97" "0.01344"
"100" "195" "0.9526" "site" "SBL_node.450" "16" "8.87±1.87" "0.00088"
"101" "195" "0.9526" "temp" "20_node.407" "31" "16.55±2.69" "0.00022"
"102" "195" "0.9526" "temp" "30_node.409" "49" "39.12±2.98" "0.01606"
"103" "196" "0.9522" "site" "SBL_node.450" "16" "8.86±1.86" "0.00088"
"104" "196" "0.9522" "temp" "20_node.407" "31" "16.54±2.68" "0.00022"
"105" "196" "0.9522" "temp" "30_node.409" "49" "39.14±2.96" "0.01518"
"106" "197" "0.9518" "site" "MSH_node.408" "8" "4.3±1.15" "0.042"
"107" "197" "0.9518" "temp" "30_node.409" "49" "39.13±2.97" "0.0156"
"108" "199" "0.9509" "site" "MSH_node.408" "8" "4.3±1.15" "0.04104"
"109" "199" "0.9509" "temp" "20_node.407" "31" "16.55±2.69" "0.00018"
"110" "199" "0.9509" "temp" "30_node.409" "49" "39.13±2.96" "0.01008"
"111" "205" "0.9483" "site" "MSH_node.408" "8" "4.31±1.15" "0.03216"
"112" "205" "0.9483" "site" "SBL_node.409" "70" "56.16±2.91" "0.00016"
"113" "205" "0.9483" "temp" "20_node.407" "31" "16.54±2.68" "0.00016"
"114" "205" "0.9483" "temp" "30_node.409" "82" "69.35±2.94" "0.00016"
"115" "206" "0.9478" "site" "SBL_node.408" "70" "59.84±2.81" "0.00406"
"116" "206" "0.9478" "site" "MSH_node.530" "15" "11.21±1.28" "0.0483"
"117" "206" "0.9478" "temp" "20_node.407" "31" "16.55±2.69" "0.00014"
"118" "206" "0.9478" "temp" "30_node.408" "88" "74.66±2.98" "0.00028"
"119" "225" "0.9391" "site" "SBL_node.406" "89" "82.46±2.05" "0.01812"
"120" "225" "0.9391" "site" "MSH_node.530" "15" "11.22±1.27" "0.03804"
"121" "226" "0.9387" "site" "SBL_node.406" "89" "82.46±2.05" "0.0158"
"122" "227" "0.9382" "site" "SBL_node.406" "89" "82.45±2.05" "0.01264"
"123" "227" "0.9382" "site" "MSH_node.529" "22" "16.33±1.63" "0.00464"
"124" "228" "0.9377" "site" "SBL_node.406" "89" "82.46±2.05" "0.0099"
"125" "228" "0.9377" "site" "MSH_node.528" "22" "16.79±1.69" "0.01284"
