"test" "ass." "obs" "exp" "p.obs>exp"
"1" "site" "SBL_node.380" "2" "3.63±1.17" "1"
"2" "site" "MSH_node.380" "4" "2.37±1.17" "1"
"3" "site" "SBL_node.403" "1" "0.71±0.45" "1"
"4" "site" "MSH_node.403" "0" "0.29±0.45" "1"
"5" "site" "SBL_node.414" "2" "1.31±0.67" "1"
"6" "site" "MSH_node.414" "0" "0.69±0.67" "1"
"7" "site" "SBL_node.415" "25" "22.51±2.66" "1"
"8" "site" "MSH_node.415" "20" "22.49±2.66" "1"
"9" "site" "SBL_node.434" "5" "3.21±1.05" "1"
"10" "site" "MSH_node.434" "0" "1.79±1.05" "1"
"11" "site" "SBL_node.437" "1" "0.6±0.49" "1"
"12" "site" "MSH_node.437" "0" "0.4±0.49" "1"
"13" "site" "SBL_node.438" "4" "2.86±1.09" "1"
"14" "site" "MSH_node.438" "1" "2.14±1.09" "1"
"15" "site" "SBL_node.442" "1" "0.6±0.49" "1"
"16" "site" "MSH_node.442" "0" "0.4±0.49" "1"
"17" "site" "SBL_node.443" "0" "0.53±0.5" "1"
"18" "site" "MSH_node.443" "1" "0.47±0.5" "1"
"19" "site" "SBL_node.448" "2" "1.31±0.67" "1"
"20" "site" "MSH_node.448" "0" "0.69±0.67" "1"
"21" "site" "SBL_node.450" "16" "8.86±1.87" "0.00156"
"22" "site" "MSH_node.450" "0" "7.14±1.87" "1"
"23" "site" "SBL_node.483" "1" "0.33±0.47" "1"
"24" "site" "MSH_node.483" "0" "0.67±0.47" "1"
"25" "site" "SBL_node.486" "13" "14.03±2.24" "1"
"26" "site" "MSH_node.486" "12" "10.97±2.24" "1"
"27" "site" "SBL_node.497" "0" "1.9±0.82" "1"
"28" "site" "MSH_node.497" "4" "2.1±0.82" "1"
"29" "site" "SBL_node.501" "0" "1.79±0.84" "1"
"30" "site" "MSH_node.501" "4" "2.21±0.84" "1"
"31" "site" "SBL_node.504" "17" "21.57±2.42" "1"
"32" "site" "MSH_node.504" "24" "19.43±2.42" "1"
"33" "site" "SBL_node.524" "0" "0±0" "1"
"34" "site" "MSH_node.524" "1" "1±0" "1"
"35" "site" "SBL_node.525" "2" "1.04±0.65" "1"
"36" "site" "MSH_node.525" "0" "0.96±0.65" "1"
"37" "site" "SBL_node.533" "0" "0.34±0.47" "1"
"38" "site" "MSH_node.533" "1" "0.66±0.47" "1"
"39" "site" "SBL_node.540" "1" "0.71±0.45" "1"
"40" "site" "MSH_node.540" "1" "1.29±0.45" "1"
"41" "site" "SBL_node.548" "0" "2.59±1.09" "1"
"42" "site" "MSH_node.548" "13" "10.41±1.09" "1"
"43" "site" "SBL_node.566" "0" "1.2±0.69" "1"
"44" "site" "MSH_node.566" "2" "0.8±0.69" "1"
"45" "site" "SBL_node.568" "0" "0±0" "1"
"46" "site" "MSH_node.568" "2" "2±0" "1"
"47" "site" "SBL_node.569" "0" "1.24±0.68" "1"
"48" "site" "MSH_node.569" "2" "0.76±0.68" "1"
"49" "site" "SBL_node.576" "0" "0.6±0.49" "1"
"50" "site" "MSH_node.576" "1" "0.4±0.49" "1"
"51" "site" "SBL_node.580" "1" "0.53±0.5" "1"
"52" "site" "MSH_node.580" "0" "0.47±0.5" "1"
"53" "temp" "20_node.380" "1" "1.89±1.11" "1"
"54" "temp" "30_node.380" "5" "4.11±1.11" "1"
"55" "temp" "20_node.403" "1" "0.36±0.48" "1"
"56" "temp" "30_node.403" "0" "0.64±0.48" "1"
"57" "temp" "20_node.414" "1" "0.71±0.67" "1"
"58" "temp" "30_node.414" "1" "1.29±0.67" "1"
"59" "temp" "20_node.415" "8" "15.79±2.76" "1"
"60" "temp" "30_node.415" "37" "29.21±2.76" "0.17004"
"61" "temp" "20_node.434" "2" "1.77±1.03" "1"
"62" "temp" "30_node.434" "3" "3.23±1.03" "1"
"63" "temp" "20_node.437" "0" "0.35±0.48" "1"
"64" "temp" "30_node.437" "1" "0.65±0.48" "1"
"65" "temp" "20_node.438" "0" "1.46±1" "1"
"66" "temp" "30_node.438" "5" "3.54±1" "1"
"67" "temp" "20_node.442" "0" "0.35±0.48" "1"
"68" "temp" "30_node.442" "1" "0.65±0.48" "1"
"69" "temp" "20_node.443" "0" "0.43±0.49" "1"
"70" "temp" "30_node.443" "1" "0.57±0.49" "1"
"71" "temp" "20_node.448" "1" "0.71±0.67" "1"
"72" "temp" "30_node.448" "1" "1.29±0.67" "1"
"73" "temp" "20_node.450" "4" "4.84±1.66" "1"
"74" "temp" "30_node.450" "12" "11.16±1.66" "1"
"75" "temp" "20_node.483" "1" "0.25±0.43" "1"
"76" "temp" "30_node.483" "0" "0.75±0.43" "1"
"77" "temp" "20_node.486" "5" "7.99±2.13" "1"
"78" "temp" "30_node.486" "20" "17.01±2.13" "1"
"79" "temp" "20_node.497" "2" "1.35±0.88" "1"
"80" "temp" "30_node.497" "2" "2.65±0.88" "1"
"81" "temp" "20_node.501" "0" "1.35±0.88" "1"
"82" "temp" "30_node.501" "4" "2.65±0.88" "1"
"83" "temp" "20_node.504" "28" "15.33±2.6" "0.00104"
"84" "temp" "30_node.504" "13" "25.67±2.6" "1"
"85" "temp" "20_node.524" "1" "0.6±0.49" "1"
"86" "temp" "30_node.524" "0" "0.4±0.49" "1"
