"test" "ass." "obs" "exp" "p.obs>exp"
"1" "site" "SBL_node.379" "2" "3.64±1.17" "1"
"2" "site" "MSH_node.379" "4" "2.36±1.17" "1"
"3" "site" "SBL_node.403" "1" "0.71±0.45" "1"
"4" "site" "MSH_node.403" "0" "0.29±0.45" "1"
"5" "site" "SBL_node.412" "1" "1.13±0.7" "1"
"6" "site" "MSH_node.412" "1" "0.87±0.7" "1"
"7" "site" "SBL_node.413" "37" "30.48±2.86" "0.67599"
"8" "site" "MSH_node.413" "21" "27.52±2.86" "1"
"9" "site" "SBL_node.448" "2" "1.31±0.67" "1"
"10" "site" "MSH_node.448" "0" "0.69±0.67" "1"
"11" "site" "SBL_node.450" "16" "8.86±1.87" "0.0016"
"12" "site" "MSH_node.450" "0" "7.14±1.87" "1"
"13" "site" "SBL_node.483" "1" "0.33±0.47" "1"
"14" "site" "MSH_node.483" "0" "0.67±0.47" "1"
"15" "site" "SBL_node.486" "13" "14.04±2.24" "1"
"16" "site" "MSH_node.486" "12" "10.96±2.24" "1"
"17" "site" "SBL_node.497" "0" "3.69±1.16" "1"
"18" "site" "MSH_node.497" "8" "4.31±1.16" "0.0984"
"19" "site" "SBL_node.504" "17" "21.56±2.41" "1"
"20" "site" "MSH_node.504" "24" "19.44±2.41" "1"
"21" "site" "SBL_node.524" "0" "0±0" "1"
"22" "site" "MSH_node.524" "1" "1±0" "1"
"23" "site" "SBL_node.525" "2" "1.04±0.65" "1"
"24" "site" "MSH_node.525" "0" "0.96±0.65" "1"
"25" "site" "SBL_node.533" "0" "0.33±0.47" "1"
"26" "site" "MSH_node.533" "1" "0.67±0.47" "1"
"27" "site" "SBL_node.534" "1" "0.71±0.45" "1"
"28" "site" "MSH_node.534" "1" "1.29±0.45" "1"
"29" "site" "SBL_node.548" "0" "2.59±1.09" "1"
"30" "site" "MSH_node.548" "13" "10.41±1.09" "0.91239"
"31" "site" "SBL_node.566" "0" "1.19±0.69" "1"
"32" "site" "MSH_node.566" "2" "0.81±0.69" "1"
"33" "site" "SBL_node.568" "0" "0±0" "1"
"34" "site" "MSH_node.568" "2" "2±0" "1"
"35" "site" "SBL_node.569" "0" "1.24±0.67" "1"
"36" "site" "MSH_node.569" "2" "0.76±0.67" "1"
"37" "site" "SBL_node.576" "0" "0.6±0.49" "1"
"38" "site" "MSH_node.576" "1" "0.4±0.49" "1"
"39" "site" "SBL_node.580" "1" "0.53±0.5" "1"
"40" "site" "MSH_node.580" "0" "0.47±0.5" "1"
"41" "temp" "20_node.379" "1" "1.9±1.11" "1"
"42" "temp" "30_node.379" "5" "4.1±1.11" "1"
"43" "temp" "20_node.403" "1" "0.35±0.48" "1"
"44" "temp" "30_node.403" "0" "0.65±0.48" "1"
"45" "temp" "20_node.412" "0" "0.79±0.69" "1"
"46" "temp" "30_node.412" "2" "1.21±0.69" "1"
"47" "temp" "20_node.413" "11" "20.08±2.94" "1"
"48" "temp" "30_node.413" "47" "37.92±2.94" "0.0576"
"49" "temp" "20_node.448" "1" "0.71±0.67" "1"
"50" "temp" "30_node.448" "1" "1.29±0.67" "1"
"51" "temp" "20_node.450" "4" "4.84±1.66" "1"
"52" "temp" "30_node.450" "12" "11.16±1.66" "1"
"53" "temp" "20_node.483" "1" "0.25±0.43" "1"
"54" "temp" "30_node.483" "0" "0.75±0.43" "1"
"55" "temp" "20_node.486" "5" "7.97±2.14" "1"
"56" "temp" "30_node.486" "20" "17.03±2.14" "1"
"57" "temp" "20_node.497" "2" "2.7±1.19" "1"
"58" "temp" "30_node.497" "6" "5.3±1.19" "1"
"59" "temp" "20_node.504" "28" "15.34±2.59" "4e-04"
"60" "temp" "30_node.504" "13" "25.66±2.59" "1"
"61" "temp" "20_node.524" "1" "0.6±0.49" "1"
"62" "temp" "30_node.524" "0" "0.4±0.49" "1"
"63" "temp" "20_node.525" "2" "0.6±0.65" "1"
"64" "temp" "30_node.525" "0" "1.4±0.65" "1"
"65" "temp" "20_node.533" "1" "0.43±0.49" "1"
"66" "temp" "30_node.533" "0" "0.57±0.49" "1"
"67" "temp" "20_node.534" "2" "0.96±0.68" "1"
"68" "temp" "30_node.534" "0" "1.04±0.68" "1"
"69" "temp" "20_node.548" "5" "6.6±1.5" "1"
"70" "temp" "30_node.548" "8" "6.4±1.5" "1"
"71" "temp" "20_node.566" "0" "0.5±0.6" "1"
"72" "temp" "30_node.566" "2" "1.5±0.6" "1"
"73" "temp" "20_node.568" "1" "1.2±0.67" "1"
"74" "temp" "30_node.568" "1" "0.8±0.67" "1"
"75" "temp" "20_node.569" "1" "0.69±0.66" "1"
"76" "temp" "30_node.569" "1" "1.31±0.66" "1"
"77" "temp" "20_node.576" "0" "0.25±0.43" "1"
"78" "temp" "30_node.576" "1" "0.75±0.43" "1"
"79" "temp" "20_node.580" "0" "0.25±0.43" "1"
"80" "temp" "30_node.580" "1" "0.75±0.43" "1"
