"test" "ass." "obs" "exp" "p.obs>exp"
"1" "site" "SBL_node.380" "2" "3.63±1.17" "1"
"2" "site" "MSH_node.380" "4" "2.37±1.17" "1"
"3" "site" "SBL_node.403" "1" "0.71±0.45" "1"
"4" "site" "MSH_node.403" "0" "0.29±0.45" "1"
"5" "site" "SBL_node.414" "2" "1.3±0.67" "1"
"6" "site" "MSH_node.414" "0" "0.7±0.67" "1"
"7" "site" "SBL_node.415" "25" "22.5±2.67" "1"
"8" "site" "MSH_node.415" "20" "22.5±2.67" "1"
"9" "site" "SBL_node.434" "10" "6.66±1.55" "1"
"10" "site" "MSH_node.434" "1" "4.34±1.55" "1"
"11" "site" "SBL_node.442" "1" "0.6±0.49" "1"
"12" "site" "MSH_node.442" "0" "0.4±0.49" "1"
"13" "site" "SBL_node.443" "0" "0.53±0.5" "1"
"14" "site" "MSH_node.443" "1" "0.47±0.5" "1"
"15" "site" "SBL_node.448" "2" "1.31±0.67" "1"
"16" "site" "MSH_node.448" "0" "0.69±0.67" "1"
"17" "site" "SBL_node.450" "16" "8.86±1.87" "0.00336"
"18" "site" "MSH_node.450" "0" "7.14±1.87" "1"
"19" "site" "SBL_node.483" "1" "0.33±0.47" "1"
"20" "site" "MSH_node.483" "0" "0.67±0.47" "1"
"21" "site" "SBL_node.486" "13" "14.04±2.24" "1"
"22" "site" "MSH_node.486" "12" "10.96±2.24" "1"
"23" "site" "SBL_node.497" "0" "1.91±0.82" "1"
"24" "site" "MSH_node.497" "4" "2.09±0.82" "1"
"25" "site" "SBL_node.501" "0" "1.79±0.84" "1"
"26" "site" "MSH_node.501" "4" "2.21±0.84" "1"
"27" "site" "SBL_node.504" "17" "21.57±2.42" "1"
"28" "site" "MSH_node.504" "24" "19.43±2.42" "1"
"29" "site" "SBL_node.524" "0" "0±0" "1"
"30" "site" "MSH_node.524" "1" "1±0" "1"
"31" "site" "SBL_node.525" "2" "1.04±0.65" "1"
"32" "site" "MSH_node.525" "0" "0.96±0.65" "1"
"33" "site" "SBL_node.533" "0" "0.33±0.47" "1"
"34" "site" "MSH_node.533" "1" "0.67±0.47" "1"
"35" "site" "SBL_node.540" "1" "0.71±0.45" "1"
"36" "site" "MSH_node.540" "1" "1.29±0.45" "1"
"37" "site" "SBL_node.548" "0" "2.6±1.09" "1"
"38" "site" "MSH_node.548" "13" "10.4±1.09" "1"
"39" "site" "SBL_node.566" "0" "1.19±0.69" "1"
"40" "site" "MSH_node.566" "2" "0.81±0.69" "1"
"41" "site" "SBL_node.568" "0" "0±0" "1"
"42" "site" "MSH_node.568" "2" "2±0" "1"
"43" "site" "SBL_node.569" "0" "1.24±0.67" "1"
"44" "site" "MSH_node.569" "2" "0.76±0.67" "1"
"45" "site" "SBL_node.576" "0" "0.6±0.49" "1"
"46" "site" "MSH_node.576" "1" "0.4±0.49" "1"
"47" "site" "SBL_node.580" "1" "0.53±0.5" "1"
"48" "site" "MSH_node.580" "0" "0.47±0.5" "1"
"49" "temp" "20_node.380" "1" "1.89±1.11" "1"
"50" "temp" "30_node.380" "5" "4.11±1.11" "1"
"51" "temp" "20_node.403" "1" "0.35±0.48" "1"
"52" "temp" "30_node.403" "0" "0.65±0.48" "1"
"53" "temp" "20_node.414" "1" "0.71±0.67" "1"
"54" "temp" "30_node.414" "1" "1.29±0.67" "1"
"55" "temp" "20_node.415" "8" "15.79±2.76" "1"
"56" "temp" "30_node.415" "37" "29.21±2.76" "0.15408"
"57" "temp" "20_node.434" "2" "3.58±1.47" "1"
"58" "temp" "30_node.434" "9" "7.42±1.47" "1"
"59" "temp" "20_node.442" "0" "0.36±0.48" "1"
"60" "temp" "30_node.442" "1" "0.64±0.48" "1"
"61" "temp" "20_node.443" "0" "0.43±0.5" "1"
"62" "temp" "30_node.443" "1" "0.57±0.5" "1"
"63" "temp" "20_node.448" "1" "0.71±0.67" "1"
"64" "temp" "30_node.448" "1" "1.29±0.67" "1"
"65" "temp" "20_node.450" "4" "4.83±1.66" "1"
"66" "temp" "30_node.450" "12" "11.17±1.66" "1"
"67" "temp" "20_node.483" "1" "0.25±0.43" "1"
"68" "temp" "30_node.483" "0" "0.75±0.43" "1"
"69" "temp" "20_node.486" "5" "7.98±2.13" "1"
"70" "temp" "30_node.486" "20" "17.02±2.13" "1"
"71" "temp" "20_node.497" "2" "1.35±0.88" "1"
"72" "temp" "30_node.497" "2" "2.65±0.88" "1"
"73" "temp" "20_node.501" "0" "1.35±0.88" "1"
"74" "temp" "30_node.501" "4" "2.65±0.88" "1"
"75" "temp" "20_node.504" "28" "15.32±2.6" "0.00048"
"76" "temp" "30_node.504" "13" "25.68±2.6" "1"
"77" "temp" "20_node.524" "1" "0.6±0.49" "1"
"78" "temp" "30_node.524" "0" "0.4±0.49" "1"
"79" "temp" "20_node.525" "2" "0.6±0.65" "1"
"80" "temp" "30_node.525" "0" "1.4±0.65" "1"
"81" "temp" "20_node.533" "1" "0.44±0.5" "1"
"82" "temp" "30_node.533" "0" "0.56±0.5" "1"
"83" "temp" "20_node.540" "2" "0.96±0.68" "1"
"84" "temp" "30_node.540" "0" "1.04±0.68" "1"
"85" "temp" "20_node.548" "5" "6.6±1.51" "1"
"86" "temp" "30_node.548" "8" "6.4±1.51" "1"
