"test" "ass." "obs" "exp" "p.obs>exp"
"1" "site" "SBL_node.401" "2" "3.63±1.17" "1"
"2" "site" "MSH_node.401" "4" "2.37±1.17" "1"
"3" "site" "SBL_node.403" "1" "0.71±0.45" "1"
"4" "site" "MSH_node.403" "0" "0.29±0.45" "1"
"5" "site" "SBL_node.407" "19" "22.61±2.42" "1"
"6" "site" "MSH_node.407" "25" "21.39±2.42" "1"
"7" "site" "SBL_node.409" "38" "31.61±2.88" "0.56111"
"8" "site" "MSH_node.409" "22" "28.39±2.88" "1"
"9" "site" "SBL_node.448" "2" "1.31±0.67" "1"
"10" "site" "MSH_node.448" "0" "0.69±0.67" "1"
"11" "site" "SBL_node.449" "14" "14.37±2.27" "1"
"12" "site" "MSH_node.449" "12" "11.63±2.27" "1"
"13" "site" "SBL_node.450" "16" "8.86±1.86" "0.00168"
"14" "site" "MSH_node.450" "0" "7.14±1.86" "1"
"15" "site" "SBL_node.497" "0" "3.69±1.16" "1"
"16" "site" "MSH_node.497" "8" "4.31±1.16" "0.06692"
"17" "site" "SBL_node.529" "0" "1.84±0.83" "1"
"18" "site" "MSH_node.529" "5" "3.16±0.83" "1"
"19" "site" "SBL_node.533" "0" "0.33±0.47" "1"
"20" "site" "MSH_node.533" "1" "0.67±0.47" "1"
"21" "site" "SBL_node.534" "1" "0.71±0.45" "1"
"22" "site" "MSH_node.534" "1" "1.29±0.45" "1"
"23" "site" "SBL_node.547" "0" "2.59±1.09" "1"
"24" "site" "MSH_node.547" "13" "10.41±1.09" "0.62271"
"25" "site" "SBL_node.566" "0" "1.19±0.69" "1"
"26" "site" "MSH_node.566" "2" "0.81±0.69" "1"
"27" "site" "SBL_node.580" "1" "0.54±0.5" "1"
"28" "site" "MSH_node.580" "0" "0.46±0.5" "1"
"29" "temp" "20_node.401" "1" "1.89±1.11" "1"
"30" "temp" "30_node.401" "5" "4.11±1.11" "1"
"31" "temp" "20_node.403" "1" "0.36±0.48" "1"
"32" "temp" "30_node.403" "0" "0.64±0.48" "1"
"33" "temp" "20_node.407" "31" "16.53±2.68" "0.00028"
"34" "temp" "30_node.407" "13" "27.47±2.68" "1"
"35" "temp" "20_node.409" "11" "20.87±2.96" "1"
"36" "temp" "30_node.409" "49" "39.13±2.96" "0.0126"
"37" "temp" "20_node.448" "1" "0.71±0.67" "1"
"38" "temp" "30_node.448" "1" "1.29±0.67" "1"
"39" "temp" "20_node.449" "6" "8.23±2.16" "1"
"40" "temp" "30_node.449" "20" "17.77±2.16" "1"
"41" "temp" "20_node.450" "4" "4.84±1.66" "1"
"42" "temp" "30_node.450" "12" "11.16±1.66" "1"
"43" "temp" "20_node.497" "2" "2.71±1.19" "1"
"44" "temp" "30_node.497" "6" "5.29±1.19" "1"
"45" "temp" "20_node.529" "2" "2.13±1.03" "1"
"46" "temp" "30_node.529" "3" "2.87±1.03" "1"
"47" "temp" "20_node.533" "1" "0.43±0.5" "1"
"48" "temp" "30_node.533" "0" "0.57±0.5" "1"
"49" "temp" "20_node.534" "2" "0.96±0.68" "1"
"50" "temp" "30_node.534" "0" "1.04±0.68" "1"
"51" "temp" "20_node.547" "5" "6.59±1.51" "1"
"52" "temp" "30_node.547" "8" "6.41±1.51" "1"
"53" "temp" "20_node.566" "0" "0.5±0.6" "1"
"54" "temp" "30_node.566" "2" "1.5±0.6" "1"
"55" "temp" "20_node.580" "0" "0.25±0.43" "1"
"56" "temp" "30_node.580" "1" "0.75±0.43" "1"
