"test" "ass." "obs" "exp" "p.obs>exp"
"1" "site" "SBL_node.399" "2" "3.63±1.17" "1"
"2" "site" "MSH_node.399" "4" "2.37±1.17" "1"
"3" "site" "SBL_node.403" "1" "0.71±0.45" "1"
"4" "site" "MSH_node.403" "0" "0.29±0.45" "1"
"5" "site" "SBL_node.409" "38" "31.62±2.87" "0.65891"
"6" "site" "MSH_node.409" "22" "28.38±2.87" "1"
"7" "site" "SBL_node.448" "2" "1.31±0.67" "1"
"8" "site" "MSH_node.448" "0" "0.69±0.67" "1"
"9" "site" "SBL_node.450" "16" "8.88±1.86" "0.00102"
"10" "site" "MSH_node.450" "0" "7.12±1.86" "1"
"11" "site" "SBL_node.461" "14" "14.36±2.28" "1"
"12" "site" "MSH_node.461" "12" "11.64±2.28" "1"
"13" "site" "SBL_node.497" "0" "3.69±1.16" "1"
"14" "site" "MSH_node.497" "8" "4.31±1.16" "0.08602"
"15" "site" "SBL_node.504" "17" "21.56±2.41" "1"
"16" "site" "MSH_node.504" "24" "19.44±2.41" "1"
"17" "site" "SBL_node.524" "0" "0±0" "1"
"18" "site" "MSH_node.524" "1" "1±0" "1"
"19" "site" "SBL_node.525" "2" "1.04±0.65" "1"
"20" "site" "MSH_node.525" "0" "0.96±0.65" "1"
"21" "site" "SBL_node.533" "0" "0.34±0.47" "1"
"22" "site" "MSH_node.533" "1" "0.66±0.47" "1"
"23" "site" "SBL_node.534" "1" "0.71±0.45" "1"
"24" "site" "MSH_node.534" "1" "1.29±0.45" "1"
"25" "site" "SBL_node.548" "0" "2.59±1.09" "1"
"26" "site" "MSH_node.548" "13" "10.41±1.09" "0.77281"
"27" "site" "SBL_node.566" "0" "1.19±0.69" "1"
"28" "site" "MSH_node.566" "2" "0.81±0.69" "1"
"29" "site" "SBL_node.567" "0" "1.24±0.68" "1"
"30" "site" "MSH_node.567" "4" "2.76±0.68" "1"
"31" "site" "SBL_node.576" "0" "0.6±0.49" "1"
"32" "site" "MSH_node.576" "1" "0.4±0.49" "1"
"33" "site" "SBL_node.580" "1" "0.54±0.5" "1"
"34" "site" "MSH_node.580" "0" "0.46±0.5" "1"
"35" "temp" "20_node.399" "1" "1.9±1.1" "1"
"36" "temp" "30_node.399" "5" "4.1±1.1" "1"
"37" "temp" "20_node.403" "1" "0.36±0.48" "1"
"38" "temp" "30_node.403" "0" "0.64±0.48" "1"
"39" "temp" "20_node.409" "11" "20.88±2.97" "1"
"40" "temp" "30_node.409" "49" "39.12±2.97" "0.01972"
"41" "temp" "20_node.448" "1" "0.71±0.67" "1"
"42" "temp" "30_node.448" "1" "1.29±0.67" "1"
"43" "temp" "20_node.450" "4" "4.83±1.67" "1"
"44" "temp" "30_node.450" "12" "11.17±1.67" "1"
"45" "temp" "20_node.461" "6" "8.22±2.16" "1"
"46" "temp" "30_node.461" "20" "17.78±2.16" "1"
"47" "temp" "20_node.497" "2" "2.7±1.2" "1"
"48" "temp" "30_node.497" "6" "5.3±1.2" "1"
"49" "temp" "20_node.504" "28" "15.32±2.6" "0.00034"
"50" "temp" "30_node.504" "13" "25.68±2.6" "1"
"51" "temp" "20_node.524" "1" "0.6±0.49" "1"
"52" "temp" "30_node.524" "0" "0.4±0.49" "1"
"53" "temp" "20_node.525" "2" "0.61±0.65" "1"
"54" "temp" "30_node.525" "0" "1.39±0.65" "1"
"55" "temp" "20_node.533" "1" "0.43±0.5" "1"
"56" "temp" "30_node.533" "0" "0.57±0.5" "1"
"57" "temp" "20_node.534" "2" "0.95±0.68" "1"
"58" "temp" "30_node.534" "0" "1.05±0.68" "1"
"59" "temp" "20_node.548" "5" "6.61±1.5" "1"
"60" "temp" "30_node.548" "8" "6.39±1.5" "1"
"61" "temp" "20_node.566" "0" "0.5±0.6" "1"
"62" "temp" "30_node.566" "2" "1.5±0.6" "1"
"63" "temp" "20_node.567" "2" "1.88±0.94" "1"
"64" "temp" "30_node.567" "2" "2.12±0.94" "1"
"65" "temp" "20_node.576" "0" "0.25±0.43" "1"
"66" "temp" "30_node.576" "1" "0.75±0.43" "1"
"67" "temp" "20_node.580" "0" "0.25±0.43" "1"
"68" "temp" "30_node.580" "1" "0.75±0.43" "1"
