"test" "ass." "obs" "exp" "p.obs>exp"
"1" "site" "SBL_node.381" "0" "0.71±0.45" "1"
"2" "site" "MSH_node.381" "1" "0.29±0.45" "1"
"3" "site" "SBL_node.387" "1" "1.19±0.69" "1"
"4" "site" "MSH_node.387" "1" "0.81±0.69" "1"
"5" "site" "SBL_node.396" "1" "1.19±0.69" "1"
"6" "site" "MSH_node.396" "1" "0.81±0.69" "1"
"7" "site" "SBL_node.398" "0" "0.54±0.5" "1"
"8" "site" "MSH_node.398" "1" "0.46±0.5" "1"
"9" "site" "SBL_node.403" "1" "0.71±0.45" "1"
"10" "site" "MSH_node.403" "0" "0.29±0.45" "1"
"11" "site" "SBL_node.419" "1" "4.85±1.46" "1"
"12" "site" "MSH_node.419" "13" "9.15±1.46" "1"
"13" "site" "SBL_node.420" "0" "1.13±0.7" "1"
"14" "site" "MSH_node.420" "2" "0.87±0.7" "1"
"15" "site" "SBL_node.421" "0" "1.13±0.7" "1"
"16" "site" "MSH_node.421" "2" "0.87±0.7" "1"
"17" "site" "SBL_node.422" "1" "1.19±0.69" "1"
"18" "site" "MSH_node.422" "1" "0.81±0.69" "1"
"19" "site" "SBL_node.424" "1" "1.13±0.7" "1"
"20" "site" "MSH_node.424" "1" "0.87±0.7" "1"
"21" "site" "SBL_node.425" "1" "0.59±0.49" "1"
"22" "site" "MSH_node.425" "0" "0.41±0.49" "1"
"23" "site" "SBL_node.426" "1" "0.53±0.5" "1"
"24" "site" "MSH_node.426" "0" "0.47±0.5" "1"
"25" "site" "SBL_node.427" "8" "5.18±1.43" "1"
"26" "site" "MSH_node.427" "1" "3.82±1.43" "1"
"27" "site" "SBL_node.428" "1" "0.6±0.49" "1"
"28" "site" "MSH_node.428" "0" "0.4±0.49" "1"
"29" "site" "SBL_node.429" "1" "0.71±0.45" "1"
"30" "site" "MSH_node.429" "0" "0.29±0.45" "1"
"31" "site" "SBL_node.430" "2" "1.19±0.69" "1"
"32" "site" "MSH_node.430" "0" "0.81±0.69" "1"
"33" "site" "SBL_node.431" "2" "1.19±0.69" "1"
"34" "site" "MSH_node.431" "0" "0.81±0.69" "1"
"35" "site" "SBL_node.432" "6" "3.06±1.17" "1"
"36" "site" "MSH_node.432" "0" "2.94±1.17" "1"
"37" "site" "SBL_node.433" "2" "1.31±0.67" "1"
"38" "site" "MSH_node.433" "0" "0.69±0.67" "1"
"39" "site" "SBL_node.435" "1" "0.6±0.49" "1"
"40" "site" "MSH_node.435" "0" "0.4±0.49" "1"
"41" "site" "SBL_node.436" "4" "2.62±0.93" "1"
"42" "site" "MSH_node.436" "0" "1.38±0.93" "1"
"43" "site" "SBL_node.437" "1" "0.6±0.49" "1"
"44" "site" "MSH_node.437" "0" "0.4±0.49" "1"
"45" "site" "SBL_node.438" "1" "0.6±0.49" "1"
"46" "site" "MSH_node.438" "0" "0.4±0.49" "1"
"47" "site" "SBL_node.440" "2" "1.07±0.7" "1"
"48" "site" "MSH_node.440" "0" "0.93±0.7" "1"
"49" "site" "SBL_node.441" "1" "1.19±0.69" "1"
"50" "site" "MSH_node.441" "1" "0.81±0.69" "1"
"51" "site" "SBL_node.446" "0" "0.53±0.5" "1"
"52" "site" "MSH_node.446" "1" "0.47±0.5" "1"
"53" "site" "SBL_node.447" "1" "0.6±0.49" "1"
"54" "site" "MSH_node.447" "0" "0.4±0.49" "1"
"55" "site" "SBL_node.451" "1" "0.33±0.47" "1"
"56" "site" "MSH_node.451" "0" "0.67±0.47" "1"
"57" "site" "SBL_node.454" "1" "0.71±0.45" "1"
