"test" "ass." "obs" "exp" "p.obs>exp"
"1" "site" "SBL_node.379" "2" "3.63±1.17" "1"
"2" "site" "MSH_node.379" "4" "2.37±1.17" "1"
"3" "site" "SBL_node.403" "1" "0.71±0.45" "1"
"4" "site" "MSH_node.403" "0" "0.29±0.45" "1"
"5" "site" "SBL_node.409" "38" "31.6±2.88" "0.70703"
"6" "site" "MSH_node.409" "22" "28.4±2.88" "1"
"7" "site" "SBL_node.448" "2" "1.31±0.67" "1"
"8" "site" "MSH_node.448" "0" "0.69±0.67" "1"
"9" "site" "SBL_node.450" "16" "8.87±1.86" "0.0018"
"10" "site" "MSH_node.450" "0" "7.13±1.86" "1"
"11" "site" "SBL_node.461" "1" "0.33±0.47" "1"
"12" "site" "MSH_node.461" "0" "0.67±0.47" "1"
"13" "site" "SBL_node.485" "13" "14.04±2.24" "1"
"14" "site" "MSH_node.485" "12" "10.96±2.24" "1"
"15" "site" "SBL_node.497" "0" "3.7±1.16" "1"
"16" "site" "MSH_node.497" "8" "4.3±1.16" "0.08316"
"17" "site" "SBL_node.504" "17" "21.55±2.42" "1"
"18" "site" "MSH_node.504" "24" "19.45±2.42" "1"
"19" "site" "SBL_node.524" "0" "0±0" "1"
"20" "site" "MSH_node.524" "1" "1±0" "1"
"21" "site" "SBL_node.525" "2" "1.05±0.66" "1"
"22" "site" "MSH_node.525" "0" "0.95±0.66" "1"
"23" "site" "SBL_node.533" "0" "0.33±0.47" "1"
"24" "site" "MSH_node.533" "1" "0.67±0.47" "1"
"25" "site" "SBL_node.534" "1" "0.71±0.45" "1"
"26" "site" "MSH_node.534" "1" "1.29±0.45" "1"
"27" "site" "SBL_node.548" "0" "2.59±1.09" "1"
"28" "site" "MSH_node.548" "13" "10.41±1.09" "0.81143"
"29" "site" "SBL_node.566" "0" "1.19±0.69" "1"
"30" "site" "MSH_node.566" "2" "0.81±0.69" "1"
"31" "site" "SBL_node.567" "0" "1.25±0.67" "1"
"32" "site" "MSH_node.567" "4" "2.75±0.67" "1"
"33" "site" "SBL_node.576" "0" "0.6±0.49" "1"
"34" "site" "MSH_node.576" "1" "0.4±0.49" "1"
"35" "site" "SBL_node.580" "1" "0.53±0.5" "1"
"36" "site" "MSH_node.580" "0" "0.47±0.5" "1"
"37" "temp" "20_node.379" "1" "1.89±1.11" "1"
"38" "temp" "30_node.379" "5" "4.11±1.11" "1"
"39" "temp" "20_node.403" "1" "0.35±0.48" "1"
"40" "temp" "30_node.403" "0" "0.65±0.48" "1"
"41" "temp" "20_node.409" "11" "20.87±2.96" "1"
"42" "temp" "30_node.409" "49" "39.13±2.96" "0.01548"
"43" "temp" "20_node.448" "1" "0.71±0.67" "1"
"44" "temp" "30_node.448" "1" "1.29±0.67" "1"
"45" "temp" "20_node.450" "4" "4.84±1.68" "1"
"46" "temp" "30_node.450" "12" "11.16±1.68" "1"
"47" "temp" "20_node.461" "1" "0.25±0.43" "1"
"48" "temp" "30_node.461" "0" "0.75±0.43" "1"
"49" "temp" "20_node.485" "5" "7.97±2.13" "1"
"50" "temp" "30_node.485" "20" "17.03±2.13" "1"
"51" "temp" "20_node.497" "2" "2.7±1.19" "1"
"52" "temp" "30_node.497" "6" "5.3±1.19" "1"
"53" "temp" "20_node.504" "28" "15.35±2.61" "0.00036"
"54" "temp" "30_node.504" "13" "25.65±2.61" "1"
"55" "temp" "20_node.524" "1" "0.6±0.49" "1"
"56" "temp" "30_node.524" "0" "0.4±0.49" "1"
"57" "temp" "20_node.525" "2" "0.61±0.65" "1"
"58" "temp" "30_node.525" "0" "1.39±0.65" "1"
"59" "temp" "20_node.533" "1" "0.43±0.5" "1"
"60" "temp" "30_node.533" "0" "0.57±0.5" "1"
"61" "temp" "20_node.534" "2" "0.96±0.68" "1"
"62" "temp" "30_node.534" "0" "1.04±0.68" "1"
"63" "temp" "20_node.548" "5" "6.59±1.51" "1"
"64" "temp" "30_node.548" "8" "6.41±1.51" "1"
"65" "temp" "20_node.566" "0" "0.5±0.6" "1"
"66" "temp" "30_node.566" "2" "1.5±0.6" "1"
"67" "temp" "20_node.567" "2" "1.88±0.94" "1"
"68" "temp" "30_node.567" "2" "2.12±0.94" "1"
"69" "temp" "20_node.576" "0" "0.25±0.43" "1"
"70" "temp" "30_node.576" "1" "0.75±0.43" "1"
"71" "temp" "20_node.580" "0" "0.25±0.43" "1"
"72" "temp" "30_node.580" "1" "0.75±0.43" "1"
