"L-44" "L-45" "L-46" "L-48" "L-50" "L-51" "L-52" "L-55" "L-56" "L-57" "L-58" "L-61" "L-65" "L-74" "L-75" "L-76" "L-78" "L-79" "L-82" "L-83" "L-84" "L-85" "L-86" "L-89" "L-90" "L-96" "L-97" "L-100" "L-104" "L-105" "L-106" "L-107" "L-110" "L-111" "L-122" "L-137" "L-138" "L-139" "L-153" "L-157" "L-165" "L-166" "L-167" "L-175" "L-176" "L-185" "L-187" "L-190" "L-192" "L-194" "L-195" "L-196" "L-197" "L-199" "L-205" "L-206" "L-225" "L-226" "L-227" "L-228" "L-271" "L-307"
"Fac" 91 91 91 91 91 91 91 91 91 91 91 91 91 91 91 91 91 91 91 91 91 91 91 91 91 91 91 91 91 91 91 91 91 91 91 91 91 91 91 91 91 91 91 91 91 91 91 91 91 91 91 91 91 91 91 91 91 91 91 91 91 91
"Nodes" 83 78 69 68 68 65 59 58 56 51 49 48 47 44 43 42 40 39 39 37 36 35 34 33 32 31 30 29 28 26 25 24 24 23 23 22 21 20 19 18 17 16 15 15 14 14 14 14 13 12 11 11 10 9 8 7 6 5 4 3 2 1
"Pr(>F) HOST" 0.543845615438456 0.418558144185581 0.451654834516548 0.521947805219478 0.521247875212479 0.466853314668533 0.54004599540046 0.52024797520248 0.463253674632537 0.439456054394561 0.432556744325567 0.564443555644436 0.568143185681432 0.650734926507349 0.663033696630337 0.635036496350365 0.548745125487451 0.552144785521448 0.556944305569443 0.482251774822518 0.52034796520348 0.502049795020498 0.505149485051495 0.482251774822518 0.442455754424558 0.417658234176582 0.439256074392561 0.452854714528547 0.467753224677532 0.443455654434557 0.464753524647535 0.498050194980502 0.497250274972503 0.498350164983502 0.501549845015498 0.381461853814619 0.377662233776622 0.353964603539646 0.508449155084492 0.537146285371463 0.597140285971403 0.594640535946405 0.773722627737226 0.77032296770323 0.776722327767223 0.776622337766223 0.768123187681232 0.767523247675233 0.77992200779922 0.777222277772223 0.798920107989201 0.790520947905209 0.722227777222278 0.75002499750025 0.740625937406259 0.681831816818318 0.18048195180482 0.221177882211779 0.201179882011799 0.226577342265773 0.146585341465853 0.24987501249875
"Pr(>F) TEMP" 0.0011998800119988 0.001999800019998 9.99900009999e-05 9.99900009999e-05 9.99900009999e-05 9.99900009999e-05 0.0001999800019998 0.0001999800019998 0.0002999700029997 0.0004999500049995 9.99900009999e-05 0.0001999800019998 0.0001999800019998 0.0002999700029997 0.0001999800019998 0.0001999800019998 9.99900009999e-05 0.0001999800019998 9.99900009999e-05 9.99900009999e-05 9.99900009999e-05 9.99900009999e-05 9.99900009999e-05 9.99900009999e-05 9.99900009999e-05 0.0001999800019998 9.99900009999e-05 9.99900009999e-05 9.99900009999e-05 9.99900009999e-05 9.99900009999e-05 9.99900009999e-05 9.99900009999e-05 9.99900009999e-05 9.99900009999e-05 9.99900009999e-05 9.99900009999e-05 9.99900009999e-05 9.99900009999e-05 9.99900009999e-05 9.99900009999e-05 9.99900009999e-05 9.99900009999e-05 9.99900009999e-05 9.99900009999e-05 9.99900009999e-05 9.99900009999e-05 9.99900009999e-05 9.99900009999e-05 9.99900009999e-05 9.99900009999e-05 9.99900009999e-05 9.99900009999e-05 9.99900009999e-05 0.0001999800019998 9.99900009999e-05 0.208479152084792 0.222477752224778 0.19038096190381 0.182081791820818 0.0241975802419758 0.0634936506349365
"Pr(>F) DAY" 0.0147985201479852 0.0100989901009899 0.0046995300469953 0.0026997300269973 0.0037996200379962 0.0053994600539946 0.0181981801819818 0.0172982701729827 0.0146985301469853 0.0078992100789921 0.0027997200279972 0.0056994300569943 0.012998700129987 0.0193980601939806 0.0195980401959804 0.0194980501949805 0.0533946605339466 0.0581941805819418 0.0583941605839416 0.0850914908509149 0.338466153384662 0.324067593240676 0.284571542845715 0.379362063793621 0.23007699230077 0.197880211978802 0.187681231876812 0.189281071892811 0.0833916608339166 0.063993600639936 0.0592940705929407 0.0725927407259274 0.0750924907509249 0.0698930106989301 0.078992100789921 0.0864913508649135 0.0911908809119088 0.0981901809819018 0.117088291170883 0.114088591140886 0.143285671432857 0.143385661433857 0.166383361663834 0.168683131686831 0.167283271672833 0.172682731726827 0.160983901609839 0.168283171682832 0.209079092090791 0.212878712128787 0.197580241975802 0.204579542045795 0.126387361263874 0.0774922507749225 0.0311968803119688 0.0601939806019398 0.0082991700829917 0.0112988701129887 0.0214978502149785 0.0190980901909809 0.0092990700929907 0.313068693130687
"Pr(>F) SITE:HOST" 0.404059594040596 0.235576442355764 0.496250374962504 0.472352764723528 0.47015298470153 0.417058294170583 0.478852114788521 0.462553744625537 0.473652634736526 0.362763723627637 0.316168383161684 0.275572442755724 0.214878512148785 0.181781821817818 0.188181181881812 0.188281171882812 0.0780921907809219 0.0840915908409159 0.0843915608439156 0.151284871512849 0.121087891210879 0.103989601039896 0.154884511548845 0.207979202079792 0.143685631436856 0.14038596140386 0.132886711328867 0.134586541345865 0.15998400159984 0.44015598440156 0.436256374362564 0.389461053894611 0.397660233976602 0.399260073992601 0.397860213978602 0.323467653234677 0.323767623237676 0.515048495150485 0.523147685231477 0.531046895310469 0.541245875412459 0.536146385361464 0.53964603539646 0.538046195380462 0.550944905509449 0.552644735526447 0.542745725427457 0.54004599540046 0.622337766223378 0.62043795620438 0.713528647135287 0.692130786921308 0.782121787821218 0.708229177082292 0.431256874312569 0.223477652234777 0.018998100189981 0.0212978702129787 0.0042995700429957 0.0027997200279972 0.251374862513749 0.537846215378462
"Pr(>F) SITE:TEMP" 0.274472552744726 0.304569543045695 0.218078192180782 0.182481751824818 0.187981201879812 0.146085391460854 0.178182181781822 0.174582541745825 0.246575342465753 0.192080791920808 0.237476252374763 0.226177382261774 0.175182481751825 0.613338666133387 0.596940305969403 0.567943205679432 0.468353164683532 0.473152684731527 0.476352364763524 0.494450554944506 0.565543445655434 0.536446355364464 0.592740725927407 0.594240575942406 0.566643335666433 0.513948605139486 0.517448255174483 0.518148185181482 0.527547245275472 0.35036496350365 0.335066493350665 0.342165783421658 0.344765523447655 0.336766323367663 0.340865913408659 0.387261273872613 0.401459854014599 0.334166583341666 0.242775722427757 0.234776522347765 0.215978402159784 0.222577742225777 0.265573442655734 0.259374062593741 0.271472852714729 0.281071892810719 0.271672832716728 0.284171582841716 0.282571742825717 0.278972102789721 0.270972902709729 0.275172482751725 0.335466453354665 0.381561843815618 0.937706229377062 0.991700829917008 0.922107789221078 0.904209579042096 0.761223877612239 0.884711528847115 0.844415558444156 0.471552844715528
"Pr(>F) HOST:TEMP" 0.261673832616738 0.235576442355764 0.248475152484752 0.204079592040796 0.202579742025797 0.220577942205779 0.163183681631837 0.141585841415858 0.185981401859814 0.229277072292771 0.173782621737826 0.141985801419858 0.104789521047895 0.0842915708429157 0.0814918508149185 0.0894910508949105 0.0711928807119288 0.0660933906609339 0.0682931706829317 0.0900909909009099 0.104489551044896 0.122587741225877 0.115588441155884 0.16968303169683 0.151584841515848 0.135186481351865 0.138386161383862 0.135486451354865 0.131786821317868 0.245375462453755 0.262973702629737 0.269273072692731 0.261373862613739 0.277472252774723 0.268673132686731 0.313568643135686 0.327567243275672 0.22047795220478 0.201279872012799 0.185981401859814 0.281171882811719 0.285671432856714 0.425457454254575 0.424357564243576 0.452054794520548 0.453154684531547 0.445655434456554 0.454154584541546 0.479252074792521 0.485851414858514 0.409159084091591 0.414858514148585 0.534246575342466 0.551544845515448 0.445655434456554 0.416558344165583 0.493950604939506 0.64023597640236 0.796720327967203 0.740625937406259 0.884211578842116 0.709129087091291
"Pr(>F) SITE:DAY" 0.45005499450055 0.317068293170683 0.308269173082692 0.316668333166683 0.315668433156684 0.322267773222678 0.222477752224778 0.2000799920008 0.182681731826817 0.261073892610739 0.216278372162784 0.219178082191781 0.263873612638736 0.203379662033797 0.204879512048795 0.244375562443756 0.215678432156784 0.21017898210179 0.215278472152785 0.182481751824818 0.146785321467853 0.159084091590841 0.118288171182882 0.152084791520848 0.147385261473853 0.131586841315868 0.12988701129887 0.134786521347865 0.132186781321868 0.122387761223878 0.128487151284872 0.16018398160184 0.157384261573843 0.157384261573843 0.154884511548845 0.165883411658834 0.164983501649835 0.192680731926807 0.17968203179682 0.178082191780822 0.183381661833817 0.184081591840816 0.191380861913809 0.186981301869813 0.190780921907809 0.184181581841816 0.191380861913809 0.185281471852815 0.157784221577842 0.159284071592841 0.151784821517848 0.152584741525847 0.367963203679632 0.578942105789421 0.420957904209579 0.471952804719528 0.160783921607839 0.15978402159784 0.118788121187881 0.123087691230877 0.283071692830717 0.250874912508749
"Pr(>F) HOST:DAY" 0.821017898210179 0.744725527447255 0.509049095090491 0.521247875212479 0.534746525347465 0.517948205179482 0.534046595340466 0.53004699530047 0.521047895210479 0.408759124087591 0.34036596340366 0.26027397260274 0.3000699930007 0.504249575042496 0.503849615038496 0.451054894510549 0.147685231476852 0.150984901509849 0.145885411458854 0.186581341865813 0.302369763023698 0.326267373262674 0.528647135286471 0.766423357664234 0.708229177082292 0.683731626837316 0.679132086791321 0.681831816818318 0.784921507849215 0.681631836816318 0.687631236876312 0.66043395660434 0.655234476552345 0.649435056494351 0.658334166583342 0.602939706029397 0.581741825817418 0.435656434356564 0.299370062993701 0.303669633036696 0.310868913108689 0.304169583041696 0.467953204679532 0.461853814618538 0.44015598440156 0.45035496450355 0.44015598440156 0.445055494450555 0.477052294770523 0.445355464453555 0.504649535046495 0.494950504949505 0.490650934906509 0.512548745125487 0.752524747525247 0.612438756124388 0.445255474452555 0.425957404259574 0.304669533046695 0.307969203079692 0.121187881211879 0.0054994500549945
"Pr(>F) TEMP:DAY" 0.126687331266873 0.145885411458854 0.0858914108589141 0.100989901009899 0.1003899610039 0.110588941105889 0.055994400559944 0.0535946405359464 0.057994200579942 0.0352964703529647 0.0134986501349865 0.0174982501749825 0.0326967303269673 0.0623937606239376 0.0618938106189381 0.064993500649935 0.0547945205479452 0.055994400559944 0.0543945605439456 0.022997700229977 0.513548645135486 0.513748625137486 0.531046895310469 0.517948205179482 0.425057494250575 0.384861513848615 0.38026197380262 0.381061893810619 0.647035296470353 0.633536646335366 0.632836716328367 0.577042295770423 0.579342065793421 0.573642635736426 0.584441555844416 0.4004599540046 0.408359164083592 0.472652734726527 0.431356864313569 0.45955404459554 0.466953304669533 0.454554544545545 0.457954204579542 0.461353864613539 0.467253274672533 0.477352264773523 0.471652834716528 0.478352164783522 0.462753724627537 0.449355064493551 0.525547445255474 0.523247675232477 0.54984501549845 0.482651734826517 0.565243475652435 0.995800419958004 0.855314468553145 0.997700229977002 0.998700129987001 0.998400159984002 0.256074392560744 0.44995500449955
"Pr(>F) SITE:HOST:TEMP" 0.638736126387361 0.621337866213379 0.295570442955704 0.188981101889811 0.181481851814819 0.167783221677832 0.0891910808919108 0.0814918508149185 0.0783921607839216 0.108689131086891 0.112388761123888 0.10958904109589 0.126387361263874 0.0767923207679232 0.075992400759924 0.0914908509149085 0.0906909309069093 0.0883911608839116 0.094990500949905 0.0891910808919108 0.0977902209779022 0.0935906409359064 0.105289471052895 0.0984901509849015 0.0810918908109189 0.0686931306869313 0.0726927307269273 0.0713928607139286 0.0685931406859314 0.119188081191881 0.118188181181882 0.117188281171883 0.118788121187881 0.118288171182882 0.123687631236876 0.143085691430857 0.145085491450855 0.157984201579842 0.122687731226877 0.123987601239876 0.123787621237876 0.128687131286871 0.127887211278872 0.124687531246875 0.139286071392861 0.140885911408859 0.14028597140286 0.140985901409859 0.104089591040896 0.114788521147885 0.0768923107689231 0.0831916808319168 0.10968903109689 0.12038796120388 0.187881211878812 0.124087591240876 0.14018598140186 0.156184381561844 0.508449155084492 0.515948405159484 0.273172682731727 0.705429457054295
"Pr(>F) SITE:HOST:DAY" 0.0936906309369063 0.0581941805819418 0.0740925907409259 0.107789221077892 0.107489251074893 0.104689531046895 0.0706929307069293 0.0701929807019298 0.0540945905409459 0.0307969203079692 0.0313968603139686 0.0358964103589641 0.0323967603239676 0.104689531046895 0.105089491050895 0.185181481851815 0.217378262173783 0.226777322267773 0.218778122187781 0.154684531546845 0.180881911808819 0.168383161683832 0.216878312168783 0.283071692830717 0.18008199180082 0.173782621737826 0.171382861713829 0.173882611738826 0.248775122487751 0.354064593540646 0.361463853614639 0.383761623837616 0.375562443755624 0.379162083791621 0.376562343765623 0.355464453554645 0.300669933006699 0.443555644435556 0.5000499950005 0.506349365063494 0.503749625037496 0.50994900509949 0.514348565143486 0.52024797520248 0.5000499950005 0.507649235076492 0.495150484951505 0.491650834916508 0.399060093990601 0.415358464153585 0.417958204179582 0.426557344265573 0.35046495350465 0.580741925807419 0.293570642935706 0.321667833216678 0.0526947305269473 0.0553944605539446 0.0700929907009299 0.0736926307369263 0.136386361363864 0.781221877812219
"Pr(>F) SITE:TEMP:DAY" 0.551844815518448 0.682031796820318 0.415758424157584 0.516348365163484 0.517648235176482 0.522947705229477 0.799420057994201 0.803219678032197 0.794620537946205 0.825217478252175 0.683631636836316 0.668333166683332 0.642435756424358 0.634436556344366 0.640735926407359 0.595540445955404 0.544745525447455 0.537946205379462 0.533246675332467 0.874212578742126 0.833516648335166 0.84951504849515 0.854214578542146 0.845815418458154 0.81991800819918 0.796620337966203 0.794720527947205 0.795220477952205 0.745525447455255 0.823917608239176 0.838416158384162 0.751824817518248 0.752924707529247 0.750624937506249 0.761523847615239 0.634936506349365 0.636536346365363 0.645435456454355 0.777922207779222 0.791720827917208 0.792120787921208 0.798820117988201 0.796820317968203 0.792620737926207 0.805919408059194 0.798420157984202 0.805619438056194 0.805419458054195 0.735126487351265 0.761223877612239 0.792920707929207 0.788021197880212 0.760923907609239 0.794920507949205 0.556744325567443 0.238276172382762 0.944605539446055 0.91030896910309 0.870712928707129 0.865113488651135 0.943905609439056 0.825417458254175
"Pr(>F) HOST:TEMP:DAY" 0.251374862513749 0.315768423157684 0.303569643035696 0.304269573042696 0.306069393060694 0.2996700329967 0.355464453554645 0.331166883311669 0.381861813818618 0.381261873812619 0.242275772422758 0.156884311568843 0.147985201479852 0.461753824617538 0.461953804619538 0.504849515048495 0.462453754624538 0.464353564643536 0.473352664733527 0.421957804219578 0.144185581441856 0.132086791320868 0.0601939806019398 0.0723927607239276 0.0627937206279372 0.0616938306169383 0.0687931206879312 0.0621937806219378 0.048995100489951 0.0512948705129487 0.0540945905409459 0.0552944705529447 0.0502949705029497 0.0584941505849415 0.0523947605239476 0.0317968203179682 0.0362963703629637 0.0322967703229677 0.0366963303669633 0.0407959204079592 0.0422957704229577 0.0394960503949605 0.0463953604639536 0.0426957304269573 0.0444955504449555 0.0511948805119488 0.0495950404959504 0.0505949405059494 0.0384961503849615 0.0340965903409659 0.0252974702529747 0.0265973402659734 0.0300969903009699 0.0238976102389761 0.0252974702529747 0.0451954804519548 0.252074792520748 0.103889611038896 0.0922907709229077 0.0973902609739026 0.186381361863814 0.47045295470453
"Pr(>F) SITE:HOST:TEMP:DAY" 0.457754224577542 0.567543245675432 0.762523747625237 0.742825717428257 0.742725727427257 0.741625837416258 0.78962103789621 0.777922207779222 0.764123587641236 0.644135586441356 0.69013098690131 0.648235176482352 0.687431256874313 0.569243075692431 0.572642735726427 0.611838816118388 0.576342365763424 0.567443255674433 0.564743525647435 0.530846915308469 0.490750924907509 0.482651734826517 0.527047295270473 0.541045895410459 0.428657134286571 0.420957904209579 0.419058094190581 0.41955804419558 0.287771222877712 0.24957504249575 0.255174482551745 0.248075192480752 0.246375362463754 0.25037496250375 0.24967503249675 0.201179882011799 0.221277872212779 0.0952904709529047 0.141385861413859 0.152284771522848 0.15958404159584 0.156484351564844 0.153784621537846 0.154084591540846 0.16028397160284 0.15988401159884 0.171582841715828 0.171382861713829 0.281571842815718 0.283571642835716 0.261473852614739 0.264273572642736 0.182881711828817 0.0800919908009199 0.535146485351465 0.643235676432357 0.492350764923508 0.515948405159484 0.461353864613539 0.463553644635536 0.389161083891611 0.942105789421058
"Pr(>F) Residuals" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Pr(>F) Total" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
