"mean_seq" "max_seq" "min_seq" "seq_or_node" "level" "mother_node" "mother_level"
226 226 226 226 44 514 56
227 227 227 227 44 514 56
228 228 228 228 44 515 78
229 229 229 229 44 515 78
230 230 230 230 44 515 78
231 231 231 231 44 516 58
232 232 232 232 44 517 56
233 233 233 233 44 518 45
234 234 234 234 44 518 45
235 235 235 235 44 520 51
236 236 236 236 44 521 50
237 237 237 237 44 521 50
238 238 238 238 44 521 50
239 239 239 239 44 521 50
240 240 240 240 44 521 50
241 241 241 241 44 522 51
242 242 242 242 44 522 51
243 243 243 243 44 523 45
244 244 244 244 44 523 45
245 245 245 245 44 525 165
246 246 246 246 44 525 165
247 247 247 247 44 526 79
248 248 248 248 44 527 78
249 249 249 249 44 527 78
250 250 250 250 44 527 78
251 251 251 251 44 527 78
252 252 252 252 44 533 201
253 253 253 253 44 535 90
254 254 254 254 44 536 84
255 255 255 255 44 538 78
256 256 256 256 44 538 78
257 257 257 257 44 539 78
258 258 258 258 44 539 78
259 259 259 259 44 540 128
260 260 260 260 44 541 78
261 261 261 261 44 542 45
262 262 262 262 44 542 45
263 263 263 263 44 543 223
264 264 264 264 44 544 97
265 265 265 265 44 544 97
266 266 266 266 44 545 70
267 267 267 267 44 546 65
268 268 268 268 44 546 65
269 269 269 269 44 550 93
270 270 270 270 44 551 90
271 271 271 271 44 551 90
272 272 272 272 44 552 52
273 273 273 273 44 553 51
274 274 274 274 44 553 51
275 275 275 275 44 555 76
276 276 276 276 44 556 45
277 277 277 277 44 557 44
278 278 278 278 44 557 44
279 279 279 279 44 558 51
280 280 280 280 44 558 51
281 281 281 281 44 558 51
282 282 282 282 44 559 82
283 283 283 283 44 560 51
284 284 284 284 44 560 51
285 285 285 285 44 561 45
286 286 286 286 44 561 45
287 287 287 287 44 562 84
288 288 288 288 44 563 83
289 289 289 289 44 564 82
290 290 290 290 44 565 70
291 291 291 291 44 565 70
292 292 292 292 44 566 194
293 293 293 293 44 566 194
294 294 294 294 44 569 153
295 295 295 295 44 570 97
296 296 296 296 44 571 95
297 297 297 297 44 572 94
298 298 298 298 44 573 93
299 299 299 299 44 574 90
300 300 300 300 44 574 90
301 301 301 301 44 575 61
302 302 302 302 44 575 61
303 303 303 303 44 576 175
304 304 304 304 44 577 174
305 305 305 305 44 578 173
306 306 306 306 44 579 45
307 307 307 307 44 579 45
308 308 308 308 44 580 227
309 309 309 309 44 581 206
310 310 310 310 44 581 206
311 311 311 311 44 583 201
312 312 312 312 44 583 201
313 313 313 313 44 584 169
314 314 314 314 44 584 169
315 315 315 315 44 642 185
316 316 316 316 44 642 185
317 317 317 317 44 643 245
318 318 318 318 44 643 245
319 319 319 319 44 587 209
320 320 320 320 44 589 176
321 321 321 321 44 590 171
322 322 322 322 44 591 170
323 323 323 323 44 592 169
324 324 324 324 44 597 97
325 325 325 325 44 598 74
326 326 326 326 44 598 74
327 327 327 327 44 600 45
328 328 328 328 44 601 44
329 329 329 329 44 601 44
330 330 330 330 44 602 45
331 331 331 331 44 602 45
332 332 332 332 44 603 45
333 333 333 333 44 603 45
334 334 334 334 44 604 166
335 335 335 335 44 606 114
336 336 336 336 44 606 114
337 337 337 337 44 607 164
338 338 338 338 44 607 164
339 339 339 339 44 608 167
340 340 340 340 44 608 167
341 341 341 341 44 609 207
342 342 342 342 44 610 51
343 343 343 343 44 610 51
344 344 344 344 44 611 46
345 345 345 345 44 612 45
346 346 346 346 44 612 45
347 347 347 347 44 614 277
348 348 348 348 44 619 45
349 349 349 349 44 619 45
350 350 350 350 44 623 210
351 351 351 351 44 624 45
352 352 352 352 44 624 45
353 353 353 353 44 625 157
354 354 354 354 44 625 157
355 355 355 355 44 626 45
356 356 356 356 44 626 45
357 357 357 357 44 627 177
358 358 358 358 44 628 141
359 359 359 359 44 629 135
360 360 360 360 44 629 135
361 361 361 361 44 630 225
362 362 362 362 44 632 170
363 363 363 363 44 632 170
364 364 364 364 44 633 219
365 365 365 365 44 633 219
366 366 366 366 44 635 268
367 367 367 367 44 635 268
368 368 368 368 44 637 45
369 369 369 369 44 637 45
370 370 370 370 44 638 45
371 371 371 371 44 638 45
372 372 372 372 44 639 240
373 373 373 373 44 639 240
374 374 374 374 44 640 305
375 375 375 375 44 640 305
78 82 74 427 44 426 45
87.5 88 87 431 44 430 45
99.5 101 98 436 44 435 45
117.5 118 117 455 44 454 45
147.5 148 147 477 44 476 45
277.5 278 277 557 44 556 45
328.5 329 328 601 44 600 45
7.5 8 7 654 45 653 78
14.5 16 13 387 45 386 89
17.5 18 17 389 45 388 87
21.5 22 21 393 45 392 84
29.5 30 29 398 45 384 97
32.5 33 32 652 45 651 93
67.5 68 67 422 45 418 57
71.5 72 71 425 45 423 75
75.5 78 73 426 45 416 93
86.1666666666667 87.5 85 430 45 429 46
91.5 94 89 432 45 428 104
95.5 96 95 433 45 414 138
