"test" "ass." "obs" "exp" "p.obs>exp"
"103" "site" "SBL_node.514" "0" "1.24±0.67" "1"
"104" "site" "MSH_node.514" "2" "0.76±0.67" "1"
"105" "site" "SBL_node.515" "2" "1.31±0.67" "1"
"106" "site" "MSH_node.515" "1" "1.69±0.67" "1"
"107" "site" "SBL_node.516" "0" "0.33±0.47" "1"
"108" "site" "MSH_node.516" "1" "0.67±0.47" "1"
"109" "site" "SBL_node.517" "0" "0.6±0.49" "1"
"110" "site" "MSH_node.517" "1" "0.4±0.49" "1"
"111" "site" "SBL_node.518" "1" "1.06±0.7" "1"
"112" "site" "MSH_node.518" "1" "0.94±0.7" "1"
"113" "site" "SBL_node.520" "0" "0.33±0.47" "1"
"114" "site" "MSH_node.520" "1" "0.67±0.47" "1"
"115" "site" "SBL_node.521" "1" "0.33±0.47" "1"
"116" "site" "MSH_node.521" "0" "0.67±0.47" "1"
"117" "site" "SBL_node.522" "0" "0.71±0.45" "1"
"118" "site" "MSH_node.522" "1" "0.29±0.45" "1"
"119" "site" "SBL_node.523" "1" "1.24±0.67" "1"
"120" "site" "MSH_node.523" "1" "0.76±0.67" "1"
"121" "site" "SBL_node.525" "2" "1.04±0.65" "1"
"122" "site" "MSH_node.525" "0" "0.96±0.65" "1"
"123" "site" "SBL_node.526" "0" "0±0" "1"
"124" "site" "MSH_node.526" "1" "1±0" "1"
"125" "site" "SBL_node.533" "0" "0.34±0.47" "1"
"126" "site" "MSH_node.533" "1" "0.66±0.47" "1"
"127" "site" "SBL_node.540" "1" "0.71±0.45" "1"
"128" "site" "MSH_node.540" "0" "0.29±0.45" "1"
"129" "site" "SBL_node.541" "0" "0±0" "1"
"130" "site" "MSH_node.541" "1" "1±0" "1"
"131" "site" "SBL_node.551" "0" "0.6±0.49" "1"
"132" "site" "MSH_node.551" "1" "0.4±0.49" "1"
"133" "site" "SBL_node.552" "0" "0.33±0.47" "1"
"134" "site" "MSH_node.552" "1" "0.67±0.47" "1"
"135" "site" "SBL_node.553" "0" "0.6±0.49" "1"
"136" "site" "MSH_node.553" "2" "1.4±0.49" "1"
"137" "site" "SBL_node.556" "0" "0±0" "1"
"138" "site" "MSH_node.556" "3" "3±0" "1"
"139" "site" "SBL_node.558" "0" "0.53±0.5" "1"
"140" "site" "MSH_node.558" "3" "2.47±0.5" "1"
"141" "site" "SBL_node.559" "0" "0.53±0.5" "1"
"142" "site" "MSH_node.559" "1" "0.47±0.5" "1"
"143" "site" "SBL_node.560" "0" "0±0" "1"
"144" "site" "MSH_node.560" "2" "2±0" "1"
"145" "site" "SBL_node.566" "0" "1.2±0.69" "1"
"146" "site" "MSH_node.566" "2" "0.8±0.69" "1"
"147" "site" "SBL_node.569" "0" "0.71±0.45" "1"
"148" "site" "MSH_node.569" "1" "0.29±0.45" "1"
"149" "site" "SBL_node.572" "0" "0.53±0.5" "1"
"150" "site" "MSH_node.572" "1" "0.47±0.5" "1"
"151" "site" "SBL_node.575" "0" "0±0" "1"
"152" "site" "MSH_node.575" "2" "2±0" "1"
"153" "site" "SBL_node.576" "0" "0.6±0.49" "1"
"154" "site" "MSH_node.576" "1" "0.4±0.49" "1"
"155" "site" "SBL_node.580" "1" "0.53±0.5" "1"
"156" "site" "MSH_node.580" "0" "0.47±0.5" "1"
"157" "temp" "20_node.381" "1" "0.25±0.43" "1"
"158" "temp" "30_node.381" "0" "0.75±0.43" "1"
"159" "temp" "20_node.387" "0" "0.61±0.65" "1"
"160" "temp" "30_node.387" "2" "1.39±0.65" "1"
"161" "temp" "20_node.396" "0" "0.6±0.64" "1"
"162" "temp" "30_node.396" "2" "1.4±0.64" "1"
"163" "temp" "20_node.398" "0" "0.43±0.5" "1"
"164" "temp" "30_node.398" "1" "0.57±0.5" "1"
"165" "temp" "20_node.403" "1" "0.36±0.48" "1"
"166" "temp" "30_node.403" "0" "0.64±0.48" "1"
"167" "temp" "20_node.419" "6" "5.92±1.68" "1"
"168" "temp" "30_node.419" "8" "8.08±1.68" "1"
