"test" "ass." "obs" "exp" "p.obs>exp"
"1" "site" "SBL_node.402" "2" "3.63±1.17" "1"
"2" "site" "MSH_node.402" "4" "2.37±1.17" "1"
"3" "site" "SBL_node.403" "1" "0.71±0.45" "1"
"4" "site" "MSH_node.403" "0" "0.29±0.45" "1"
"5" "site" "SBL_node.407" "19" "22.61±2.42" "1"
"6" "site" "MSH_node.407" "25" "21.39±2.42" "1"
"7" "site" "SBL_node.408" "0" "3.69±1.15" "1"
"8" "site" "MSH_node.408" "8" "4.31±1.15" "0.06468"
"9" "site" "SBL_node.409" "38" "31.62±2.87" "0.53759"
"10" "site" "MSH_node.409" "22" "28.38±2.87" "1"
"11" "site" "SBL_node.448" "2" "1.31±0.67" "1"
"12" "site" "MSH_node.448" "0" "0.69±0.67" "1"
"13" "site" "SBL_node.449" "14" "14.36±2.28" "1"
"14" "site" "MSH_node.449" "12" "11.64±2.28" "1"
"15" "site" "SBL_node.450" "16" "8.87±1.87" "0.00028"
"16" "site" "MSH_node.450" "0" "7.13±1.87" "1"
"17" "site" "SBL_node.529" "0" "1.83±0.83" "1"
"18" "site" "MSH_node.529" "5" "3.17±0.83" "1"
"19" "site" "SBL_node.533" "0" "0.33±0.47" "1"
"20" "site" "MSH_node.533" "1" "0.67±0.47" "1"
"21" "site" "SBL_node.534" "1" "0.71±0.45" "1"
"22" "site" "MSH_node.534" "1" "1.29±0.45" "1"
"23" "site" "SBL_node.547" "0" "2.59±1.09" "1"
"24" "site" "MSH_node.547" "13" "10.41±1.09" "0.63447"
"25" "site" "SBL_node.566" "0" "1.19±0.69" "1"
"26" "site" "MSH_node.566" "2" "0.81±0.69" "1"
"27" "site" "SBL_node.580" "1" "0.53±0.5" "1"
"28" "site" "MSH_node.580" "0" "0.47±0.5" "1"
"29" "temp" "20_node.402" "1" "1.89±1.11" "1"
"30" "temp" "30_node.402" "5" "4.11±1.11" "1"
"31" "temp" "20_node.403" "1" "0.35±0.48" "1"
"32" "temp" "30_node.403" "0" "0.65±0.48" "1"
"33" "temp" "20_node.407" "31" "16.55±2.68" "0.00028"
"34" "temp" "30_node.407" "13" "27.45±2.68" "1"
"35" "temp" "20_node.408" "2" "2.7±1.19" "1"
"36" "temp" "30_node.408" "6" "5.3±1.19" "1"
"37" "temp" "20_node.409" "11" "20.87±2.96" "1"
"38" "temp" "30_node.409" "49" "39.13±2.96" "0.01568"
"39" "temp" "20_node.448" "1" "0.71±0.67" "1"
"40" "temp" "30_node.448" "1" "1.29±0.67" "1"
"41" "temp" "20_node.449" "6" "8.22±2.15" "1"
"42" "temp" "30_node.449" "20" "17.78±2.15" "1"
"43" "temp" "20_node.450" "4" "4.84±1.67" "1"
"44" "temp" "30_node.450" "12" "11.16±1.67" "1"
"45" "temp" "20_node.529" "2" "2.14±1.03" "1"
"46" "temp" "30_node.529" "3" "2.86±1.03" "1"
"47" "temp" "20_node.533" "1" "0.43±0.5" "1"
"48" "temp" "30_node.533" "0" "0.57±0.5" "1"
"49" "temp" "20_node.534" "2" "0.96±0.68" "1"
"50" "temp" "30_node.534" "0" "1.04±0.68" "1"
"51" "temp" "20_node.547" "5" "6.6±1.51" "1"
"52" "temp" "30_node.547" "8" "6.4±1.51" "1"
"53" "temp" "20_node.566" "0" "0.5±0.6" "1"
"54" "temp" "30_node.566" "2" "1.5±0.6" "1"
"55" "temp" "20_node.580" "0" "0.25±0.43" "1"
"56" "temp" "30_node.580" "1" "0.75±0.43" "1"
