"ASV" "Kingdom" "Phyllum" "Class" "Order" "Family" "Genus"
"14" 230 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Lichenibacteriaceae" NA
"984" 231 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Methylobacteriaceae" "Methylobacterium"
"1151" 232 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Caulobacterales" NA NA
"64" 233 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Lichenibacteriaceae" NA
"735" 234 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Methylobacteriaceae" "Enterovirga"
"180" 235 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Lichenibacteriaceae" NA
"427" 236 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Methylocystaceae-like" NA
"291" 237 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Lichenibacteriaceae" NA
"225" 238 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Lichenibacteriaceae" NA
"7" 239 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Lichenibacteriaceae" NA
"377" 240 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Methylocystaceae-like" NA
"1335" 241 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Caulobacterales" NA NA
"986" 242 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Methylobacteriaceae" "Methylobacterium"
"147" 243 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Lichenibacteriaceae" NA
"239" 244 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Lichenibacteriaceae" NA
"217" 245 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Lichenibacteriaceae" NA
"259" 246 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Lichenibacteriaceae" NA
"1167" 247 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Caulobacterales" NA NA
"772" 248 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Methylobacteriaceae" "Enterovirga"
"1181" 249 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Caulobacterales" NA NA
"59" 250 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Lichenibacteriaceae" NA
"1311" 251 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Caulobacterales" NA NA
"117" 252 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Lichenibacteriaceae" NA
"431" 253 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Methylocystaceae-like" NA
"232" 254 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Lichenibacteriaceae" NA
"115" 255 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Lichenibacteriaceae" NA
"852" 256 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Methylobacteriaceae" "Methylobacterium"
"249" 257 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Lichenibacteriaceae" NA
"8" 258 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Lichenibacteriaceae" NA
"400" 259 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Methylocystaceae-like" NA
"2601" 260 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhodospirillales" "Acetobacteraceae" NA
"715" 261 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Methylobacteriaceae" "Enterovirga"
"297" 262 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Lichenibacteriaceae" NA
"163" 263 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Lichenibacteriaceae" NA
"110" 264 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Lichenibacteriaceae" NA
"956" 265 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Methylobacteriaceae" "Methylobacterium"
"293" 266 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Lichenibacteriaceae" NA
"1212" 267 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Caulobacterales" NA NA
"355" 268 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Methylocystaceae-like" NA
"687" 269 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Hyphomicrobiaceae" NA
"829" 270 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Methylobacteriaceae" "Methylobacterium"
"538" 271 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Beijerinckiaceae" "GroupRH"
"192" 272 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Lichenibacteriaceae" NA
"511" 273 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Beijerinckiaceae" "GroupRH"
"284" 274 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Lichenibacteriaceae" NA
"428" 275 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Methylocystaceae-like" NA
"165" 276 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Lichenibacteriaceae" NA
"797" 277 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Methylobacteriaceae" "Methylobacterium"
"104" 278 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Lichenibacteriaceae" NA
"989" 279 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Methylobacteriaceae" "Methylobacterium"
"1197" 280 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Caulobacterales" NA NA
"2811" 281 "Bacteria" "Proteobacteria" "Alphaproteobacteria" NA NA NA
"317" 282 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Methylocystaceae-like" NA
"910" 283 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Methylobacteriaceae" "Methylobacterium"
"346" 284 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Methylocystaceae-like" NA
"625" 285 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Beijerinckiaceae" "GroupRH"
"322" 286 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Methylocystaceae-like" NA
"840" 287 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Methylobacteriaceae" "Methylobacterium"
"496" 288 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Beijerinckiaceae" "GroupRH"
"1221" 289 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Caulobacterales" NA NA
"112" 290 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Lichenibacteriaceae" NA
"914" 291 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Methylobacteriaceae" "Methylobacterium"
"510" 292 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Beijerinckiaceae" "GroupRH"
"251" 293 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Lichenibacteriaceae" NA
"875" 294 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Methylobacteriaceae" "Methylobacterium"
"122" 295 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Lichenibacteriaceae" NA
"574" 296 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Beijerinckiaceae" "GroupRH"
"441" 297 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Methylocystaceae-like" NA
"156" 298 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Lichenibacteriaceae" NA
"985" 299 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Methylobacteriaceae" "Methylobacterium"
"1095" 300 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Aurantimonadaceae" NA
"584" 301 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Beijerinckiaceae" "GroupRH"
"1294" 302 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Caulobacterales" NA NA
"242" 303 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Lichenibacteriaceae" NA
"381" 304 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Methylocystaceae-like" NA
"589" 305 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Beijerinckiaceae" "GroupRH"
"372" 306 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Methylocystaceae-like" NA
"1291" 307 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Caulobacterales" NA NA
"296" 308 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Lichenibacteriaceae" NA
"334" 309 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Methylocystaceae-like" NA
"443" 310 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Methylocystaceae-like" NA
"29" 311 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Lichenibacteriaceae" NA
"253" 312 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Lichenibacteriaceae" NA
"241" 313 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Lichenibacteriaceae" NA
"348" 314 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Methylocystaceae-like" NA
"38" 315 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Lichenibacteriaceae" NA
"876" 316 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Methylobacteriaceae" "Methylobacterium"
"1148" 317 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Caulobacterales" NA NA
"1183" 318 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Caulobacterales" NA NA
"107" 319 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Lichenibacteriaceae" NA
"904" 320 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Methylobacteriaceae" "Methylobacterium"
"323" 321 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Methylocystaceae-like" NA
"559" 322 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Beijerinckiaceae" "GroupRH"
"789" 323 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Methylobacteriaceae" "Enterovirga"
"446" 324 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Methylocystaceae-like" NA
"304" 325 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Lichenibacteriaceae" NA
"645" 326 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Beijerinckiaceae" "GroupRH"
"1292" 327 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Caulobacterales" NA NA
"294" 328 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Lichenibacteriaceae" NA
"185" 329 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Lichenibacteriaceae" NA
"3301" 330 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhodospirillales" "Acetobacteraceae" NA
"43" 331 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Lichenibacteriaceae" NA
"494" 332 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Beijerinckiaceae" "GroupRH"
"850" 333 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Methylobacteriaceae" "Methylobacterium"
"776" 334 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Methylobacteriaceae" "Enterovirga"
"1138" 335 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Caulobacterales" NA NA
"1156" 336 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Caulobacterales" NA NA
"438" 337 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Methylocystaceae-like" NA
"141" 338 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Lichenibacteriaceae" NA
"548" 339 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Beijerinckiaceae" "GroupRH"
"188" 340 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Lichenibacteriaceae" NA
"384" 341 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Methylocystaceae-like" NA
"340" 342 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Methylocystaceae-like" NA
"186" 343 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Lichenibacteriaceae" NA
"177" 344 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Lichenibacteriaceae" NA
"639" 345 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Beijerinckiaceae" "GroupRH"
"580" 346 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Beijerinckiaceae" "GroupRH"
"413" 347 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Methylocystaceae-like" NA
"380" 348 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Methylocystaceae-like" NA
"205" 349 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Lichenibacteriaceae" NA
"683" 350 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" NA NA
"732" 351 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Methylobacteriaceae" "Enterovirga"
"138" 352 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Lichenibacteriaceae" NA
"1137" 353 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Caulobacterales" NA NA
"56" 354 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Lichenibacteriaceae" NA
"515" 355 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Beijerinckiaceae" "GroupRH"
"105" 356 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Lichenibacteriaceae" NA
"543" 357 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Beijerinckiaceae" "GroupRH"
"307" 358 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Lichenibacteriaceae" NA
"350" 359 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Methylocystaceae-like" NA
"202" 360 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Lichenibacteriaceae" NA
"620" 361 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Beijerinckiaceae" "GroupRH"
"965" 362 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Methylobacteriaceae" "Methylobacterium"
"302" 363 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Lichenibacteriaceae" NA
"333" 364 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Methylocystaceae-like" NA
"256" 365 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Lichenibacteriaceae" NA
"80" 366 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Lichenibacteriaceae" NA
"773" 367 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Methylobacteriaceae" "Enterovirga"
"921" 368 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Methylobacteriaceae" "Methylobacterium"
"834" 369 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Methylobacteriaceae" "Methylobacterium"
"397" 370 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Methylocystaceae-like" NA
"811" 371 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Methylobacteriaceae" "Methylobacterium"
"780" 372 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Methylobacteriaceae" "Enterovirga"
"977" 373 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Methylobacteriaceae" "Methylobacterium"
"1211" 374 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Caulobacterales" NA NA
"922" 375 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Methylobacteriaceae" "Methylobacterium"
"337" 376 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Methylocystaceae-like" NA
"756" 377 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Methylobacteriaceae" "Enterovirga"
"1182" 378 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Caulobacterales" NA NA
"958" 379 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Methylobacteriaceae" "Methylobacterium"
"328" 380 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Methylocystaceae-like" NA
"839" 381 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Methylobacteriaceae" "Methylobacterium"
"842" 382 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Methylobacteriaceae" "Methylobacterium"
"1159" 383 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Caulobacterales" NA NA
"1072" 384 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Rhizobiaceae" NA
"467" 385 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Methylocystaceae-like" NA
"731" 386 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Methylobacteriaceae" "Enterovirga"
"508" 387 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Beijerinckiaceae" "GroupRH"
"988" 388 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Methylobacteriaceae" "Methylobacterium"
"957" 389 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Methylobacteriaceae" "Methylobacterium"
"962" 390 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Methylobacteriaceae" "Methylobacterium"
"32" 391 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Lichenibacteriaceae" NA
"195" 392 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Lichenibacteriaceae" NA
"479" 393 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Methylocystaceae-like" NA
"1338" 394 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Caulobacterales" NA NA
"390" 395 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Methylocystaceae-like" NA
"71" 396 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Lichenibacteriaceae" NA
"92" 397 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Lichenibacteriaceae" NA
"1152" 398 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Caulobacterales" NA NA
"1296" 399 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Caulobacterales" NA NA
"27" 400 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Lichenibacteriaceae" NA
"955" 401 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Methylobacteriaceae" "Methylobacterium"
"36" 402 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Lichenibacteriaceae" NA
"604" 403 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Beijerinckiaceae" "GroupRH"
"1096" 404 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Aurantimonadaceae" NA
"343" 405 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Methylocystaceae-like" NA
"936" 406 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Methylobacteriaceae" "Methylobacterium"
"155" 407 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Lichenibacteriaceae" NA
"1224" 408 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Caulobacterales" NA NA
"471" 409 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Methylocystaceae-like" NA
"463" 410 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Methylocystaceae-like" NA
"28" 411 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Lichenibacteriaceae" NA
"183" 412 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Lichenibacteriaceae" NA
"416" 413 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Methylocystaceae-like" NA
"803" 414 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Methylobacteriaceae" "Methylobacterium"
"261" 415 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Lichenibacteriaceae" NA
"498" 416 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Beijerinckiaceae" "GroupRH"
"644" 417 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Beijerinckiaceae" "GroupRH"
"54" 418 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Lichenibacteriaceae" NA
"1312" 419 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Caulobacterales" NA NA
"33" 420 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Lichenibacteriaceae" NA
"888" 421 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Methylobacteriaceae" "Methylobacterium"
"88" 422 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Lichenibacteriaceae" NA
"1172" 423 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Caulobacterales" NA NA
"869" 424 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Methylobacteriaceae" "Methylobacterium"
"603" 425 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Beijerinckiaceae" "GroupRH"
"550" 426 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Beijerinckiaceae" "GroupRH"
"941" 427 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Methylobacteriaceae" "Methylobacterium"
"1070" 428 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" NA NA
"39" 429 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Lichenibacteriaceae" NA
"208" 430 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Lichenibacteriaceae" NA
"108" 431 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Lichenibacteriaceae" NA
"560" 432 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Beijerinckiaceae" "GroupRH"
"252" 433 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Lichenibacteriaceae" NA
"98" 434 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Lichenibacteriaceae" NA
"999" 435 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Bradyrhizobiaceae" NA
"173" 436 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Lichenibacteriaceae" NA
"46" 437 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Lichenibacteriaceae" NA
"250" 438 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Lichenibacteriaceae" NA
"4391" 439 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhodospirillales" NA NA
"99" 440 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Lichenibacteriaceae" NA
"530" 441 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Beijerinckiaceae" "GroupRH"
"553" 442 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Beijerinckiaceae" "GroupRH"
"247" 443 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Lichenibacteriaceae" NA
"199" 444 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Lichenibacteriaceae" NA
"853" 445 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Methylobacteriaceae" "Methylobacterium"
"1180" 446 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Caulobacterales" NA NA
"495" 447 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Beijerinckiaceae" "GroupRH"
"4481" 448 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhodospirillales" "Acetobacteraceae" NA
"980" 449 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Methylobacteriaceae" "Methylobacterium"
"367" 450 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Methylocystaceae-like" NA
"1102" 451 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Aurantimonadaceae" NA
"502" 452 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Beijerinckiaceae" "GroupRH"
"959" 453 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Methylobacteriaceae" "Methylobacterium"
"445" 454 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Methylocystaceae-like" NA
"213" 455 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Lichenibacteriaceae" NA
"1332" 456 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Caulobacterales" NA NA
"558" 457 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Beijerinckiaceae" "GroupRH"
"209" 458 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Lichenibacteriaceae" NA
"96" 459 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Lichenibacteriaceae" NA
"379" 460 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Methylocystaceae-like" NA
"698" 461 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Hyphomicrobiaceae" NA
"287" 462 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Lichenibacteriaceae" NA
"258" 463 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Lichenibacteriaceae" NA
"1205" 464 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Caulobacterales" NA NA
"455" 465 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Methylocystaceae-like" NA
