PHYLO-order	NAME(rpoB-database-taxonomy)	ASV	Phyllo-Curated-Taxonomy	Class	Order	Family	Genus
35	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-45	45	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
36	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-402	402	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
37	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-480	480	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
38	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-315	315	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
39	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-429	429	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
40	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-1234	1234	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
41	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-9	9	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
42	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-1198	1198	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
43	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-331	331	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
44	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-512	512	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
45	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-917	917	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
46	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-437	437	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
47	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-648	648	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
48	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-1213	1213	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
49	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-85	85	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
50	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-644	644	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
51	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-76	76	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
52	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-205	205	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
53	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-534	534	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
54	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-418	418	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
55	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-956	956	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
56	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-354	354	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
57	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-538	538	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
58	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-51	51	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
59	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-250	250	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
60	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-685	685	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
61	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-526	526	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
62	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-211	211	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
63	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-196	196	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
64	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-233	233	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
65	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-1376	1376	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
66	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-1076	1076	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
67	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-1072	1072	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
68	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-43	43	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
69	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-1053	1053	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
70	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-91	91	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
71	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-396	396	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
72	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-55	55	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
73	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-1323	1323	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
74	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-1245	1245	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
75	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-470	470	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
76	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-555	555	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
77	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-741	741	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
78	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-101	101	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
79	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-ASV-39	39	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
80	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-ASV-366	366	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
81	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-ASV-179	179	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
82	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-ASV-1202	1202	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
83	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-ASV-86	86	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
84	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-ASV-1292	1292	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
85	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-165	165	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
86	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-ASV-17	17	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
87	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-ASV-1104	1104	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
88	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-ASV-422	422	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
89	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-24	24	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
90	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-740	740	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
91	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-36	36	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
92	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-397	397	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
93	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-134	134	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
94	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-145	145	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
95	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-1284	1284	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
96	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-459	459	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
97	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-ASV-1026	1026	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
98	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-434	434	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
99	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-440	440	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
100	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-1257	1257	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
101	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-660	660	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
102	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-925	925	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
103	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-918	918	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
104	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-278	278	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
105	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-356	356	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
106	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-786	786	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
107	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-319	319	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
108	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-431	431	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
109	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-1132	1132	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
110	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-264	264	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
111	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-838	838	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
112	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-290	290	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
113	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-667	667	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
114	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-30	30	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
115	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-255	255	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
116	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-103	103	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
117	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-252	252	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
118	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-873	873	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
119	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-ASV-647	647	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
120	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-668	668	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
