PHYLO-order	NAME(rpoB-database-taxonomy)	ASV	Phyllo-Curated-Taxonomy	Class	Order	Family	Genus
146	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-207	207	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
147	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-243	243	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
148	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-172	172	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
149	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-201	201	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
150	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-723	723	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
151	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-665	665	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
152	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-896	896	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
153	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-860	860	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
154	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-540	540	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
155	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-407	407	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
156	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-298	298	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
157	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-1074	1074	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
158	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-1399	1399	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
159	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-94	94	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
160	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-189	189	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
161	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-503	503	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
162	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-68	68	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
163	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-263	263	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
164	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-1248	1248	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
165	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-276	276	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
166	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-153	153	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
167	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-111	111	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
168	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-1162	1162	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
169	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-1005	1005	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
170	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-220	220	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
171	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-748	748	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
172	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-197	197	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
173	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-436	436	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
174	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-19	19	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
175	Rhizobiales-ASV-519	519	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
176	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-57	57	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
177	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-344	344	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
178	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-135	135	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
179	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-137	137	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
180	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-235	235	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
181	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-192	192	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
182	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-831	831	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
183	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-412	412	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
184	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-163	163	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
185	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-329	329	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
186	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-343	343	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
187	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-1392	1392	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
188	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-340	340	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
189	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-14	14	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
190	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-129	129	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
191	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-1338	1338	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
192	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-272	272	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
193	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-877	877	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
194	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-46	46	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
195	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-392	392	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
196	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-499	499	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
197	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-152	152	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
198	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-598	598	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
199	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-444	444	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
200	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-218	218	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
201	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-49	49	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
202	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-360	360	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
203	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-1329	1329	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
204	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-71	71	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
205	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-349	349	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
206	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-144	144	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
207	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-1215	1215	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
208	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-ASV-430	430	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
209	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-458	458	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
210	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-1110	1110	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
211	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-1206	1206	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
212	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-92	92	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
213	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-455	455	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
214	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-1400	1400	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
215	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-90	90	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
216	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_ramalinae-ASV-670	670	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
217	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-245	245	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
218	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-193	193	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
219	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-1002	1002	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
220	Rhizobiales-Methylocystaceae-ASV-885	885	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
221	Rhizobiales-ASV-793	793	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
222	Rhizobiales-ASV-73	73	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
223	Rhizobiales-ASV-166	166	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
224	Rhizobiales-ASV-114	114	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
225	Rhizobiales-ASV-238	238	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
226	Rhizobiales-ASV-38	38	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
227	Rhizobiales-ASV-23	23	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
228	Rhizobiales-ASV-602	602	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
229	Rhizobiales-ASV-148	148	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
230	Rhizobiales-ASV-1044	1044	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
231	Rhizobiales-ASV-485	485	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
232	Rhizobiales-ASV-254	254	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
233	Rhizobiales-ASV-747	747	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
234	Rhizobiales-ASV-31	31	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
235	Rhizobiales-ASV-75	75	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
236	Rhizobiales-ASV-676	676	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
237	Rhizobiales-ASV-53	53	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
238	Rhizobiales-ASV-221	221	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
239	Rhizobiales-ASV-244	244	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
240	Rhizobiales-ASV-59	59	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
241	Rhizobiales-ASV-313	313	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
242	Rhizobiales-ASV-303	303	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
243	Rhizobiales-ASV-22	22	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
244	Rhizobiales-ASV-1178	1178	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
245	Rhizobiales-ASV-1099	1099	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
246	Rhizobiales-ASV-869	869	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
247	Rhizobiales-ASV-443	443	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
248	Rhizobiales-ASV-494	494	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
249	Rhizobiales-ASV-257	257	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
250	Rhizobiales-ASV-438	438	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
251	Rhizobiales-ASV-293	293	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
252	Rhizobiales-ASV-433	433	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
253	Rhizobiales-ASV-312	312	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
254	Rhizobiales-ASV-466	466	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
255	Rhizobiales-ASV-484	484	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
256	Rhizobiales-ASV-365	365	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
257	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-690	690	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
258	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-463	463	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
259	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_ramalinae-ASV-246	246	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
260	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_ramalinae-ASV-653	653	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
261	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-415	415	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
262	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_minor-ASV-610	610	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
263	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_ramalinae-ASV-912	912	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
264	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_ramalinae-ASV-1016	1016	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
265	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_ramalinae-ASV-1255	1255	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
266	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_ramalinae-ASV-1264	1264	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
267	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_ramalinae-ASV-1256	1256	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
268	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_ramalinae-ASV-1243	1243	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
269	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_ramalinae-ASV-10	10	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
270	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_ramalinae-ASV-832	832	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
271	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-ASV-633	633	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
272	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_ramalinae-ASV-1194	1194	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
273	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_ramalinae-ASV-120	120	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
274	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_ramalinae-ASV-1130	1130	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
275	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_ramalinae-ASV-592	592	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
276	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_ramalinae-ASV-1310	1310	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
277	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_ramalinae-ASV-1155	1155	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
278	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_ramalinae-ASV-755	755	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
279	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_ramalinae-ASV-222	222	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
280	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_ramalinae-ASV-826	826	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
281	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_ramalinae-ASV-1359	1359	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
282	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_ramalinae-ASV-856	856	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
283	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_ramalinae-ASV-801	801	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
284	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_ramalinae-ASV-274	274	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
285	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_ramalinae-ASV-1357	1357	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
286	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_ramalinae-ASV-1308	1308	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
287	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_ramalinae-ASV-462	462	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
288	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_ramalinae-ASV-728	728	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
289	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-ASV-1120	1120	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
290	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_ramalinae-ASV-804	804	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
291	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_ramalinae-ASV-237	237	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
292	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_ramalinae-ASV-1192	1192	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
293	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_ramalinae-ASV-266	266	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
294	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_ramalinae-ASV-328	328	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
295	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_ramalinae-ASV-130	130	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
296	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_ramalinae-ASV-308	308	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
297	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_ramalinae-ASV-262	262	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
298	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_ramalinae-ASV-720	720	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
299	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_ramalinae-ASV-714	714	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
300	Rhizobiales-Lichenibacteriaceae-Lichenibacterium-Lichenibacterium_ramalinae-ASV-552	552	Lichenibacteriaceae	Alphaproteobacteria	Rhizobiales	Lichenibacteriaceae	NA
