"Kingdom" "Phyllum" "Class" "Order" "Family" "Genus" "Species"
"176" 100 100 100 93 52 35 33
"177" 100 100 100 90 29 25 11
"178" 100 100 100 100 100 100 100
"179" 100 100 100 86 60 60 36
"180" 100 100 100 87 78 23 8
"181" 100 100 100 98 95 95 72
"182" 100 100 100 100 100 100 100
"183" 100 100 100 95 17 10 5
"184" 100 100 100 66 66 27 13
"185" 100 100 100 96 69 69 60
"186" 100 100 100 98 74 69 22
"187" 100 100 100 100 100 100 100
"188" 100 100 100 97 77 73 27
"189" 100 100 100 98 82 82 65
"190" 100 100 100 100 99 99 94
"191" 100 100 100 100 100 100 100
"192" 100 100 100 99 88 88 79
"193" 100 100 100 100 90 90 59
"194" 100 100 100 96 94 55 22
"195" 100 100 100 94 34 20 10
"196" 100 100 100 100 94 94 90
"197" 100 100 100 99 86 86 69
"198" 100 100 100 100 100 68 52
"199" 100 100 100 91 81 37 36
"200" 100 100 100 79 79 34 4
"201" 100 100 100 100 90 90 88
"202" 100 100 100 99 85 85 77
"203" 100 100 100 65 65 39 19
"204" 100 100 100 100 100 100 97
"205" 100 100 100 100 100 100 100
"206" 100 100 100 99 95 95 93
"207" 100 100 100 100 96 96 69
"208" 100 100 100 100 72 72 27
"209" 100 100 100 100 100 100 100
"210" 100 100 100 84 83 54 20
"211" 100 100 100 100 89 89 84
"212" 100 100 100 99 97 97 53
"213" 100 100 100 92 29 17 11
"214" 100 100 100 67 62 27 27
"215" 100 100 100 91 30 30 30
"216" 100 100 100 95 76 31 30
"217" 100 100 100 99 90 88 32
"218" 100 100 100 94 87 87 85
"219" 100 100 100 97 77 77 28
"220" 100 100 100 99 86 86 71
"221" 100 100 100 70 34 34 30
"222" 100 100 100 99 85 85 62
"223" 100 100 100 82 29 28 9
"224" 100 100 100 88 87 32 9
"225" 100 100 100 61 32 28 9
"226" 100 100 100 64 11 9 6
"227" 100 100 100 83 26 6 4
"228" 100 100 100 82 23 21 14
"229" 100 100 100 99 91 89 26
"230" 100 100 100 98 87 87 81
"231" 100 100 100 100 100 100 99
"232" 100 100 100 91 89 51 32
"233" 100 100 100 100 95 95 95
"234" 100 100 100 87 35 35 27
"235" 100 100 100 96 84 84 74
"236" 100 100 100 86 11 5 0
"237" 100 100 100 98 98 98 90
"238" 100 100 100 75 40 23 17
"239" 100 100 100 97 92 92 85
"240" 100 100 100 98 52 41 17
"241" 100 100 100 93 89 50 15
"242" 100 100 100 100 100 100 100
"243" 100 100 100 99 96 96 59
"244" 100 100 100 66 28 28 25
"245" 100 100 100 98 93 93 65
"246" 100 100 100 94 88 88 58
"247" 100 100 100 89 89 49 33
"248" 100 100 100 92 81 59 52
"249" 100 100 100 75 71 37 26
"250" 100 100 100 99 98 98 95
"251" 100 100 100 86 86 25 21
