Nom_extraction	Sample	Location	Site	Tree	Species	Replicate	Date_sampling	Person_isolation	Date_isolation	Tampon_isolation	Batch_isolation	Boite	Tube_number	Batch_isolation	Batch_extraction	sample.names	Batch_PCR	Batch_sequencing	barcode_forward	barcode_reverse
T57	SBL-01-07-C	SBL	1	7	Acer_pennsylcanicum	C	43297	Emilie	43298	Phosphate	1	4	03	SBL-43298-1	Batch_03	T57.PL1.16S	PL_01	PL1-16S	S518	N716
T51	SBL-01-10-C	SBL	1	10	Abies_balsamea	C	43297	Emilie	43300	Phosphate	3	4	55	SBL-43300-3	Batch_02	T51.PL1.16S	PL_01	PL1-16S	S515	N721
T54	SBL-03-03-C	SBL	3	3	Abies_balsamea	C	43297	Emilie	43300	Phosphate	4	4	65	SBL-43300-4	Batch_02	T54.PL1.16S	PL_01	PL1-16S	S522	N719
T39	SBL-03-08-C	SBL	3	8	Acer_rubrum	C	43297	Emilie	43298	Phosphate	1	4	13	SBL-43298-1	Batch_02	T39.PL1.16S	PL_01	PL1-16S	S513	N720
T04	SBL-04-01-C	SBL	4	1	Abies_balsamea	C	43297	Emilie	43300	Phosphate	4	4	70	SBL-43300-4	Batch_00	T04.799F.1115R	PL_00	799F-1115R	S513	N726
T15	SBL-01-02-E	SBL	1	2	Fagus_grandifolia	E	43328	JBL	43329	Phosphate	2	6	33	SBL-43329-2	Batch_01a	T15.PL1.16S	PL_01	PL1-16S	S516	N722
T95	SBL-01-03-E	SBL	1	3	Acer_rubrum	E	43328	JBL	43329	Phosphate	2	6	80	SBL-43329-2	Batch_04	T95.PL1.16S	PL_01	PL1-16S	S515	N716
T74	SBL-01-07-E	SBL	1	7	Acer_pennsylcanicum	E	43328	JBL	43329	Phosphate	1	6	02	SBL-43329-1	Batch_04	T74.PL1.16S	PL_01	PL1-16S	S513	N716
T111	SBL-01-10-E	SBL	1	10	Abies_balsamea	E	43328	JBL	43329	Phosphate	3	6	50	SBL-43329-3	Batch_05	T111.PL1.16S	PL_01	PL1-16S	S520	N721
T152	SBL-03-03-E	SBL	3	3	Abies_balsamea	E	43328	JBL	43329	Phosphate	2	6	39	SBL-43329-2	Batch_07	T152.PL1.16S	PL_01	PL1-16S	S518	N718
T146	SBL-03-07-E	SBL	3	7	Acer_saccharum	E	43328	JBL	43329	Phosphate	1	6	06	SBL-43329-1	Batch_07	T146.PL1.16S	PL_01	PL1-16S	S521	N716
T160	SBL-03-08-E	SBL	3	8	Acer_rubrum	E	43328	JBL	43329	Phosphate	3	6	52	SBL-43329-3	Batch_07	T160.PL1.16S	PL_01	PL1-16S	S517	N721
T168	SBL-03-10-E	SBL	3	10	Acer_pennsylcanicum	E	43328	JBL	43329	Phosphate	4	6	74	SBL-43329-4	Batch_07	T168.PL1.16S	PL_01	PL1-16S	S522	N716
T61	SBL-01-02-G	SBL	1	2	Fagus_grandifolia	G	43363	JBL	43364	Phosphate	1	8	07	SBL-43364-1	Batch_03	T61.PL1.16S	PL_01	PL1-16S	S521	N718
T121	SBL-01-03-G	SBL	1	3	Acer_rubrum	G	43363	JBL	43364	Phosphate	1	8	03	SBL-43364-1	Batch_06	T121.PL1.16S	PL_01	PL1-16S	S516	N716
T98	SBL-01-07-G	SBL	1	7	Acer_pennsylcanicum	G	43363	JBL	43364	Phosphate	1	8	06	SBL-43364-1	Batch_05	T98.PL1.16S	PL_01	PL1-16S	S516	N718
T142	SBL-01-10-G	SBL	1	10	Abies_balsamea	G	43363	JBL	43364	Phosphate	3	8	74	SBL-43364-3	Batch_06	T142.PL1.16S	PL_01	PL1-16S	S515	N718
T11	SBL-02-04-G	SBL	2	4	Acer_saccharum	G	43363	JBL	43364	Phosphate	3	8	76	SBL-43364-3	Batch_00	T11.799F.1115R	PL_00	799F-1115R	S515	N726
T101	SBL-03-03-G	SBL	3	3	Abies_balsamea	G	43363	JBL	43364	Phosphate	1	8	16	SBL-43364-1	Batch_05	T101.PL1.16S	PL_01	PL1-16S	S518	N720
T17	SBL-03-07-G	SBL	3	7	Acer_saccharum	G	43363	JBL	43364	Phosphate	3	8	66	SBL-43364-3	Batch_01a	T17.PL1.16S	PL_01	PL1-16S	S517	N719
T110	SBL-03-08-G	SBL	3	8	Acer_rubrum	G	43363	JBL	43364	Phosphate	2	8	45	SBL-43364-2	Batch_05	T110.PL1.16S	PL_01	PL1-16S	S517	N722
T122	SBL-03-10-G	SBL	3	10	Acer_pennsylcanicum	G	43363	JBL	43364	Phosphate	1	8	20	SBL-43364-1	Batch_06	T122.PL1.16S	PL_01	PL1-16S	S513	N721
