"mean_seq" "max_seq" "min_seq" "seq_or_node" "level" "mother_node" "mother_level"
226 226 226 226 54 721 69
227 227 227 227 54 722 69
228 228 228 228 54 722 69
229 229 229 229 54 723 112
230 230 230 230 54 725 98
231 231 231 231 54 726 70
232 232 232 232 54 727 69
233 233 233 233 54 727 69
234 234 234 234 54 729 94
235 235 235 235 54 731 64
236 236 236 236 54 731 64
237 237 237 237 54 732 92
238 238 238 238 54 732 92
239 239 239 239 54 734 69
240 240 240 240 54 734 69
241 241 241 241 54 735 72
242 242 242 242 54 736 71
243 243 243 243 54 737 57
244 244 244 244 54 738 56
245 245 245 245 54 739 55
246 246 246 246 54 740 54
247 247 247 247 54 740 54
248 248 248 248 54 744 214
249 249 249 249 54 745 197
250 250 250 250 54 747 56
251 251 251 251 54 747 56
252 252 252 252 54 748 56
253 253 253 253 54 748 56
254 254 254 254 54 749 235
255 255 255 255 54 749 235
256 256 256 256 54 751 202
257 257 257 257 54 751 202
258 258 258 258 54 752 207
259 259 259 259 54 752 207
260 260 260 260 54 754 231
261 261 261 261 54 755 230
262 262 262 262 54 756 229
263 263 263 263 54 756 229
264 264 264 264 54 759 205
265 265 265 265 54 763 176
266 266 266 266 54 767 90
267 267 267 267 54 768 88
268 268 268 268 54 769 87
269 269 269 269 54 770 86
270 270 270 270 54 770 86
271 271 271 271 54 771 114
272 272 272 272 54 771 114
273 273 273 273 54 772 70
274 274 274 274 54 773 69
275 275 275 275 54 773 69
276 276 276 276 54 774 80
277 277 277 277 54 775 69
278 278 278 278 54 775 69
279 279 279 279 54 776 83
280 280 280 280 54 777 82
281 281 281 281 54 778 81
282 282 282 282 54 779 80
283 283 283 283 54 779 80
284 284 284 284 54 780 90
285 285 285 285 54 781 81
286 286 286 286 54 782 80
287 287 287 287 54 783 70
288 288 288 288 54 784 69
289 289 289 289 54 784 69
290 290 290 290 54 785 186
291 291 291 291 54 785 186
292 292 292 292 54 786 172
293 293 293 293 54 786 172
294 294 294 294 54 790 136
295 295 295 295 54 791 79
296 296 296 296 54 792 78
297 297 297 297 54 794 56
298 298 298 298 54 794 56
299 299 299 299 54 795 71
300 300 300 300 54 795 71
301 301 301 301 54 796 104
302 302 302 302 54 797 103
303 303 303 303 54 797 103
304 304 304 304 54 798 71
305 305 305 305 54 799 56
306 306 306 306 54 799 56
307 307 307 307 54 800 130
308 308 308 308 54 801 125
309 309 309 309 54 802 123
310 310 310 310 54 803 122
311 311 311 311 54 804 121
312 312 312 312 54 805 120
313 313 313 313 54 807 96
314 314 314 314 54 808 95
315 315 315 315 54 809 94
316 316 316 316 54 809 94
317 317 317 317 54 811 57
318 318 318 318 54 812 56
319 319 319 319 54 812 56
320 320 320 320 54 814 56
321 321 321 321 54 814 56
322 322 322 322 54 815 102
323 323 323 323 54 817 100
324 324 324 324 54 817 100
325 325 325 325 54 818 88
326 326 326 326 54 819 64
327 327 327 327 54 819 64
328 328 328 328 54 821 196
329 329 329 329 54 823 180
330 330 330 330 54 824 179
331 331 331 331 54 824 179
332 332 332 332 54 825 136
333 333 333 333 54 825 136
334 334 334 334 54 827 241
335 335 335 335 54 827 241
336 336 336 336 54 829 123
337 337 337 337 54 831 69
338 338 338 338 54 831 69
339 339 339 339 54 832 121
340 340 340 340 54 832 121
341 341 341 341 54 833 181
342 342 342 342 54 835 82
343 343 343 343 54 836 80
344 344 344 344 54 836 80
345 345 345 345 54 837 100
346 346 346 346 54 838 99
347 347 347 347 54 839 96
348 348 348 348 54 840 95
349 349 349 349 54 841 80
350 350 350 350 54 842 69
351 351 351 351 54 842 69
352 352 352 352 54 843 211
353 353 353 353 54 845 209
354 354 354 354 54 846 64
355 355 355 355 54 846 64
356 356 356 356 54 847 187
357 357 357 357 54 848 186
358 358 358 358 54 849 185
359 359 359 359 54 851 183
360 360 360 360 54 852 178
361 361 361 361 54 852 178
362 362 362 362 54 856 143
363 363 363 363 54 856 143
364 364 364 364 54 857 150
365 365 365 365 54 857 150
366 366 366 366 54 858 56
367 367 367 367 54 858 56
368 368 368 368 54 859 123
369 369 369 369 54 861 88
370 370 370 370 54 862 83
371 371 371 371 54 862 83
372 372 372 372 54 864 56
373 373 373 373 54 864 56
374 374 374 374 54 865 58
375 375 375 375 54 866 56
376 376 376 376 54 866 56
377 377 377 377 54 869 218
378 378 378 378 54 870 57
379 379 379 379 54 871 56
380 380 380 380 54 871 56
381 381 381 381 54 872 312
382 382 382 382 54 874 253
383 383 383 383 54 874 253
384 384 384 384 54 879 143
385 385 385 385 54 879 143
386 386 386 386 54 880 56
387 387 387 387 54 880 56
388 388 388 388 54 881 56
389 389 389 389 54 881 56
390 390 390 390 54 882 298
391 391 391 391 54 882 298
392 392 392 392 54 884 267
393 393 393 393 54 885 265
394 394 394 394 54 887 213
395 395 395 395 54 887 213
396 396 396 396 54 888 231
397 397 397 397 54 888 231
398 398 398 398 54 890 56
399 399 399 399 54 890 56
400 400 400 400 54 891 246
401 401 401 401 54 893 197
402 402 402 402 54 894 196
403 403 403 403 54 894 196
404 404 404 404 54 896 56
405 405 405 405 54 896 56
406 406 406 406 54 898 56
407 407 407 407 54 898 56
408 408 408 408 54 899 202
409 409 409 409 54 900 153
410 410 410 410 54 901 152
411 411 411 411 54 901 152
412 412 412 412 54 902 321
413 413 413 413 54 904 269
414 414 414 414 54 904 269
415 415 415 415 54 906 296
416 416 416 416 54 907 292
417 417 417 417 54 909 176
418 418 418 418 54 913 115
419 419 419 419 54 916 100
420 420 420 420 54 917 80
421 421 421 421 54 918 69
422 422 422 422 54 918 69
423 423 423 423 54 919 69
424 424 424 424 54 919 69
425 425 425 425 54 920 107
426 426 426 426 54 920 107
427 427 427 427 54 921 69
428 428 428 428 54 921 69
429 429 429 429 54 922 130
430 430 430 430 54 923 115
431 431 431 431 54 924 69
432 432 432 432 54 924 69
433 433 433 433 54 925 136
434 434 434 434 54 926 108
435 435 435 435 54 927 80
436 436 436 436 54 927 80
437 437 437 437 54 928 239
438 438 438 438 54 929 229
439 439 439 439 54 931 115
440 440 440 440 54 931 115
441 441 441 441 54 932 99
442 442 442 442 54 933 90
443 443 443 443 54 934 85
444 444 444 444 54 935 80
445 445 445 445 54 936 69
446 446 446 446 54 936 69
447 447 447 447 54 941 250
448 448 448 448 54 942 210
449 449 449 449 54 942 210
450 450 450 450 54 943 295
451 451 451 451 54 944 292
452 452 452 452 54 944 292
453 453 453 453 54 945 293
454 454 454 454 54 946 291
455 455 455 455 54 946 291
456 456 456 456 54 947 187
457 457 457 457 54 947 187
458 458 458 458 54 950 160
459 459 459 459 54 951 143
460 460 460 460 54 952 136
461 461 461 461 54 953 130
462 462 462 462 54 954 69
463 463 463 463 54 954 69
464 464 464 464 54 955 279
465 465 465 465 54 955 279
466 466 466 466 54 957 274
467 467 467 467 54 960 90
468 468 468 468 54 960 90
469 469 469 469 54 961 267
470 470 470 470 54 961 267
471 471 471 471 54 962 271
472 472 472 472 54 962 271
473 473 473 473 54 964 264
474 474 474 474 54 964 264
475 475 475 475 54 966 223
476 476 476 476 54 967 214
477 477 477 477 54 969 163
478 478 478 478 54 970 90
479 479 479 479 54 971 69
480 480 480 480 54 971 69
481 481 481 481 54 972 99
482 482 482 482 54 972 99
483 483 483 483 54 974 115
484 484 484 484 54 975 114
485 485 485 485 54 975 114
486 486 486 486 54 976 115
487 487 487 487 54 977 114
488 488 488 488 54 978 108
489 489 489 489 54 979 100
490 490 490 490 54 980 99
491 491 491 491 54 980 99
106.5 107 106 602 54 601 55
117.5 118 117 614 54 613 55
155.5 156 155 650 54 649 55
246.5 247 246 740 54 739 55
105.75 106.5 105 601 55 600 56
116.75 117.5 116 613 55 612 56
154.75 155.5 154 649 55 648 56
245.75 246.5 245 739 55 738 56
14.5 15 14 516 56 515 64
18.5 19 18 519 56 518 57
20.5 21 20 521 56 520 94
23.5 24 23 524 56 523 77
28.5 29 28 528 56 527 71
75.5 76 75 574 56 573 57
