"Level" "node" "mother_node" "sequences" "PS_median" "PS_max" "PS_min" "bootstrapp"
124 538 537 11 0.98293 0.99756 0.95854 0.21
115 559 558 3 0.98537 0.99024 0.98537 0.395
69 572 571 4 0.99756 1 0.99178 0.36
69 589 588 2 0.99756 0.99756 0.99756 0.84
91 590 588 14 0.99268 1 0.98049 0.02
54 614 613 2 1 1 1 0.2
93 621 620 14 0.99183 1 0.98537 0.22
83 635 634 17 0.99512 1 0.9869 0.085
136 665 664 7 0.97805 1 0.96798 0.4
106 671 664 4 0.988355 0.99315 0.97945 0.91
184 675 674 4 0.92805 1 0.92603 0.085
71 691 690 2 0.99726 0.99726 0.99726 0.73
77 692 690 2 0.99589 0.99589 0.99589 0.74
56 697 696 2 1 1 1 0.885
64 698 696 2 0.99863 0.99863 0.99863 0.875
90 712 711 3 0.99268 0.99756 0.99024 0.19
69 716 715 2 0.99756 0.99756 0.99756 0.12
69 717 715 2 0.99756 0.99756 0.99756 0.695
85 719 718 5 0.9939 0.99756 0.99024 0.17
112 723 718 19 0.9869 1 0.97548 0.04
115 766 765 7 0.98537 0.99756 0.9561 0.7
70 772 765 3 0.99756 0.99756 0.99512 1
69 775 774 2 0.99756 0.99756 0.99756 0.85
80 779 778 2 0.99512 0.99512 0.99512 0.05
69 784 783 2 0.99756 0.99756 0.99756 0.38
96 807 806 4 0.99223 0.99756 0.9878 0.68
104 810 806 11 0.98904 1 0.97317 0.05
152 901 900 2 0.97123 0.97123 0.97123 0.52
101 915 914 6 0.99268 0.99756 0.98293 0.63
107 920 914 2 0.9878 0.9878 0.9878 0.15
80 935 934 3 0.99512 0.99756 0.99268 0.43
90 970 969 3 0.99268 0.99756 0.99024 0.995
100 979 978 3 0.99268 0.99756 0.99024 0.26
94 505 504 9 0.99178 1 0.98493 0.95
66 513 504 8 0.99863 1 0.99863 0.76
56 521 520 2 1 1 1 0.935
86 522 520 8 0.993835 1 0.98904 0.605
178 532 531 6 0.94878 0.99756 0.93902 0.07
146 537 531 12 0.97439 0.99756 0.94878 0.015
116 558 557 4 0.986585 0.99024 0.97805 0.31
99 564 563 2 0.99024 0.99024 0.99024 0.21
142 565 563 2 0.97317 0.97317 0.97317 0.065
70 571 570 5 0.99756 1 0.99178 0.975
99 575 570 2 0.99024 0.99024 0.99024 0.64
93 588 587 16 0.99183 1 0.98049 0.205
55 613 612 3 1 1 1 0.135
94 620 619 15 0.99268 1 0.98537 0.425
84 634 619 18 0.99512 1 0.9869 0.155
144 664 663 11 0.97525 1 0.95854 0.605
185 674 663 5 0.92927 1 0.91781 0.125
77 682 681 2 0.99589 0.99589 0.99589 0.615
83 690 689 4 0.99452 0.99726 0.99315 0.89
87 696 695 4 0.99345 1 0.9878 0.98
95 711 710 4 0.99146 0.99756 0.99024 0
75 715 714 4 0.99634 0.99756 0.99268 0.345
113 718 714 24 0.9869 1 0.97548 0.01
173 765 764 10 0.95854 0.99756 0.94634 0.34
80 774 764 3 0.99512 0.99756 0.99268 0.91
81 778 777 3 0.99756 0.99756 0.99512 0.42
70 783 782 3 0.99756 0.99756 0.99512 0.43
56 794 793 2 1 1 1 0.885
71 795 793 2 0.99726 0.99726 0.99726 0.075
119 806 805 15 0.98356 1 0.96341 0.11
153 900 899 3 0.97123 0.9726 0.96164 0.89
108 914 913 8 0.9878 0.99756 0.97561 0.11
69 924 923 2 0.99756 0.99756 0.99756 0.925
85 934 933 4 0.9939 0.99756 0.99024 0.525
163 969 968 4 0.96707 0.99756 0.94146 0.455
99 972 968 2 0.99024 0.99024 0.99024 0.995
108 978 977 4 0.987805 0.99756 0.97805 0.22
119 504 503 17 0.984245 1 0.97808 0.88
94 520 503 10 0.99178 1 0.98904 0.98
88 530 529 2 0.99315 0.99315 0.99315 0.97
179 531 529 18 0.95854 0.99756 0.93659 0.015
