"Name" "Tree-order" "NodeAss" "MatchAss" "ClaAss" "BootAss" "VAR.SITE" "VAR.TIMEn" "VAR.SSd" "VAR.SPE" "VAR.SITE:TIMEn" "VAR.SITE:SSd" "VAR.TIMEn:SSd" "VAR.SITE:SPE" "VAR.TIMEn:SPE" "VAR.SSd:SPE" "VAR.SITE:TIMEn:SSd" "VAR.SITE:TIMEn:SPE" "VAR.SITE:SSd:SPE" "VAR.TIMEn:SSd:SPE" "VAR.SITE:TIMEn:SSd:SPE" "VAR.Residuals" "pval.SITE" "pval.TIMEn" "pval.SSd" "pval.SPE" "pval.SITE:TIMEn" "pval.SITE:SSd" "pval.TIMEn:SSd" "pval.SITE:SPE" "pval.TIMEn:SPE" "pval.SSd:SPE" "pval.SITE:TIMEn:SSd" "pval.SITE:TIMEn:SPE" "pval.SITE:SSd:SPE" "pval.TIMEn:SSd:SPE" "pval.SITE:TIMEn:SSd:SPE" "pval.Residuals" "padj.SITE" "padj.TIMEn" "padj.SSd" "padj.SPE" "padj.SITE:TIMEn" "padj.SITE:SSd" "padj.TIMEn:SSd" "padj.SITE:SPE" "padj.TIMEn:SPE" "padj.SSd:SPE" "padj.SITE:TIMEn:SSd" "padj.SITE:TIMEn:SPE" "padj.SITE:SSd:SPE" "padj.TIMEn:SSd:SPE" "padj.SITE:TIMEn:SSd:SPE" "padj.Residuals"
"Meth-ASV-160" "1" NA "1" "un" "0" "0.181852509123017" "0.0133536870183562" "9.55461336445193e-05" "0.174779300247984" "0.0222523787498194" "0.000342928710757556" "0.0118738372730692" "0.0169287076609749" "0.0209885234515371" "0.0466434595057457" "0.000680704596571074" "1.40729731038282e-07" "0.0140355094659745" "0.0149395430105435" "0.00883829436444804" "0.472394929957827" "9.57919058544995e-12" "0.0462526006042249" "0.865197224965958" "3.51299269839533e-08" "0.0104334255194363" "0.747776339429635" "0.059993368219579" "0.0250948352196799" "0.39015735285201" "0.0337844040343228" "0.650562990240016" "0.99480140433716" "0.0410910530799426" "0.607448972817266" "0.104104769013114" NA "1.82962540182094e-09" "1" "1" "6.70981605393508e-06" "1" "1" "1" "1" "1" "1" "1" "1" "1" "1" "1" NA
"Meth-ASV-1228" "2" "498" "1" "A9" "0.32" "0.0116538938013034" "0.0032367973059576" "1.60020668677073e-05" "0.0457028620897884" "0.00419063645030142" "0.0117953119124475" "0.0114182934691419" "0.00883688263772399" "0.0774069650458831" "0.067307945980892" "0.000392500319309045" "0.000413301053722867" "0.000285551656589901" "0.0574559493857164" "0.000161179500009508" "0.699725927324345" "0.124977398078683" "0.417386366565456" "0.954476612034627" "0.164078336286627" "0.356300881378802" "0.12272982242953" "0.128825151680462" "0.181122460846784" "0.0186777055563098" "0.0382994734339862" "0.777417729037837" "0.771756988827666" "0.809457973548033" "0.0756695945513847" "0.856237935989642" NA "1" "1" "1" "1" "1" "1" "1" "1" "1" "1" "1" "1" "1" "1" "1" NA
"Meth-ASV-110" "32" "498" "1" "A9" "0.32" "0.527962677488693" "0.000874190915627544" "0.0240092514694896" "0.130460149304757" "0.00180946071184999" "0.00405276202721961" "0.00140680434519767" "0.00585837220766941" "0.0180913904698853" "0.0388291589976355" "0.00069368039318251" "0.00110229038751533" "0.00265720884204903" "0.0185768673967575" "0.000144987776720669" "0.22347074726575" "1.74584211518433e-39" "0.455730754231549" "0.00013703008893474" "1.99907968520604e-12" "0.283717198234215" "0.109516201482774" "0.344323201911864" "0.0548179062985198" "0.0799300286795964" "0.000724697727994806" "0.506324572364965" "0.402390147856571" "0.194335943195083" "0.0720980473423718" "0.761117141217507" NA "3.33455844000208e-37" "1" "0.0261727469865353" "3.81824219874353e-10" "1" "1" "1" "1" "1" "0.138417266047008" "1" "1" "1" "1" "1" NA
"Meth-ASV-96" "33" "498" "1" "A9" "0.32" "0.387086214617932" "0.0201913205683711" "0.0626077726040544" "0.0562870576082313" "0.0347582019747171" "0.0167057304244932" "0.000992630593224517" "0.00584981345827587" "0.0122567292622127" "0.0185227314158418" "0.00017412483967671" "0.00254422899159847" "0.00225142466697417" "0.00308498599028546" "0.0063310713860096" "0.370355961598101" "5.61381100411233e-24" "0.00595226643094834" "2.38346456171601e-06" "0.00224550321279561" "0.000349731499484918" "0.0121616654940991" "0.536843606862705" "0.135070659360328" "0.580124427125113" "0.313915293340216" "0.795783035378665" "0.323289747760321" "0.352718231734051" "0.976749725030991" "0.120146152877799" NA "1.07223790178545e-21" "1" "0.000455241731287759" "0.428891113643962" "0.0667987164016193" "1" "1" "1" "1" "1" "1" "1" "1" "1" "1" NA
"Meth-ASV-89" "34" "498" "1" "A9" "0.32" "0.285084830591894" "0.0105816907530838" "0.106388019934695" "0.0995158058316843" "0.0151437045796519" "0.0271665493851624" "4.45509080187978e-05" "2.58456451700544e-07" "0.0106720323067973" "0.0969392250231424" "0.000330824816751763" "2.03756967912675e-05" "0.00448962936276398" "0.00857792054062679" "0.00135352626316112" "0.333691055549323" "6.49910270114941e-21" "0.0349273636199376" "3.38518090003251e-10" "1.21200777732108e-06" "0.0119070007281173" "0.000838736016400103" "0.890297863049132" "0.991617720010248" "0.600778937987968" "1.78732555372271e-06" "0.707084104860303" "0.925681537234546" "0.167576060572029" "0.71989414472497" "0.447550741076862" NA "1.24132861591954e-18" "1" "6.46569551906209e-08" "0.000231493485468326" "1" "0.16019857913242" "1" "1" "1" "0.000341379180761037" "1" "1" "1" "1" "1" NA
"Meth-ASV-181" "35" "498" "1" "A9" "0.32" "0.320876954479718" "0.00627679195266511" "0.010598931157587" "0.078510675588053" "0.00240532972906656" "0.00727536909190103" "0.000225343399667027" "0.0033893169345709" "0.0104312079245842" "0.0385616697519763" "0.00348124753349184" "0.000891755830088356" "0.00137070448797941" "0.00975655102499722" "0.000361842685110953" "0.505586308428543" "5.81080425861227e-17" "0.184843504171365" "0.0855342984133288" "0.00189186343006931" "0.410849163854739" "0.153615428613306" "0.801047951778259" "0.329184751096245" "0.813734917068719" "0.0995983251666265" "0.322733047134414" "0.616285771557806" "0.534507810049231" "0.836961533895097" "0.749502120778985" NA "1.10986361339494e-14" "1" "1" "0.361345915143239" "1" "1" "1" "1" "1" "1" "1" "1" "1" "1" "1" NA
"Meth-ASV-1138" "36" "498" "1" "A9" "0.32" "0.0397223517676381" "0.00220506941358494" "0.00346962411736256" "0.0102573357299356" "0.00234801180061595" "0.0135932523030624" "0.000833727073565217" "0.0113533406236085" "0.0449621052519431" "0.0519694452864678" "0.0155360535478899" "0.0210155860552681" "0.000410208266172567" "0.113079561850625" "0.0166360259516373" "0.652608300960623" "0.00371109260305527" "0.488115013430766" "0.384706725891819" "0.894185801775585" "0.474368170124342" "0.0865341293237042" "0.669717191932833" "0.116945133764733" "0.139744596770178" "0.0850820543056047" "0.0670964272506556" "0.0335678385810281" "0.764758591404106" "0.000743085138608079" "0.0582307228729037" NA "0.708818687183556" "1" "1" "1" "1" "1" "1" "1" "1" "1" "1" "1" "1" "0.141929261474143" "1" NA
"Meth-ASV-1139" "37" "498" "1" "A9" "0.32" "0.0063536650615302" "0.0201621496461052" "0.00332837983841048" "0.0552570518172201" "0.0177814894150974" "0.00105359890164996" "0.0109604572890336" "0.000203867195800814" "0.156915343221442" "0.0150438083161447" "0.00160639388477053" "0.000497287416917194" "1.12952703754769e-06" "0.0615962807501995" "5.63637326538618e-30" "0.649239097718641" "0.238779636606185" "0.0368336797683022" "0.393312094231567" "0.0655878688129329" "0.0497346298743231" "0.630734455758207" "0.12245541685162" "0.832483577958162" "2.14562964753998e-05" "0.7675825559687" "0.552898214266909" "0.741162656559103" "0.98743748250202" "0.0408572108103483" "0.999999999999972" NA "1" "1" "1" "1" "1" "1" "1" "1" "0.00409815262680135" "1" "1" "1" "1" "1" "1" NA
"Meth-ASV-83" "38" "498" "1" "A9" "0.32" "0.502553755551735" "0.0193379321053233" "0.0838574735571976" "0.15057512879769" "0.031383695927265" "0.00992706154926418" "0.0111507357812911" "0.00141933947670173" "0.00213762885718667" "0.00318945929656834" "0.00939111415374635" "0.000906759310336892" "0.00018541993518472" "0.00315912815900347" "0.0017716641827857" "0.16905370335872" "1.12326877256006e-44" "8.54252790889745e-05" "3.53943026247479e-14" "1.01586468997465e-17" "8.38615903634148e-07" "0.0043502567478599" "0.00255261622613035" "0.2750441252708" "0.935332947548592" "0.844272669365994" "0.00550942330453653" "0.382611066973466" "0.692669276992065" "0.847286490780833" "0.222896202432209" NA "2.14544335558971e-42" "0.0163162283059941" "6.76031180132685e-12" "1.94030155785157e-15" "0.000160175637594122" "0.83089903884124" "0.487549699190897" "1" "1" "1" "1" "1" "1" "1" "1" NA
"Meth-ASV-40" "39" "498" "1" "A9" "0.32" "0.59140971091609" "0.0142995774731868" "0.0047768324516183" "0.0286395656461095" "0.000183581978069709" "0.0156698381983822" "0.000508593740393527" "0.000293154512604285" "0.00422678735354143" "0.0134797214693101" "1.20420701966055e-05" "0.000768735634017468" "0.00274361888220407" "0.00721673422796419" "0.000258210938024597" "0.315513294508287" "1.34353229827026e-34" "0.0119627665065269" "0.143381614273771" "0.0499142703458155" "0.773418124393233" "0.00858487736700302" "0.63187967276198" "0.716016900824475" "0.926071260165841" "0.415892837761851" "0.941211427736843" "0.555944025422586" "0.266670101707728" "0.773111266529072" "0.732781784966041" NA "2.56614668969619e-32" "1" "1" "1" "1" "1" "1" "1" "1" "1" "1" "1" "1" "1" "1" NA
