"Name" "Tree-order" "NodeAss" "MatchAss" "ClaAss" "BootAss" "MSH" "SBL" "MSH-1" "MSH-2" "MSH-3" "MSH-4" "MSH-5" "MSH-6" "SBL-1" "SBL-2" "SBL-3" "SBL-4" "MSH 43278" "MSH 43318" "MSH 43350" "MSH 43391" "SBL 43271" "SBL 43297" "SBL 43328" "SBL 43363" "MSH ACSA" "MSH FAGR" "MSH OSVI" "MSH QURU" "SBL ABBA" "SBL ACPE" "SBL ACRU" "SBL ACSA" "SBL FAGR"
"Meth-ASV-160" "1" NA "1" "un" "0" "0.000953805963196066" "0.0152354204816964" "0.000235904694503421" "7.41509713777251e-05" "0.000773514851485149" "0.00120571738082251" "0.00163192592169266" "0.00187841530054645" "0.0119206242737753" "0.00528086888335005" "0.0243187771364091" "0.0175468388920799" "0.00196304849884527" "0.00125884816077328" "0.000876676490359181" "0.000384652601294848" "0.0107247845012819" "0.0128109485978863" "0.0155876215530713" "0.0214162939608135" "0.000179584089667594" "0.00101440036344385" "0.00259949327788948" "0.00145411738462896" "0.0287674004794681" "0.0106602068555521" "0.00549626526419346" "0.0178171511266027" "0.00609064666870784"
"Meth-ASV-1228" "2" "498" "1" "A9" "0.32" "0.000461410256261423" "0" "0.000546268982847154" "0" "0" "0.00125763564498742" "0" "0" "0" "0" "0" "0" "0" "0.000446947349602217" "0" "0.00111252383979657" "0" "0" "0" "0" "0.000252124145929456" "0" "0.00206611570247934" "0" "0" "0" "0" "0" "0"
"Meth-ASV-110" "32" "498" "1" "A9" "0.32" "7.02483830992811e-05" "0.0358417732711917" "0.000163880694854146" "7.41509713777251e-05" "0" "3.34448160535117e-05" "0" "0.000170765027322404" "0.0409839240990197" "0.0116099471406636" "0.018440515389604" "0.0707098405731567" "0" "0.000196180578452448" "3.13715648136529e-05" "2.9585798816568e-05" "0.0482788296289744" "0.0453085851711671" "0.0225582451803445" "0.0267411840203142" "0.000116275486198984" "7.19010641357492e-05" "0" "0" "0.0710640805604122" "0.012301697962535" "0.0283853572056404" "0.00701075180206553" "0.0168774797953949"
"Meth-ASV-96" "33" "498" "1" "A9" "0.32" "0.00046270373960644" "0.03022654024947" "0.00210968094356021" "0" "0.000111607142857143" "0" "0" "0" "0.0209035977073279" "0.00451927923241826" "0.0202368725750711" "0.068912413942143" "0.00353982300884956" "0" "0.000106121570403711" "2.72970464595731e-05" "0.0226623588446445" "0.0218697636736732" "0.0362104386812084" "0.0403082369046155" "2.28937728937729e-05" "0.00199864510442546" "0" "0" "0.0479906811058146" "0.00994111494259194" "0.0281640774002827" "0.023728028084755" "0.0250835721520872"
"Meth-ASV-89" "34" "498" "1" "A9" "0.32" "8.99391493907482e-05" "0.0166723428264487" "0.000290289099080629" "9.77517106549365e-05" "0" "2.32379801547649e-05" "0" "8.99928005759539e-05" "0.0130913632469886" "0.00213388764727793" "0.0109992650750595" "0.0374456975770597" "0.00010752688172043" "7.97266244855248e-05" "0.000154458107114927" "2.72970464595731e-05" "0.0196106398787013" "0.00979202616150154" "0.0199317292230228" "0.0183739107230261" "8.64675948354814e-05" "0.000192009410877867" "3.81766816828281e-05" "0" "0.0303761245420569" "0.00952192740399422" "0.0112895677743497" "0.0116590071118939" "0.0071487363149232"
"Meth-ASV-181" "35" "498" "1" "A9" "0.32" "9.51865686724181e-05" "0.0197146978187226" "0.000333334862090418" "0" "0" "0" "0.000124727765678475" "0" "0.0328119354936423" "0.00539188023458796" "0.0042674044931083" "0.038589770794154" "0" "0.000194409327675758" "0" "0.000143025636908325" "0.0224807811205753" "0.0159920877255099" "0.0170136722000866" "0.0235289615544331" "1.72087420409568e-05" "0.000315790921980396" "0" "0.00011037527593819" "0.0294711661274751" "0.00744530281923266" "0.0252941809921615" "0.00187517246979153" "0.0142061237249277"
"Meth-ASV-1138" "36" "498" "1" "A9" "0.32" "0.000504673650534648" "0" "0.00135030864197531" "0.000331671237672372" "0.000111607142857143" "0" "0.000722063114665514" "0.000249097562181674" "0" "0" "0" "0" "0.00243055555555556" "0.000478468899521531" "0.000150714451962561" "0.000140082290340561" "0" "0" "0" "0" "0.000739661443918174" "0.000104883184076494" "7.33352889410384e-05" "0.00087719298245614" "0" "0" "0" "0" "0"
"Meth-ASV-1139" "37" "498" "1" "A9" "0.32" "0.000247443088089739" "0" "0" "0" "0" "0.000903705191284265" "0" "0" "0" "0" "0" "0" "0.00207852193995381" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0.00148465852853844" "0" "0" "0" "0" "0" "0"
"Meth-ASV-83" "38" "498" "1" "A9" "0.32" "0.0153813022382688" "0.000324482352281735" "0.031792051483134" "0.0131342190232867" "0.0109594559523528" "0.0032492373727289" "0.00531374279271924" "0.040983507523365" "0.000871459694989107" "0.000630814539873372" "0" "0" "0.00525222267071436" "0.0109864266489995" "0.0156218596698378" "0.0227552855236025" "0.00071301247771836" "0.000423794993695454" "0.000187312687312687" "0" "0.0139570418285594" "0.0375568882441883" "0.00190744222564164" "0.000618307408517149" "0.000132931584544488" "0.000165508109897385" "0.00031496062992126" "0" "0.00130718954248366"
"Meth-ASV-40" "39" "498" "1" "A9" "0.32" "0.0278806770410657" "0.00912204040849956" "0.0321577971629706" "0.0232126965685472" "0.0332892501207347" "0.0221946654394123" "0.0280699539890541" "0.0352357862956008" "0.017452512117507" "0.0120468718205609" "0.00756703035063444" "0.00246595955119905" "0.0319638468662394" "0.0312383762607185" "0.0328428072611369" "0.0185069667792985" "0.00314862311932914" "0.0105921847624431" "0.0154283706299988" "0.00730012689994893" "0.0260474792844125" "0.0316233813631243" "0.0214147226190639" "0.0354562347325982" "0.00349062909458514" "0.0129833787646342" "0.0146542316421349" "0.00525785700039451" "0.00860679110756175"
