"node" "level" "X" "Y" "pVAR" "sVAR" "meanBC" "sdBC" "meanSlope" "sdSlope"
"1" 546 69 193.852507695304 210.686723027917 0.00178042442603108 0.00502051232726536 0.466366203367367 0.00773692531665321 0.000442770635284188 0.000157731060783376
"2" 736 71 -192.728277085648 -209.003112923223 4.68555355633972e-05 0.87286344761386 0.975514727590544 0.0100329756045661 3.22199770160147e-05 0.000201252338375407
"3" 625 71 256.8946816015 -121.785108140789 0.00380709948589172 0.000107077961347758 0.719866558751634 0.00901031431705282 0.000725319475132432 0.00018703874446353
"4" 628 70 249.732771646197 -137.9479349824 0.00149892047923566 0.0133137569173117 0.589715206041161 0.00993240515763089 0.000505788724403676 0.000204248128414448
"5" 646 64 190.037600182789 -220.774546804577 0.000658781926608609 0.10457494283771 0.656666887619895 0.0100411556405498 -0.000330414095532562 0.000203527563450614
"6" 734 69 -182.11312082539 -220.912881524 0.0178016076751405 0.199838060379214 1 1.17916244710963e-16 2.58390828660896e-18 2.00102805569513e-18
"7" 735 72 -188.747322818356 -211.266036382811 1.95126626889955e-06 0.970069438216191 0.981254491843066 0.00794348741317432 -6.31114763525067e-06 0.000168143873754409
"8" 542 81 182.884001818851 204.435642388314 0.000911462402067528 0.0437412972676833 0.536347932678131 0.00575261454215505 0.000237315365287464 0.00011764975783862
"9" 593 78 277.237719491259 5.87680961799687 0.000375639807847247 0.447380834039352 0.932533994291323 0.010102835800354 -0.00015998509104226 0.000210511191657709
"10" 597 71 283.779261906942 -17.1994334659999 0.000928016946352335 0.0522967977147694 0.637271801349437 0.00941315621740238 0.000373897759435012 0.000192606436176368
"11" 624 83 242.318795733262 -124.213088015641 0.00235663958159805 0.00127858159947323 0.623518826956066 0.00743538859840576 0.000491181406845644 0.00015240694589945
"12" 668 90 122.104398725303 -235.530477458719 0.000438504599842874 0.841221586411131 1 1.11902474780529e-16 -5.72564842471345e-19 2.85002353234598e-18
"13" 733 76 -181.907317720339 -211.939184106648 2.09302472555697e-05 0.896562304189086 0.982298151394372 0.00712162329109501 1.89892398535923e-05 0.000146019270805619
"14" 769 87 -245.688371410692 -107.805909641177 0.000670128641122163 0.545001551091795 0.985095001951758 0.00796429425275193 -9.8871734188255e-05 0.00016325024177368
"15" 535 69 150.098635459704 243.799281445075 0.000342169119288869 0.22767571819128 0.683339971000381 0.00811923893112421 -0.000199047610351613 0.000164973640036815
"16" 541 82 176.236019305558 208.886944300813 0.000370041756283483 0.198738997562902 0.521611488158146 0.00532482755954576 0.000140013180017351 0.000108930561161705
"17" 596 72 283.017479271218 -12.6489694033037 0.000928016946352335 0.0522967977147694 0.637271801349437 0.00941315621740238 0.000373897759435012 0.000192606436176368
"18" 631 69 239.377098963907 -157.055068341088 4.03917622093253e-06 0.935677111720182 0.917932045084906 0.0104725323365747 1.64379446040435e-05 0.000203649360789271
"19" 667 108 116.445566195197 -218.169017308783 0.000438504599842874 0.841221586411131 1 1.11902474780529e-16 -5.72564842471345e-19 2.85002353234598e-18
"20" 768 88 -243.245451836128 -110.819403359872 5.12979026146308e-05 0.733967086840948 0.893742360931486 0.00896735508555044 6.32463911065658e-05 0.000186076107438951
"21" 534 80 141.50887756723 236.146834765285 4.51749536588816e-05 0.657824790817332 0.647211179270829 0.00764514575888742 -6.87601323353349e-05 0.000155232667878289
"22" 540 90 166.473159974273 206.569061110758 0.00053411941824196 0.122571961420812 0.534446200775201 0.0051843893520987 0.000163791154266787 0.000106057601882803
"23" 632 81 223.780866420947 -158.627279570351 0.00275634772489754 0.000700040538571955 0.547399004110582 0.0098280532091006 0.000681026726121247 0.000200768044113264
"24" 666 126 110.790604128736 -200.75839219517 0.000438504599842874 0.841221586411131 1 1.11902474780529e-16 -5.72564842471345e-19 2.85002353234598e-18
"25" 722 69 -136.62396837196 -251.598054973201 0.000512955634364614 0.596437652598205 0.982438657133477 0.00905205042973527 -0.000105262227333753 0.000198667842062631
"26" 767 90 -239.748919887767 -113.598175217075 5.12979026146308e-05 0.733967086840948 0.893742360931486 0.00896735508555044 6.32463911065658e-05 0.000186076107438951
"27" 771 114 -225.013749862164 -87.1464421130755 0.00962499270011413 0.181607153419976 1.00316895253517 0.00657026864476763 -0.000153173558238319 0.000114234574571944
