"Name" "Tree-order" "NodeAss" "MatchAss" "ClaAss" "BootAss" "VAR.tn" "VAR.ssd" "VAR.spe" "VAR.tn:ssd" "VAR.tn:spe" "VAR.ssd:spe" "VAR.tn:ssd:spe" "VAR.Residuals" "pval.tn" "pval.ssd" "pval.spe" "pval.tn:ssd" "pval.tn:spe" "pval.ssd:spe" "pval.tn:ssd:spe" "pval.Residuals" "padj.tn" "padj.ssd" "padj.spe" "padj.tn:ssd" "padj.tn:spe" "padj.ssd:spe" "padj.tn:ssd:spe" "padj.Residuals"
"Meth-ASV-160" "1" NA "1" "un" "0" "0.00050560644280984" "0.0531595737883836" "0.115146759356543" "0.0196072269679629" "0.0042630431638655" "0.14521449071105" "0.0694976404356229" "0.592605659133762" "0.810382722620456" "0.0160336690431038" "0.00685036175969379" "0.138253650184035" "0.920868032752817" "0.00180766328451893" "0.05516018519272" NA "1" "1" "1" "1" "1" "0.327187054497927" "1" NA
"Meth-ASV-1228" "2" "498" "1" "A9" "0.32" "0.00643076873077402" "2.11261211977251e-05" "0.0679029456143493" "0.0219472475393011" "0.0690920693735476" "0.0683327208265753" "0.0582965102248741" "0.707976611569381" "0.434646459128307" "0.964202778319379" "0.0990565307645424" "0.151129403621465" "0.0946035276589769" "0.0974235950002632" "0.143518683308681" NA "1" "1" "1" "1" "1" "1" "1" NA
"Meth-ASV-110" "32" "498" "1" "A9" "0.32" "0.00138181225710738" "0.0225910829187392" "0.0330020256555173" "0.0325310956053114" "0.0192829480916397" "0.0103199640361229" "0.0167357088946118" "0.86415536254095" "0.742603516452079" "0.186883680545405" "0.463282841936858" "0.114244719707104" "0.679588306807815" "0.846317673862558" "0.725846287320058" NA "1" "1" "1" "1" "1" "1" "1" NA
"Meth-ASV-96" "33" "498" "1" "A9" "0.32" "0.0197141396682325" "0.0342841847095041" "0.0721675837507737" "0.0317666723188243" "0.0457297931708387" "0.0560015357655374" "0.0229047450069675" "0.717431345609322" "0.176142668399838" "0.0758746262752705" "0.0871376480389823" "0.0872351683079248" "0.237437878081798" "0.161267687096081" "0.541342354632892" NA "1" "1" "1" "1" "1" "1" "1" NA
"Meth-ASV-89" "34" "498" "1" "A9" "0.32" "0.00336205742074701" "0.0781415197807965" "0.00855152691105367" "8.96902465059407e-05" "0.0068441450989311" "0.0332822220139527" "0.00602898663156134" "0.863699851896452" "0.608578733490656" "0.0156058239571366" "0.879102530755549" "0.933277744894741" "0.909875797239452" "0.45927193130011" "0.924028644492839" NA "1" "1" "1" "1" "1" "1" "1" NA
"Meth-ASV-181" "35" "498" "1" "A9" "0.32" "0.0186701405587586" "0.00497021235495722" "0.113820219990291" "0.0158792654399955" "0.0314916653574661" "0.100116905238906" "0.0461392014165588" "0.668912389643068" "0.172824062692346" "0.479629171343657" "0.0130822578745898" "0.208225580349691" "0.368915072244134" "0.0227755190002913" "0.206246131880758" NA "1" "1" "1" "1" "1" "1" "1" NA
"Meth-ASV-1138" "36" "498" "1" "A9" "0.32" "0.00450901715938585" "0.00664727147453763" "0.0337634168788519" "0.00178451715533584" "0.0884336763331763" "0.0501770042426311" "0.135081336154218" "0.679603760601863" "0.504058040691433" "0.41760752984675" "0.344720996858428" "0.673950548505363" "0.0388036818670911" "0.180865782815762" "0.00608426331476185" NA "1" "1" "1" "1" "1" "1" "1" NA
"Meth-ASV-1139" "37" "498" "1" "A9" "0.32" "0.0398438633396332" "0.00664372349793069" "0.0519700316467449" "0.0203506658244157" "0.150670298554628" "0.0151407495142413" "0.0619901453710062" "0.6533905222514" "0.0456139470463245" "0.408589185835428" "0.15490325246012" "0.150182933237546" "0.00263117468561896" "0.666412006109886" "0.101908302931544" NA "1" "1" "1" "1" "0.476242618097032" "1" "1" NA
"Meth-ASV-83" "38" "498" "1" "A9" "0.32" "0.0923494402695342" "0.376719779204174" "0.150822809985801" "0.0314463871765459" "0.0140863980119873" "0.00671357089129563" "0.00654622420804006" "0.321315390252622" "3.62964805654915e-05" "4.53646880249215e-13" "8.03762640379401e-06" "0.0120533928027332" "0.401148938207222" "0.701692054872465" "0.709886223326273" NA "0.00656966298235396" "8.21100853251079e-11" "0.00145481037908672" "1" "1" "1" "1" NA
"Meth-ASV-40" "39" "498" "1" "A9" "0.32" "0.0420247515902375" "0.0285742961872756" "0.0285911937377229" "0.00293000292223446" "0.0184331811751504" "0.0513746181047823" "0.033048908527796" "0.795023047754801" "0.0622223513565353" "0.122615804007636" "0.489917840185342" "0.618262833086164" "0.66621156824994" "0.231901680395979" "0.425191674759691" NA "1" "1" "1" "1" "1" "1" "1" NA
