"node" "level" "X" "Y" "pVAR" "sVAR" "meanBC" "sdBC" "meanSlope" "sdSlope"
"1" 546 69 193.852507695304 210.686723027917 0.00768944414790688 2.15404030066838e-07 0.235278750252231 0.00478144990081226 0.000468806411670416 9.02258125262251e-05
"2" 736 71 -192.728277085648 -209.003112923223 0.0914526542339288 3.95559435219961e-72 0.395022185520151 0.00964724946036983 0.00331447642646484 0.000180120260207097
"3" 625 71 256.8946816015 -121.785108140789 0.0388626269149202 7.00414397747341e-32 0.302175991157704 0.00598511362683489 0.0013404666374718 0.000112938910005357
"4" 628 70 249.732771646197 -137.9479349824 0.013065417795465 1.35421992129792e-11 0.304439726090127 0.0071340019932649 0.000912966004424997 0.000134546483018327
"5" 646 64 190.037600182789 -220.774546804577 0.0360081020226507 1.29794254950681e-29 0.211154640685785 0.00575150645077314 0.00123784468207035 0.0001085240504746
"6" 734 69 -182.11312082539 -220.912881524 0.0154943034255105 2.30674728824664e-07 0.863108658161339 0.0100846956763261 0.000947214890863057 0.000182375374408125
"7" 735 72 -188.747322818356 -211.266036382811 0.0983986539450516 4.33445781388404e-78 0.436516247641906 0.00889582212467296 0.00319460635810134 0.000166355036051116
"8" 542 81 182.884001818851 204.435642388314 0.0167669312041823 1.65654747094186e-14 0.265396669100733 0.00418339585396324 0.00060846805137326 7.89405510614164e-05
"9" 593 78 277.237719491259 5.87680961799687 0.0287926298806499 1.96893828258019e-23 0.509789103736226 0.00910815731122055 0.00171749790778811 0.000170918554924584
"10" 597 71 283.779261906942 -17.1994334659999 0.0211768663100311 5.87651562333685e-18 0.21635931133594 0.00402155202291153 0.000658844145812212 7.5886562948623e-05
"11" 624 83 242.318795733262 -124.213088015641 0.0309963121120458 1.14895407781708e-25 0.299006556248197 0.00539477807384733 0.00107467252698612 0.000101799296282253
"12" 668 90 122.104398725303 -235.530477458719 0.0399207794241987 0.0701434476451907 1 7.63075842192638e-17 2.37476963509662e-18 1.2939962175273e-18
"13" 733 76 -181.907317720339 -211.939184106648 0.0904093531734839 6.90950547218607e-72 0.488439604741507 0.00842821893576505 0.00289795021484751 0.000157803017075803
"14" 769 87 -245.688371410692 -107.805909641177 1.26938276821974e-09 0.999376863586597 0.995367147121908 0.00404286350025228 -5.98721362408179e-08 7.6622429170476e-05
"15" 535 69 150.098635459704 243.799281445075 0.000179735228564744 0.661203981505219 0.959167221627898 0.00903757450338899 7.62074643307961e-05 0.000173841324499378
"16" 541 82 176.236019305558 208.886944300813 0.0159951752039368 6.64804325400563e-14 0.272095789573521 0.00417989101689458 0.00059356886244973 7.88744148937578e-05
"17" 596 72 283.017479271218 -12.6489694033037 0.0182053953484586 1.24236687933946e-15 0.227762472547204 0.00401722698892369 0.000609293259597966 7.58049496903329e-05
"18" 631 69 239.377098963907 -157.055068341088 0.0252423116963173 1.80620056953485e-20 0.4455963578985 0.0102652067904011 0.00181141458381575 0.000194076807003072
"19" 667 108 116.445566195197 -218.169017308783 0.0132837146205773 0.140444082604825 1 3.070687533628e-17 -6.6250482667523e-19 4.47230716663864e-19
"20" 768 88 -243.245451836128 -110.819403359872 0.016899540661333 2.27467031510973e-12 0.686458148195674 0.0107340527024233 0.00148012240616785 0.000210031948508468
"21" 534 80 141.50887756723 236.146834765285 0.000557138102603773 0.399724184938673 0.96269003071727 0.00729456763242255 0.000117350706029949 0.000139305755485462
"22" 540 90 166.473159974273 206.569061110758 0.0160733350487152 5.77531337053639e-14 0.27485516686748 0.00416949451673492 0.000593560929110856 7.8678233255595e-05
"23" 632 81 223.780866420947 -158.627279570351 0.0638079428118871 6.98827689370919e-52 0.150920107308727 0.00461786537467602 0.00134278483687703 8.71389775507394e-05
"24" 666 126 110.790604128736 -200.75839219517 0.0132837146205773 0.140444082604825 1 3.070687533628e-17 -6.6250482667523e-19 4.47230716663864e-19
"25" 713 69 -99.114795937896 -268.596253187175 0.00157400164683778 0.0846506435618851 0.87343584320559 0.00969132854317151 0.000309019445359757 0.000179118384300626
"26" 722 69 -136.62396837196 -251.598054973201 0.0320600456495636 7.43521906071638e-25 0.517880699648349 0.010707005284049 0.00209637538656925 0.000201961766482167
"27" 767 90 -239.748919887767 -113.598175217075 0.016899540661333 2.27467031510973e-12 0.686458148195674 0.0107340527024233 0.00148012240616785 0.000210031948508468
"28" 771 114 -225.013749862164 -87.1464421130755 0.00562152836517258 0.00048755595519887 0.878855925936822 0.00818747263646892 0.000561833130691187 0.00016085341245211
"29" 773 69 -271.629132031681 -90.4726733976385 0.00181907961059254 0.0331114796301171 0.85000544120192 0.00875183772561542 0.000369039591727481 0.000173102569983009
"30" 533 81 137.687957467053 237.239365132667 0.000262818498495972 0.525905572085123 0.966364815740411 0.00646598970131512 7.93315058893118e-05 0.000125046937558527
"31" 536 69 157.820073240646 238.873427744312 0.00222860209509997 0.208655970718214 0.962170853513137 0.00915324686018947 0.000197725441404412 0.000157122613400538
"32" 559 115 198.457492905811 135.494330174882 0.00176975281995 0.0175652270333149 0.772508925408556 0.00822446028980727 0.000366664445757456 0.000154326791248102
"33" 589 69 285.110794366686 26.0676990852103 0.00340958484757784 0.0424473113903402 0.907514600023126 0.0108518800241746 0.0004020688326249 0.000197940360500285
"34" 665 136 99.9584182178147 -195.194274064053 0.000589697760293396 0.517974640410719 0.981578513511798 0.00804835589233327 -9.11608758958235e-05 0.000140942685941131
"35" 717 69 -116.086002326962 -261.709247188067 0.00912414828640435 7.77132579152522e-07 0.723459435977316 0.0107803190407686 0.000986491456039334 0.000199177222902006
"36" 766 115 -220.765924353555 -94.9025639501918 0.0160563811809746 2.14668881315603e-12 0.752127874590477 0.00839603192206298 0.0011421607953777 0.000161923472417092
"37" 772 70 -269.579320180644 -93.3974310724976 0.0122713359241111 1.60198681855842e-10 0.667018075319434 0.00862548538114052 0.00106038163919486 0.000165281553968835
