"Name" "Tree-order" "NodeAss" "MatchAss" "ClaAss" "BootAss" "VAR.tn" "VAR.ssd" "VAR.spe" "VAR.tn:ssd" "VAR.tn:spe" "VAR.ssd:spe" "VAR.tn:ssd:spe" "VAR.Residuals" "pval.tn" "pval.ssd" "pval.spe" "pval.tn:ssd" "pval.tn:spe" "pval.ssd:spe" "pval.tn:ssd:spe" "pval.Residuals" "padj.tn" "padj.ssd" "padj.spe" "padj.tn:ssd" "padj.tn:spe" "padj.ssd:spe" "padj.tn:ssd:spe" "padj.Residuals"
"Meth-ASV-160" "1" NA "1" "un" "0" "0.0517427146424553" "0.0274567211319465" "0.240485232093762" "0.012534564759802" "0.0337306197721161" "0.0482226352636108" "0.0140710670951147" "0.571756445241193" "0.0110658338750365" "0.0615714868484526" "2.31795528560879e-05" "0.203696982752441" "0.360005124416188" "0.18802108031482" "0.763776852302859" NA "1" "1" "0.00322195784699622" "1" "1" "1" "1" NA
"Meth-ASV-1228" "2" "498" "1" "A9" "0.32" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" NA "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" NA
"Meth-ASV-110" "32" "498" "1" "A9" "0.32" "0.00489896279354491" "0.0924935490430775" "0.267681736600569" "0.00213807793563496" "0.043625664366962" "0.0901257712406233" "0.0405371335500119" "0.458499104469577" "0.373551514713346" "0.000215362138331208" "4.80787055643669e-07" "0.556038204457051" "0.14091931576731" "0.00855649848741929" "0.168765236431631" NA "1" "0.029935337228038" "6.682940073447e-05" "1" "1" "1" "1" NA
"Meth-ASV-96" "33" "498" "1" "A9" "0.32" "0.0997736166896097" "0.179835051842558" "0.0597685085597401" "1.83770853933369e-08" "0.022623526590621" "0.0300751949590804" "0.0146322327188523" "0.593291850262453" "0.000666147679420016" "8.92956632702044e-06" "0.12117607854652" "0.998787931840265" "0.584296666895739" "0.439803852951524" "0.763062212744415" NA "0.0925945274393822" "0.00124120971945584" "1" "1" "1" "1" "1" NA
"Meth-ASV-89" "34" "498" "1" "A9" "0.32" "0.0364661511262772" "0.259929760467549" "0.0789386432157765" "9.27824701734561e-05" "0.0168270658222747" "0.146182487346131" "0.0142774620600365" "0.447285647491781" "0.0156721444227582" "5.12659164306443e-09" "0.0149360896999155" "0.901070974526026" "0.590741462420109" "0.000253924463542963" "0.664844849850399" NA "1" "7.12596238385956e-07" "1" "1" "1" "0.0352955004324718" "1" NA
"Meth-ASV-181" "35" "498" "1" "A9" "0.32" "0.0121245258043428" "0.0288286971223054" "0.119842768969389" "0.00310162130056787" "0.0210763710049688" "0.0535505633939808" "0.0134140251624887" "0.748061427241956" "0.273752340527812" "0.0932558424390527" "0.0234861010012388" "0.57874874764152" "0.715275264683017" "0.262237234559779" "0.852735174891007" NA "1" "1" "1" "1" "1" "1" "1" NA
"Meth-ASV-1138" "36" "498" "1" "A9" "0.32" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" NA "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" NA
"Meth-ASV-1139" "37" "498" "1" "A9" "0.32" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" NA "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" NA
"Meth-ASV-83" "38" "498" "1" "A9" "0.32" "0.0106389277879659" "0.0319969675077013" "0.0174759583494522" "0.0267862042556649" "0.0610463473205399" "0.0151059722013018" "0.0848143702476395" "0.752135252329734" "0.306326487765202" "0.0781038661997824" "0.782441986382976" "0.106381690371462" "0.20444573110274" "0.824672878937267" "0.087323034733587" NA "1" "1" "1" "1" "1" "1" "1" NA
"Meth-ASV-40" "39" "498" "1" "A9" "0.32" "0.0315281531109698" "0.110071440362798" "0.0461340006683191" "0.000482071153456268" "0.00786047226032327" "0.0341408468224827" "0.0101625110439992" "0.759620504577652" "0.0817469730846136" "0.0014969739381413" "0.344890615135734" "0.827891984751678" "0.940802184183825" "0.502493223285133" "0.908288781314793" NA "1" "0.20807937740164" "1" "1" "1" "1" "1" NA
