"CLx" "strain" "T1" "T2" "day" "Petri" "spot" "X_position" "Y_position" "radius" "av_intensity" "sd_intensity" "av_intensity_back" "sd_intensity_back" "filter"
"44" "A6" "J-059" "20" "30" "7" "P01" "15" "237" "223" "14.5" " 0.13463158" " 2.768170" "-0.72309228" "2.732197" "1"
"45" "A6" "J-073" "20" "30" "7" "P01" "17" "238" "327" "14.5" " 0.34639098" " 2.758065" "-0.74200916" "2.991678" "1"
"46" "A10" "J-076" "20" "30" "7" "P01" "19" "293" "121" "13.0" " 6.79572779" " 3.124035" " 0.63867168" "4.834994" "1"
"47" "A9" "J-087" "20" "30" "7" "P01" "21" "289" "228" "14.0" " 1.83848287" " 2.980304" "-0.45549550" "2.677130" "1"
"48" "Neg" "0" "20" "30" "7" "P01" "23" "285" "329" "14.5" " 0.07660150" " 2.668059" "-0.29765052" "2.506105" "1"
"49" "B" "E-003" "20" "30" "7" "P01" "25" "334" "111" "14.0" "13.76079935" " 5.337210" " 0.81363256" "4.928436" "1"
"50" "A6" "E-020" "20" "30" "7" "P01" "27" "337" "218" "15.0" " 1.59454161" " 3.157436" "-0.53664343" "2.752803" "1"
"51" "A6" "E-030" "20" "30" "7" "P01" "29" "336" "325" "15.0" " 3.51104372" " 5.189197" "-0.55368858" "2.828299" "1"
"52" "A9" "E-010" "20" "30" "7" "P01" "31" "407" "109" "14.5" "-1.16060150" " 3.249454" "-0.55496063" "4.497832" "1"
"53" "A6" "E-025" "20" "30" "7" "P01" "33" "402" "218" "15.0" " 4.00677010" " 3.230671" "-0.29433931" "2.712965" "1"
"54" "A6" "E-041" "20" "30" "7" "P01" "35" "398" "321" "15.0" " 3.24188999" " 3.164225" "-0.52283865" "2.807042" "1"
"55" "A9" "E-047" "30" "30" "7" "P01" " 2" "131" "169" "15.0" " 8.82974612" " 4.224842" "-0.14669655" "3.414209" "1"
"56" "A9" "E-066" "30" "30" "7" "P01" " 4" "131" "279" "13.0" " 7.41979206" " 3.446447" " 0.25189850" "5.082631" "1"
"57" "B" "J-014" "30" "30" "7" "P01" " 6" "125" "385" "14.0" "13.80853181" " 5.158705" "-0.73933398" "5.124931" "1"
