"CLx" "strain" "T1" "T2" "day" "Petri" "spot" "X_position" "Y_position" "radius" "av_intensity" "sd_intensity" "av_intensity_back" "sd_intensity_back" "filter"
"1" "A9" "E-047" "20" "20" "24" "P01" " 1" "136" "116" "15.00000" "14.66032440" "10.217993" " 0.240989376" "6.615663" "1"
"2" "A9" "E-066" "20" "20" "24" "P01" " 3" "139" "217" "13.00000" "13.77561437" " 4.412992" " 0.001710526" "5.756561" "1"
"3" "B" "J-014" "20" "20" "24" "P01" " 5" "137" "315" "15.00000" " 5.77801128" " 4.460535" "-0.869322709" "3.383245" "1"
"4" "B" "E-064" "20" "20" "24" "P01" " 7" "183" "120" "15.00000" " 7.78899859" " 6.637369" "-0.629239708" "2.482718" "1"
"5" "A9" "J-009" "20" "20" "24" "P01" " 9" "184" "217" "10.00000" " 6.60968454" " 3.239333" "-0.406451234" "3.051907" "1"
"6" "A9" "J-028" "20" "20" "24" "P01" "11" "195" "323" "14.00000" "32.14068515" " 9.947487" "-0.362985843" "5.394193" "1"
"7" "A9" "J-045" "20" "20" "24" "P01" "13" "239" "122" "15.00000" " 2.36727786" " 3.656194" "-0.480464807" "2.577843" "1"
"8" "A6" "J-059" "20" "20" "24" "P01" "15" "244" "222" "13.00000" " 4.84773157" " 4.766439" "-0.640313283" "3.221340" "1"
"9" "A6" "J-073" "20" "20" "24" "P01" "17" "241" "328" "13.24000" "-0.32101266" " 2.646985" "-0.979646465" "2.474599" "1"
"10" "A10" "J-076" "20" "20" "24" "P01" "19" "288" "121" "14.00000" " 3.24456770" " 3.351814" " 0.212007722" "4.878624" "1"
"11" "A9" "J-087" "20" "20" "24" "P01" "21" "288" "224" "14.00000" " 5.68371941" " 3.390247" "-0.796309524" "2.945578" "1"
"12" "Neg" "0" "20" "20" "24" "P01" "23" "286" "324" "13.24000" "-0.12016275" " 2.245592" "-0.363140783" "2.341479" "1"
"13" "B" "E-003" "20" "20" "24" "P01" "25" "329" "103" "11.00000" "16.15270557" " 2.983434" " 1.288863636" "6.759323" "1"
"14" "A6" "E-020" "20" "20" "24" "P01" "27" "337" "204" "14.00000" " 4.33569331" " 3.935761" "-1.055167310" "2.689316" "1"
"15" "A6" "E-030" "20" "20" "24" "P01" "29" "345" "304" "15.00000" " 6.32258110" "10.961028" "-1.274243028" "2.983344" "1"
"16" "A9" "E-010" "20" "20" "24" "P01" "31" "386" "111" "12.00000" " 9.26560091" " 2.959083" "-0.256351480" "4.977687" "1"
"17" "A6" "E-025" "20" "20" "24" "P01" "33" "392" "215" "13.24000" "-0.45504521" " 2.695714" "-0.964845328" "2.518778" "1"
"18" "A6" "E-041" "20" "20" "24" "P01" "35" "391" "312" "13.24000" "-0.04318264" " 3.066284" "-1.568573232" "2.732146" "1"
"19" "A9" "E-047" "30" "20" "24" "P01" " 2" "134" "165" "14.00000" "11.19138662" " 3.580814" "-0.161944174" "4.527345" "1"
"20" "A9" "E-066" "30" "20" "24" "P01" " 4" "137" "268" "14.00000" "12.28314845" " 5.719333" "-0.282860360" "4.710454" "1"
"21" "B" "J-014" "30" "20" "24" "P01" " 6" "137" "369" "15.00000" " 6.27409027" " 3.696110" "-1.139319389" "3.872354" "1"
"22" "B" "E-064" "30" "20" "24" "P01" " 8" "184" "165" "12.00000" " 5.78804989" " 3.582535" "-0.373003049" "3.172252" "1"
"23" "A9" "J-009" "30" "20" "24" "P01" "10" "189" "273" "14.00000" " 6.81535073" " 3.419111" "-0.852660875" "2.813023" "1"
"24" "A9" "J-028" "30" "20" "24" "P01" "12" "201" "374" "11.00000" " 7.94517241" " 3.375596" "-0.998433014" "3.958562" "1"
"25" "A9" "J-045" "30" "20" "24" "P01" "14" "242" "173" "13.24000" " 0.51206148" " 2.466306" "-0.705672348" "2.410026" "1"
"26" "A6" "J-059" "30" "20" "24" "P01" "16" "241" "278" "13.24000" "-0.72379747" " 2.516217" "-1.062768308" "2.398195" "1"
"27" "A6" "J-073" "30" "20" "24" "P01" "18" "241" "381" "15.00000" " 1.80242595" " 3.324794" "-0.852805445" "3.007299" "1"
"28" "A10" "J-076" "30" "20" "24" "P01" "20" "290" "173" "13.24000" " 1.57166365" " 2.881304" "-0.316414141" "3.889988" "1"
"29" "A9" "J-087" "30" "20" "24" "P01" "22" "285" "272" "14.00000" " 5.11551387" " 3.298012" "-1.117252252" "2.885137" "1"
"30" "Neg" "0" "30" "20" "24" "P01" "24" "288" "376" "13.24000" "-0.37549729" " 2.316516" "-0.241474116" "2.492088" "1"
"31" "B" "E-003" "30" "20" "24" "P01" "26" "329" "152" "10.00000" "10.12047319" " 2.510846" " 0.686180964" "6.168089" "1"
"32" "A6" "E-020" "30" "20" "24" "P01" "28" "339" "254" "14.00000" " 2.73681892" " 3.889081" "-0.829835907" "2.576596" "1"
"33" "A6" "E-030" "30" "20" "24" "P01" "30" "346" "356" "13.24000" " 3.71343580" " 9.992555" "-1.628734217" "2.979502" "1"
"34" "A9" "E-010" "30" "20" "24" "P01" "32" "391" "164" " 8.00000" "12.54649746" " 2.989187" " 0.089740840" "4.921302" "1"
"35" "A6" "E-025" "30" "20" "24" "P01" "34" "393" "258" "13.24000" "-0.20050633" " 2.192849" "-0.504166667" "2.335431" "1"
"36" "A6" "E-041" "30" "20" "24" "P01" "36" "388" "361" "13.24000" "-0.97162749" " 3.035891" "-1.983605205" "3.522585" "1"
"37" "A9" "E-047" "20" "30" "24" "P01" " 1" "132" "111" "16.00000" "11.21390213" " 7.489629" "-0.493423393" "2.936888" "1"
"38" "A9" "E-066" "20" "30" "24" "P01" " 3" "135" "214" "14.00000" " 7.41756933" " 3.911475" "-0.223024453" "3.725674" "1"
"39" "B" "J-014" "20" "30" "24" "P01" " 5" "131" "318" "15.00000" " 3.48658674" " 3.364660" "-1.058054449" "2.900552" "1"
"40" "B" "E-064" "20" "30" "24" "P01" " 7" "195" "110" "16.00000" " 3.74705144" " 3.344307" "-0.523813269" "2.647770" "1"
"41" "A9" "J-009" "20" "30" "24" "P01" " 9" "193" "217" "18.00000" " 2.03732408" " 3.116582" "-0.981677729" "2.519743" "1"
"42" "A9" "J-028" "20" "30" "24" "P01" "11" "197" "328" "15.00000" "28.46739069" " 9.343286" " 1.214631474" "8.888598" "1"
