"V1" "V2" "V3" "V4" "1" "2" "3" "4" "5" "YIELD" "RATE"
"J-002_20_20" "A9" "J-002" "20" "20" "MSH" "MSH-03" "ACSA" "30" "314" 8.75681722198931 0.0595119071423811
"J-019_20_20" "A9" "J-019" "20" "20" "SBL" "SBL-04" "FAGR" "30" "399" 8.54456240342493 0.0787173480440313
"E-040_20_20" "A6" "E-040" "20" "20" "SBL" "SBL-04" "FAGR" "20" "333" 1.79822917206996 0.0649525683869354
"E-012_20_20" "A9" "E-012" "20" "20" "SBL" "SBL-03" "ACSA" "30" "333" 6.1513478160614 0.0586245507893796
"E-027_20_20" "A9" "E-027" "20" "20" "SBL" "SBL-01" "FAGR" "30" "307" 8.37878678710406 0.0636973509545685
"E-045_20_20" "A2" "E-045" "20" "20" "MSH" "MSH-01" "ACSA" "20" "314" 19.6978291727853 0.108983748343447
"E-061-B_30_20" "A10" "E-061-B" "30" "20" "MSH" "MSH-01" "FAGR" "30" "386" 13.0431308045251 0.0730110334273715
"J-002_30_20" "A9" "J-002" "30" "20" "MSH" "MSH-03" "ACSA" "30" "314" 9.65953577999176 0.062566085427733
"J-019_30_20" "A9" "J-019" "30" "20" "SBL" "SBL-04" "FAGR" "30" "399" 11.2972390977109 0.0726986162545382
"E-009_30_20" "A9" "E-009" "30" "20" "MSH" "MSH-03" "ACSA" "30" "314" 0.726346916854322 0.0899430210961356
"E-027_30_20" "A9" "E-027" "30" "20" "SBL" "SBL-01" "FAGR" "30" "307" 6.58753422237702 0.0620919780889828
"E-045_30_20" "A2" "E-045" "30" "20" "MSH" "MSH-01" "ACSA" "20" "314" 8.91574266723632 0.0633588289260932
"E-061-B_20_30" "A10" "E-061-B" "20" "30" "MSH" "MSH-01" "FAGR" "30" "386" 8.50491727857894 0.115646777733832
"J-019_20_30" "A9" "J-019" "20" "30" "SBL" "SBL-04" "FAGR" "30" "399" 2.99617869230822 0.113754772012686
"E-009_20_30" "A9" "E-009" "20" "30" "MSH" "MSH-03" "ACSA" "30" "314" 1.30937698737339 0.088977154225881
"E-040_20_30" "A6" "E-040" "20" "30" "SBL" "SBL-04" "FAGR" "20" "333" 1.81666612964701 0.0722730301624264
"E-012_20_30" "A9" "E-012" "20" "30" "SBL" "SBL-03" "ACSA" "30" "333" 3.44164838882575 0.0966217182433399
"E-027_20_30" "A9" "E-027" "20" "30" "SBL" "SBL-01" "FAGR" "30" "307" 4.53470064408427 0.086216187089126
"E-045_20_30" "A2" "E-045" "20" "30" "MSH" "MSH-01" "ACSA" "20" "314" 6.8487984541757 0.147687363573798
"J-048_20_30" "A9" "J-048" "20" "30" "SBL" "SBL-01" "FAGR" "30" "333" 5.90870422063313 0.113803706814338
"J-064_20_30" "A9" "J-064" "20" "30" "SBL" "SBL-03" "ACSA" "20" "333" 4.75739611240716 0.126042052670453
"J-026_20_30" "A9" "J-026" "20" "30" "SBL" "SBL-04" "FAGR" "20" "364" 3.07354185271609 0.145061244857579
"E-061-B_30_30" "A10" "E-061-B" "30" "30" "MSH" "MSH-01" "FAGR" "30" "386" 8.15757632082747 0.137619350381618
"J-019_30_30" "A9" "J-019" "30" "30" "SBL" "SBL-04" "FAGR" "30" "399" 9.15598232439149 0.133470006620112
