"Rate" "Yield" "pRate" "pYield"
"SITE" 0.0236 0.0033 0.005812 0.265425
"SPE" 0.0303 0.0212 0.001874 0.005339
"D" 0.1173 0.01 0 0.053141
"TM" 0.1292 0.0415 0 0.000123
"CL" 0.0985 0.3483 2e-05 0
"SITE:D" 0.0078 0.0358 0.1093 0.000338
"SPE:D" 0.0106 0.0501 0.062573 2.7e-05
"SPE:CL" 0.0245 0.0305 0.019123 0.003932
"SITE:SPE:D" 0.0177 0.0477 0.016415 4.1e-05
"SITE:SPE:CL" 0.019 0.0031 0.013168 0.277795
"SITE:D:CL" 0 0.0115 0.91325 0.038435
"" 0.1745 0.0924 NA NA
"Residuals" 0.3469 0.3043 NA NA
