"CLx" "strain" "T1" "T2" "day" "Petri" "spot" "X_position" "Y_position" "radius" "av_intensity" "sd_intensity" "av_intensity_back" "sd_intensity_back" "filter"
"1" "A9" "E-047" "20" "20" "13" "P01" " 1" "135" "120" "14.00000" "17.8644535" " 4.519483" " 0.99303411" "6.951605" "1"
"2" "A9" "E-066" "20" "20" "13" "P01" " 3" "137" "223" "13.00000" "22.3792817" " 5.646631" " 1.47531328" "8.216224" "1"
"3" "B" "J-014" "20" "20" "13" "P01" " 5" "132" "324" "16.00000" "14.5502008" " 7.156576" "-0.77142955" "5.009218" "1"
"4" "B" "E-064" "20" "20" "13" "P01" " 7" "186" "124" "14.00000" "13.9191680" " 6.261012" " 0.17353604" "4.932361" "1"
"5" "A9" "J-009" "20" "20" "13" "P01" " 9" "184" "227" "12.00000" " 5.6343764" " 4.381622" "-0.68897256" "3.814040" "1"
"6" "A9" "J-028" "20" "20" "13" "P01" "11" "192" "334" "14.00000" "34.4896900" " 9.646575" " 0.13293436" "7.858657" "1"
"7" "A9" "J-045" "20" "20" "13" "P01" "13" "244" "131" "16.00000" " 3.4853576" " 4.115422" "-0.59423735" "3.629376" "1"
"8" "A6" "J-059" "20" "20" "13" "P01" "15" "245" "235" "15.00000" " 3.9145698" " 5.227474" "-0.68002988" "3.620807" "1"
"9" "A6" "J-073" "20" "20" "13" "P01" "17" "243" "342" "14.04000" " 0.8889694" " 3.570806" "-0.27377742" "3.729431" "1"
"10" "A10" "J-076" "20" "20" "13" "P01" "19" "295" "131" "15.00000" " 6.9687870" " 4.210047" " 1.51630146" "7.663465" "1"
"11" "A9" "J-087" "20" "20" "13" "P01" "21" "292" "236" "14.00000" " 5.8508646" " 4.062243" "-0.65613256" "4.066096" "1"
"12" "Neg" "0" "20" "20" "13" "P01" "23" "292" "338" "14.04000" " 0.4966667" " 3.943832" "-0.28354839" "3.777469" "1"
"13" "B" "E-003" "20" "20" "13" "P01" "25" "334" "111" "11.00000" "23.7820424" " 3.595857" " 3.19921352" "9.644838" "1"
"14" "A6" "E-020" "20" "20" "13" "P01" "27" "341" "217" "15.00000" " 2.1381100" " 3.947040" "-0.88490372" "3.792560" "1"
"15" "A6" "E-030" "20" "20" "13" "P01" "29" "347" "322" "15.00000" " 6.8719605" "10.317284" "-0.81729416" "4.052272" "1"
"16" "A9" "E-010" "20" "20" "13" "P01" "31" "394" "121" "12.00000" "10.3661224" " 3.817794" "-0.05010577" "5.789816" "1"
"17" "A6" "E-025" "20" "20" "13" "P01" "33" "398" "229" "14.04000" " 1.5008696" " 3.974692" "-0.37809032" "3.675217" "1"
